t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,45,44.990172,0.000000,0.000000,0.000000,events/second
1439799149,131,65.499525,0.000000,0.000000,0.000000,events/second
1439799150,223,74.332953,0.000000,0.000000,0.000000,events/second
1439799151,324,81.003206,0.000000,0.000000,0.000000,events/second
1439799152,379,75.801339,0.000000,0.000000,0.000000,events/second
1439799153,393,65.500303,75.800000,75.800000,75.800000,events/second
1439799154,409,58.422739,75.800000,75.800000,75.800000,events/second
1439799155,412,51.497067,75.800000,75.800000,75.800000,events/second
1439799156,412,45.776150,75.800000,75.800000,75.800000,events/second
1439799157,412,39.349885,70.267073,74.656225,75.416621,events/second
1439799158,413,37.543308,70.267073,74.656225,75.416621,events/second
1439799159,413,33.032378,70.267073,74.656225,75.416621,events/second
1439799160,413,31.768942,70.267073,74.656225,75.416621,events/second
1439799161,413,29.499883,70.267073,74.656225,75.416621,events/second
1439799163,413,25.975349,64.664820,73.425571,74.999910,events/second
1439799163,413,25.812365,64.664820,73.425571,74.999910,events/second
1439799164,413,24.294200,64.664820,73.425571,74.999910,events/second
1439799166,413,21.617307,64.664820,73.425571,74.999910,events/second
1439799166,413,21.595841,64.664820,73.425571,74.999910,events/second
1439799167,413,20.650044,64.664820,73.425571,74.999910,events/second
1439799168,413,19.666805,59.494506,72.211954,74.584399,events/second
1439799169,413,18.772943,59.494506,72.211954,74.584399,events/second
1439799172,413,16.340012,54.737588,71.018395,74.171190,events/second
1439799172,413,16.331663,54.737588,71.018395,74.171190,events/second
1439799172,413,16.323367,54.737588,71.018395,74.171190,events/second
1439799173,413,15.884857,54.737588,71.018395,74.171190,events/second
1439799174,413,15.296549,54.737588,71.018395,74.171190,events/second
1439799177,413,13.747630,50.361012,69.844564,73.760270,events/second
1439799177,413,13.739779,50.361012,69.844564,73.760270,events/second
1439799177,413,13.732155,50.361012,69.844564,73.760270,events/second
1439799178,413,13.322807,50.361012,69.844564,73.760270,events/second
1439799179,413,12.906475,50.361012,69.844564,73.760270,events/second
1439799184,413,11.228757,46.334368,68.690135,73.351627,events/second
1439799184,413,11.224394,46.334368,68.690135,73.351627,events/second
1439799184,413,11.218538,46.334368,68.690135,73.351627,events/second
1439799184,413,11.215160,46.334368,68.690135,73.351627,events/second
1439799184,413,11.162121,46.334368,68.690135,73.351627,events/second
1439799185,413,10.868347,46.334368,68.690135,73.351627,events/second
1439799186,413,10.589708,46.334368,68.690135,73.351627,events/second
1439799187,413,10.324988,42.629676,67.554787,72.945248,events/second
1439799189,413,9.846329,42.629676,67.554787,72.945248,events/second
1439799189,413,9.833350,42.629676,67.554787,72.945248,events/second
1439799190,413,9.604670,42.629676,67.554787,72.945248,events/second
1439799191,413,9.386366,42.629676,67.554787,72.945248,events/second
1439799194,413,8.796644,39.221196,66.438204,72.541120,events/second
1439799194,413,8.793586,39.221196,66.438204,72.541120,events/second
1439799194,413,8.787241,39.221196,66.438204,72.541120,events/second
1439799195,413,8.604219,39.221196,66.438204,72.541120,events/second
1439799196,413,8.428627,39.221196,66.438204,72.541120,events/second
1439799200,413,7.826245,36.085242,65.340078,72.139232,events/second
1439799200,413,7.824315,36.085242,65.340078,72.139232,events/second
1439799200,413,7.822144,36.085242,65.340078,72.139232,events/second
1439799200,413,7.792533,36.085242,65.340078,72.139232,events/second
1439799201,413,7.648231,36.085242,65.340078,72.139232,events/second
1439799202,413,7.509169,36.085242,65.340078,72.139232,events/second
1439799208,413,6.800897,30.545498,63.197975,71.342121,events/second
1439799208,413,6.798593,30.545498,63.197975,71.342121,events/second
1439799208,413,6.796287,30.545498,63.197975,71.342121,events/second
1439799208,413,6.794066,30.545498,63.197975,71.342121,events/second
1439799208,413,6.791897,30.545498,63.197975,71.342121,events/second
1439799208,413,6.770532,30.545498,63.197975,71.342121,events/second
1439799209,413,6.661332,30.545498,63.197975,71.342121,events/second
1439799210,413,6.555589,30.545498,63.197975,71.342121,events/second
1439799212,413,6.353689,28.103215,62.153404,70.946875,events/second
1439799212,413,6.352238,28.103215,62.153404,70.946875,events/second
1439799213,413,6.257636,28.103215,62.153404,70.946875,events/second
1439799214,414,6.179166,28.103215,62.153404,70.946875,events/second
1439799216,414,5.946302,28.103215,62.153404,70.946875,events/second
1439799217,414,5.944546,28.103215,62.153404,70.946875,events/second
1439799217,414,5.914259,25.872197,61.129405,70.554927,events/second
1439799218,414,5.830972,25.872197,61.129405,70.554927,events/second
1439799219,414,5.749986,25.872197,61.129405,70.554927,events/second
1439799221,414,5.574387,25.872197,61.129405,70.554927,events/second
1439799221,414,5.573237,25.872197,61.129405,70.554927,events/second
1439799222,414,5.519999,23.803570,60.119024,70.164042,events/second
1439799223,414,5.447366,23.803570,60.119024,70.164042,events/second
1439799224,414,5.376624,23.803570,60.119024,70.164042,events/second
1439799226,414,5.203668,23.803570,60.119024,70.164042,events/second
1439799226,414,5.202907,23.803570,60.119024,70.164042,events/second
1439799227,414,5.175012,23.803570,60.119024,70.164042,events/second
1439799228,414,5.111122,21.900342,59.125344,69.775322,events/second
1439799234,414,4.728407,20.149287,58.148088,69.388756,events/second
1439799234,414,4.727668,20.149287,58.148088,69.388756,events/second
1439799234,414,4.726782,20.149287,58.148088,69.388756,events/second
1439799234,414,4.725742,20.149287,58.148088,69.388756,events/second
1439799234,414,4.724894,20.149287,58.148088,69.388756,events/second
1439799235,414,4.724150,20.149287,58.148088,69.388756,events/second
1439799235,414,4.704574,20.149287,58.148088,69.388756,events/second
1439799236,414,4.651714,20.149287,58.148088,69.388756,events/second
1439799238,414,4.543300,18.538239,57.186985,69.004332,events/second
1439799238,414,4.542476,18.538239,57.186985,69.004332,events/second
1439799239,414,4.500030,18.538239,57.186985,69.004332,events/second
1439799240,414,4.451599,18.538239,57.186985,69.004332,events/second
1439799243,414,4.311494,17.056003,56.241767,68.622037,events/second
1439799243,414,4.310752,17.056003,56.241767,68.622037,events/second
1439799243,414,4.310007,17.056003,56.241767,68.622037,events/second
1439799244,414,4.268037,17.056003,56.241767,68.622037,events/second
1439799245,414,4.224485,17.056003,56.241767,68.622037,events/second
1439799248,414,4.079901,15.692281,55.312173,68.241861,events/second
1439799248,414,4.079062,15.692281,55.312173,68.241861,events/second
1439799248,414,4.078500,15.692281,55.312173,68.241861,events/second
1439799249,414,4.058780,15.692281,55.312173,68.241861,events/second
1439799250,414,4.019424,15.692281,55.312173,68.241861,events/second
1439799257,414,3.757918,13.283229,53.498824,67.487815,events/second
1439799257,414,3.757452,13.283229,53.498824,67.487815,events/second
1439799257,414,3.756847,13.283229,53.498824,67.487815,events/second
1439799257,414,3.756267,13.283229,53.498824,67.487815,events/second
1439799257,414,3.755802,13.283229,53.498824,67.487815,events/second
1439799257,414,3.755299,13.283229,53.498824,67.487815,events/second
1439799257,414,3.754929,13.283229,53.498824,67.487815,events/second
1439799258,414,3.729745,13.283229,53.498824,67.487815,events/second
1439799259,414,3.696444,13.283229,53.498824,67.487815,events/second
1439799260,414,3.663734,13.283229,53.498824,67.487815,events/second
1439799261,414,3.617262,13.283229,53.498824,67.487815,events/second
1439799262,414,3.600020,13.283229,53.498824,67.487815,events/second
1439799263,414,3.568955,12.221160,52.614566,67.113922,events/second
1439799264,414,3.538451,12.221160,52.614566,67.113922,events/second
1439799266,414,3.465603,12.221160,52.614566,67.113922,events/second
1439799266,414,3.465236,12.221160,52.614566,67.113922,events/second
1439799267,414,3.449996,11.244010,51.744924,66.742101,events/second
1439799268,414,3.421483,11.244010,51.744924,66.742101,events/second
1439799270,414,3.349859,11.244010,51.744924,66.742101,events/second
1439799270,414,3.349533,11.244010,51.744924,66.742101,events/second
1439799271,414,3.338710,11.244010,51.744924,66.742101,events/second
1439799272,414,3.312002,11.244010,51.744924,66.742101,events/second
1439799273,414,3.285716,10.344989,50.889656,66.372339,events/second
1439799279,414,3.126731,9.517849,50.048524,66.004627,events/second
1439799279,415,3.133911,9.517849,50.048524,66.004627,events/second
1439799279,415,3.133552,9.517849,50.048524,66.004627,events/second
1439799279,415,3.133186,9.517849,50.048524,66.004627,events/second
1439799279,415,3.132909,9.517849,50.048524,66.004627,events/second
1439799279,415,3.132678,9.517849,50.048524,66.004627,events/second
1439799280,415,3.120310,9.517849,50.048524,66.004627,events/second
1439799281,415,3.097023,9.517849,50.048524,66.004627,events/second
1439799282,415,3.074084,9.517849,50.048524,66.004627,events/second
1439799284,415,3.018040,8.772835,49.224600,65.640059,events/second
1439799284,415,3.017786,8.772835,49.224600,65.640059,events/second
1439799285,415,3.007259,8.772835,49.224600,65.640059,events/second
1439799286,415,2.985624,8.772835,49.224600,65.640059,events/second
1439799287,415,2.964297,8.772835,49.224600,65.640059,events/second
1439799290,415,2.897120,8.071398,48.410989,65.276403,events/second
1439799290,415,2.896737,8.071398,48.410989,65.276403,events/second
1439799290,415,2.896433,8.071398,48.410989,65.276403,events/second
1439799291,415,2.881942,8.071398,48.410989,65.276403,events/second
1439799292,415,2.862066,7.426045,47.610826,64.914762,events/second
1439799293,415,2.842464,7.426045,47.610826,64.914762,events/second
1439799297,415,2.773079,7.426045,47.610826,64.914762,events/second
1439799297,415,2.772847,7.426045,47.610826,64.914762,events/second
1439799297,415,2.772622,7.426045,47.610826,64.914762,events/second
1439799297,415,2.766669,7.426045,47.610826,64.914762,events/second
1439799298,415,2.748345,6.832291,46.823888,64.555124,events/second
1439799299,415,2.730265,6.832291,46.823888,64.555124,events/second
1439799300,415,2.712420,6.832291,46.823888,64.555124,events/second
