t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,258,257.590493,0.000000,0.000000,0.000000,events/second
1439799149,857,428.304647,0.000000,0.000000,0.000000,events/second
1439799150,1722,573.833349,0.000000,0.000000,0.000000,events/second
1439799151,2074,518.456311,0.000000,0.000000,0.000000,events/second
1439799152,2213,442.550076,442.600000,442.600000,442.600000,events/second
1439799153,2271,378.488265,442.600000,442.600000,442.600000,events/second
1439799154,2319,331.257972,442.600000,442.600000,442.600000,events/second
1439799155,2326,290.753210,442.600000,442.600000,442.600000,events/second
1439799156,2329,258.780158,442.600000,442.600000,442.600000,events/second
1439799157,2329,222.463149,409.066627,435.667928,440.276460,events/second
1439799158,2329,211.729309,409.066627,435.667928,440.276460,events/second
1439799159,2329,186.270112,409.066627,435.667928,440.276460,events/second
1439799160,2329,179.159885,409.066627,435.667928,440.276460,events/second
1439799161,2329,166.363029,409.066627,435.667928,440.276460,events/second
1439799163,2329,146.484630,376.359466,428.466970,437.837262,events/second
1439799163,2329,145.557854,376.359466,428.466970,437.837262,events/second
1439799164,2329,136.995853,376.359466,428.466970,437.837262,events/second
1439799166,2329,121.910272,376.359466,428.466970,437.837262,events/second
1439799166,2329,121.798567,376.359466,428.466970,437.837262,events/second
1439799167,2329,116.448400,346.267424,421.385034,435.411577,events/second
1439799168,2329,110.903556,346.267424,421.385034,435.411577,events/second
1439799169,2329,105.862708,346.267424,421.385034,435.411577,events/second
1439799172,2329,92.147504,318.581410,414.420152,432.999330,events/second
1439799172,2329,92.104899,318.581410,414.420152,432.999330,events/second
1439799172,2329,92.059910,318.581410,414.420152,432.999330,events/second
1439799173,2329,89.576681,318.581410,414.420152,432.999330,events/second
1439799174,2329,86.259037,318.581410,414.420152,432.999330,events/second
1439799177,2329,77.527732,293.109047,407.570390,430.600448,events/second
1439799177,2329,77.489594,293.109047,407.570390,430.600448,events/second
1439799177,2329,77.443570,293.109047,407.570390,430.600448,events/second
1439799178,2329,75.129507,293.109047,407.570390,430.600448,events/second
1439799179,2329,72.781617,293.109047,407.570390,430.600448,events/second
1439799184,2329,63.322538,269.673341,400.833844,428.214856,events/second
1439799184,2329,63.297988,269.673341,400.833844,428.214856,events/second
1439799184,2329,63.265024,269.673341,400.833844,428.214856,events/second
1439799184,2329,63.244991,269.673341,400.833844,428.214856,events/second
1439799184,2329,62.946649,269.673341,400.833844,428.214856,events/second
1439799185,2329,61.290141,269.673341,400.833844,428.214856,events/second
1439799186,2329,59.718497,269.673341,400.833844,428.214856,events/second
1439799187,2329,58.224268,248.111451,394.208643,425.842481,events/second
1439799189,2329,55.526453,248.111451,394.208643,425.842481,events/second
1439799189,2329,55.451845,248.111451,394.208643,425.842481,events/second
1439799190,2329,54.162287,248.111451,394.208643,425.842481,events/second
1439799191,2329,52.931349,248.111451,394.208643,425.842481,events/second
1439799194,2329,49.606836,228.273555,387.692947,423.483249,events/second
1439799194,2329,49.589429,228.273555,387.692947,423.483249,events/second
1439799194,2329,49.552903,228.273555,387.692947,423.483249,events/second
1439799195,2329,48.520663,228.273555,387.692947,423.483249,events/second
1439799196,2329,47.530489,228.273555,387.692947,423.483249,events/second
1439799200,2329,44.134538,210.021809,381.284946,421.137087,events/second
1439799200,2329,44.123997,210.021809,381.284946,421.137087,events/second
1439799200,2329,44.111968,210.021809,381.284946,421.137087,events/second
1439799200,2329,43.943492,210.021809,381.284946,421.137087,events/second
1439799201,2329,43.129691,210.021809,381.284946,421.137087,events/second
1439799202,2329,42.345546,210.021809,381.284946,421.137087,events/second
1439799208,2329,38.352134,177.779623,368.784939,416.483687,events/second
1439799208,2329,38.339748,177.779623,368.784939,416.483687,events/second
1439799208,2329,38.326597,177.779623,368.784939,416.483687,events/second
1439799208,2329,38.313927,177.779623,368.784939,416.483687,events/second
1439799208,2329,38.301675,177.779623,368.784939,416.483687,events/second
1439799208,2329,38.180298,177.779623,368.784939,416.483687,events/second
1439799209,2329,37.564453,177.779623,368.784939,416.483687,events/second
1439799210,2329,36.968163,177.779623,368.784939,416.483687,events/second
1439799212,2329,35.830198,163.565150,362.689460,414.176304,events/second
1439799212,2329,35.822349,163.565150,362.689460,414.176304,events/second
1439799213,2329,35.287978,163.565150,362.689460,414.176304,events/second
1439799214,2330,34.776228,163.565150,362.689460,414.176304,events/second
1439799216,2330,33.466213,163.565150,362.689460,414.176304,events/second
1439799217,2330,33.456363,163.565150,362.689460,414.176304,events/second
1439799217,2330,33.285873,163.565150,362.689460,414.176304,events/second
1439799218,2330,32.817047,150.503193,356.698036,411.882812,events/second
1439799219,2330,32.361281,150.503193,356.698036,411.882812,events/second
1439799221,2330,31.372992,150.503193,356.698036,411.882812,events/second
1439799221,2330,31.366613,150.503193,356.698036,411.882812,events/second
1439799222,2330,31.066460,138.469623,350.802336,409.600919,events/second
1439799223,2330,30.657699,138.469623,350.802336,409.600919,events/second
1439799224,2330,30.259586,138.469623,350.802336,409.600919,events/second
1439799226,2330,29.286537,138.469623,350.802336,409.600919,events/second
1439799226,2330,29.282065,138.469623,350.802336,409.600919,events/second
1439799227,2330,29.124899,127.398203,345.004084,407.331667,events/second
1439799228,2330,28.765337,127.398203,345.004084,407.331667,events/second
1439799234,2330,26.611749,117.212005,339.301668,405.074988,events/second
1439799234,2330,26.607591,117.212005,339.301668,405.074988,events/second
1439799234,2330,26.602660,117.212005,339.301668,405.074988,events/second
1439799234,2330,26.597219,117.212005,339.301668,405.074988,events/second
1439799234,2330,26.592468,117.212005,339.301668,405.074988,events/second
1439799235,2330,26.588269,117.212005,339.301668,405.074988,events/second
1439799235,2330,26.477303,117.212005,339.301668,405.074988,events/second
1439799236,2330,26.179494,117.212005,339.301668,405.074988,events/second
1439799238,2330,25.569956,107.840250,333.693504,402.830811,events/second
1439799238,2330,25.565857,107.840250,333.693504,402.830811,events/second
1439799239,2330,25.325839,107.840250,333.693504,402.830811,events/second
1439799240,2330,25.053833,107.840250,333.693504,402.830811,events/second
1439799243,2330,24.265282,99.217820,328.178036,400.599067,events/second
1439799243,2330,24.260794,99.217820,328.178036,400.599067,events/second
1439799243,2330,24.256776,99.217820,328.178036,400.599067,events/second
1439799244,2330,24.020732,99.217820,328.178036,400.599067,events/second
1439799245,2330,23.775619,99.217820,328.178036,400.599067,events/second
