t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,349,175.616188,0.000000,0.000000,0.000000,events/second
1439799149,1223,409.533703,0.000000,0.000000,0.000000,events/second
1439799150,2178,546.470791,0.000000,0.000000,0.000000,events/second
1439799151,3692,740.430968,0.000000,0.000000,0.000000,events/second
1439799152,5757,961.786195,743.000000,743.000000,743.000000,events/second
1439799153,6969,997.499090,743.000000,743.000000,743.000000,events/second
1439799154,10683,1298.720415,743.000000,743.000000,743.000000,events/second
1439799155,13359,1486.906160,743.000000,743.000000,743.000000,events/second
1439799156,15705,1572.941405,743.000000,743.000000,743.000000,events/second
1439799157,18255,1610.014998,875.406449,770.371272,752.174492,events/second
1439799158,22836,1905.292650,875.406449,770.371272,752.174492,events/second
1439799159,23675,1770.304986,875.406449,770.371272,752.174492,events/second
1439799160,26772,1914.483438,875.406449,770.371272,752.174492,events/second
1439799161,29437,1964.581219,875.406449,770.371272,752.174492,events/second
1439799163,30914,1843.434832,1025.434594,803.121409,763.252721,events/second
1439799163,32881,1936.068700,1025.434594,803.121409,763.252721,events/second
1439799164,40593,2257.189375,1025.434594,803.121409,763.252721,events/second
1439799166,41215,2063.276947,1025.434594,803.121409,763.252721,events/second
1439799166,41402,2070.684120,1025.434594,803.121409,763.252721,events/second
1439799167,48637,2317.832470,1135.098909,829.465905,772.303929,events/second
1439799168,53004,2411.064103,1135.098909,829.465905,772.303929,events/second
1439799169,55195,2401.496383,1135.098909,829.465905,772.303929,events/second
1439799172,56618,2165.507630,1286.830711,865.883814,784.827421,events/second
1439799172,56727,2168.639417,1286.830711,865.883814,784.827421,events/second
1439799172,56759,2168.837551,1286.830711,865.883814,784.827421,events/second
1439799173,64988,2408.329609,1286.830711,865.883814,784.827421,events/second
1439799174,80171,2864.856109,1286.830711,865.883814,784.827421,events/second
1439799177,81516,2637.065971,1582.088241,933.877562,808.067099,events/second
1439799177,81729,2642.618004,1582.088241,933.877562,808.067099,events/second
1439799177,82124,2650.420615,1582.088241,933.877562,808.067099,events/second
1439799178,92395,2888.770571,1582.088241,933.877562,808.067099,events/second
1439799179,98132,2975.121258,1582.088241,933.877562,808.067099,events/second
1439799184,99941,2654.448393,1750.227781,979.349616,824.005744,events/second
1439799184,100078,2657.212760,1750.227781,979.349616,824.005744,events/second
1439799184,100135,2657.398789,1750.227781,979.349616,824.005744,events/second
1439799184,100135,2656.526116,1750.227781,979.349616,824.005744,events/second
1439799184,102595,2701.006020,1750.227781,979.349616,824.005744,events/second
1439799185,108144,2774.064128,1750.227781,979.349616,824.005744,events/second
1439799186,113212,2831.435201,1750.227781,979.349616,824.005744,events/second
1439799187,118151,2882.861166,1822.793249,1007.091961,834.165243,events/second
1439799189,118739,2773.303419,1822.793249,1007.091961,834.165243,events/second
1439799189,119983,2791.359500,1822.793249,1007.091961,834.165243,events/second
