t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,303,302.909531,0.000000,0.000000,0.000000,events/second
1439799149,1234,616.924456,0.000000,0.000000,0.000000,events/second
1439799150,3390,1129.991161,0.000000,0.000000,0.000000,events/second
1439799151,6299,1572.051271,0.000000,0.000000,0.000000,events/second
1439799152,10626,2125.205622,0.000000,0.000000,0.000000,events/second
1439799153,13928,2321.360075,2125.200000,2125.200000,2125.200000,events/second
1439799154,21689,3098.018618,2125.200000,2125.200000,2125.200000,events/second
1439799155,27730,3465.841308,2125.200000,2125.200000,2125.200000,events/second
1439799156,37912,4212.091802,2125.200000,2125.200000,2125.200000,events/second
1439799157,39213,3747.953296,2412.416454,2184.573844,2145.101334,events/second
1439799158,49897,4535.817859,2412.416454,2184.573844,2145.101334,events/second
1439799159,56134,4492.068761,2412.416454,2184.573844,2145.101334,events/second
1439799160,75893,5837.222658,2412.416454,2184.573844,2145.101334,events/second
1439799161,90396,6456.642069,2412.416454,2184.573844,2145.101334,events/second
1439799163,90514,5695.537664,3039.890581,2318.052203,2190.060214,events/second
1439799163,91325,5707.676277,3039.890581,2318.052203,2190.060214,events/second
1439799164,111523,6560.041298,3039.890581,2318.052203,2190.060214,events/second
1439799166,113307,5933.175252,3039.890581,2318.052203,2190.060214,events/second
1439799166,113596,5943.068504,3039.890581,2318.052203,2190.060214,events/second
1439799167,141600,7079.925840,3613.740566,2448.610327,2234.530681,events/second
1439799168,149436,7115.938121,3613.740566,2448.610327,2234.530681,events/second
1439799169,153404,6972.868386,3613.740566,2448.610327,2234.530681,events/second
1439799172,156451,6191.755917,3562.301894,2457.234752,2238.607508,events/second
1439799172,156559,6193.001060,3562.301894,2457.234752,2238.607508,events/second
1439799172,156979,6206.484723,3562.301894,2457.234752,2238.607508,events/second
1439799173,171069,6579.559000,3562.301894,2457.234752,2238.607508,events/second
1439799174,184698,6840.674234,3562.301894,2457.234752,2238.607508,events/second
1439799177,188920,6290.259797,3796.691541,2523.953307,2262.181922,events/second
1439799177,189110,6293.189523,3796.691541,2523.953307,2262.181922,events/second
1439799177,189250,6294.289454,3796.691541,2523.953307,2262.181922,events/second
1439799178,208387,6721.984212,3796.691541,2523.953307,2262.181922,events/second
1439799179,221622,6925.525905,3796.691541,2523.953307,2262.181922,events/second
1439799184,226223,6151.908253,4089.641487,2605.548900,2290.981948,events/second
1439799184,226223,6149.538806,4089.641487,2605.548900,2290.981948,events/second
1439799184,226643,6157.761433,4089.641487,2605.548900,2290.981948,events/second
1439799184,226753,6158.886789,4089.641487,2605.548900,2290.981948,events/second
1439799184,229823,6211.349418,4089.641487,2605.548900,2290.981948,events/second
1439799185,243568,6409.603607,4089.641487,2605.548900,2290.981948,events/second
1439799186,254234,6518.763926,4089.641487,2605.548900,2290.981948,events/second
1439799187,264876,6621.828590,4380.724474,2690.251932,2321.116043,events/second
1439799189,267277,6373.316113,4380.724474,2690.251932,2321.116043,events/second
1439799189,268746,6398.665339,4380.724474,2690.251932,2321.116043,events/second
1439799190,294882,6857.677177,4380.724474,2690.251932,2321.116043,events/second
1439799191,317541,7216.794792,4380.724474,2690.251932,2321.116043,events/second
1439799194,317949,6773.232300,4879.189623,2821.236496,2367.065420,events/second
1439799194,318031,6772.598824,4879.189623,2821.236496,2367.065420,events/second
1439799194,319176,6790.952893,4879.189623,2821.236496,2367.065420,events/second
1439799195,344665,7180.514004,4879.189623,2821.236496,2367.065420,events/second
1439799196,363101,7410.204874,4879.189623,2821.236496,2367.065420,events/second
1439799200,366683,6949.575966,5268.382260,2935.705992,2407.950272,events/second
1439799200,366780,6949.544973,5268.382260,2935.705992,2407.950272,events/second
1439799200,366808,6948.151604,5268.382260,2935.705992,2407.950272,events/second
1439799200,370856,6997.303129,5268.382260,2935.705992,2407.950272,events/second
1439799201,388922,7202.263527,5268.382260,2935.705992,2407.950272,events/second
1439799202,409117,7438.499045,5268.382260,2935.705992,2407.950272,events/second
1439799208,411935,6784.229064,5128.964106,2986.733524,2431.223462,events/second
1439799208,412005,6783.325003,5128.964106,2986.733524,2431.223462,events/second
1439799208,412173,6783.729932,5128.964106,2986.733524,2431.223462,events/second
1439799208,412316,6783.798835,5128.964106,2986.733524,2431.223462,events/second
1439799208,412460,6784.074189,5128.964106,2986.733524,2431.223462,events/second
1439799208,414341,6792.472844,5128.964106,2986.733524,2431.223462,events/second
1439799209,429667,6930.116957,5128.964106,2986.733524,2431.223462,events/second
1439799210,441402,7006.384179,5128.964106,2986.733524,2431.223462,events/second
1439799212,447877,6891.067337,5128.964106,2986.733524,2431.223462,events/second
1439799212,447881,6889.755177,5293.691473,3056.194185,2457.583376,events/second
1439799213,464888,7043.779296,5293.691473,3056.194185,2457.583376,events/second
1439799214,477185,7122.080001,5293.691473,3056.194185,2457.583376,events/second
1439799216,482563,6931.859039,5293.691473,3056.194185,2457.583376,events/second
1439799217,482790,6933.222203,5293.691473,3056.194185,2457.583376,events/second
1439799217,490171,7002.380884,5546.631649,3145.464959,2490.822164,events/second
1439799218,506257,7130.323464,5546.631649,3145.464959,2490.822164,events/second
1439799219,518808,7205.595145,5546.631649,3145.464959,2490.822164,events/second
1439799221,519346,6993.570220,5546.631649,3145.464959,2490.822164,events/second
1439799221,519490,6994.194312,5546.631649,3145.464959,2490.822164,events/second
1439799222,532289,7097.148755,5776.677329,3232.708163,2523.691763,events/second
1439799223,545368,7175.856103,5776.677329,3232.708163,2523.691763,events/second
1439799224,555373,7212.603032,5776.677329,3232.708163,2523.691763,events/second
1439799226,555893,6987.835919,5776.677329,3232.708163,2523.691763,events/second
1439799226,555968,6987.801606,5776.677329,3232.708163,2523.691763,events/second
1439799227,564950,7061.858315,5837.101577,3287.247272,2545.900616,events/second
1439799228,579556,7154.998589,5837.101577,3287.247272,2545.900616,events/second
1439799234,588502,6722.035812,5747.047475,3310.776529,2557.894487,events/second
1439799234,588846,6724.960484,5747.047475,3310.776529,2557.894487,events/second
1439799234,588947,6724.928443,5747.047475,3310.776529,2557.894487,events/second
1439799234,589217,6726.557854,5747.047475,3310.776529,2557.894487,events/second
1439799234,589519,6728.786382,5747.047475,3310.776529,2557.894487,events/second
1439799235,589738,6730.197631,5747.047475,3310.776529,2557.894487,events/second
1439799235,595885,6771.430041,5747.047475,3310.776529,2557.894487,events/second
1439799236,612486,6881.873285,5747.047475,3310.776529,2557.894487,events/second
