t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,329,165.560221,0.000000,0.000000,0.000000,events/second
1439799149,965,323.210399,0.000000,0.000000,0.000000,events/second
1439799150,1413,353.724651,0.000000,0.000000,0.000000,events/second
1439799151,1880,377.076455,0.000000,0.000000,0.000000,events/second
1439799152,2154,359.821608,377.400000,377.400000,377.400000,events/second
1439799153,2227,318.745503,377.400000,377.400000,377.400000,events/second
1439799154,2307,280.481375,377.400000,377.400000,377.400000,events/second
1439799155,2325,258.776905,377.400000,377.400000,377.400000,events/second
1439799156,2327,233.061582,377.400000,377.400000,377.400000,events/second
1439799157,2327,205.224244,354.260854,372.616639,375.796680,events/second
1439799158,2329,194.319273,354.260854,372.616639,375.796680,events/second
1439799159,2329,174.163469,354.260854,372.616639,375.796680,events/second
1439799160,2329,166.548545,354.260854,372.616639,375.796680,events/second
1439799161,2329,155.434696,354.260854,372.616639,375.796680,events/second
1439799163,2329,138.879216,325.967702,366.464439,373.716925,events/second
1439799163,2329,137.131708,325.967702,366.464439,373.716925,events/second
1439799164,2329,129.505524,325.967702,366.464439,373.716925,events/second
1439799166,2329,116.595175,325.967702,366.464439,373.716925,events/second
1439799166,2329,116.488976,325.967702,366.464439,373.716925,events/second
1439799167,2329,110.990659,299.904763,360.407314,371.646477,events/second
1439799168,2329,105.942954,299.904763,360.407314,371.646477,events/second
1439799169,2329,101.333620,299.904763,360.407314,371.646477,events/second
1439799172,2329,89.079143,275.925703,354.450305,369.587499,events/second
1439799172,2329,89.037588,275.925703,354.450305,369.587499,events/second
1439799172,2329,88.994890,275.925703,354.450305,369.587499,events/second
1439799173,2329,86.308790,275.925703,354.450305,369.587499,events/second
1439799174,2329,83.224944,275.925703,354.450305,369.587499,events/second
1439799177,2329,75.343520,253.863901,348.591757,367.539928,events/second
1439799177,2329,75.306209,253.863901,348.591757,367.539928,events/second
1439799177,2329,75.165110,253.863901,348.591757,367.539928,events/second
1439799178,2329,72.817558,253.863901,348.591757,367.539928,events/second
1439799179,2329,70.609363,253.863901,348.591757,367.539928,events/second
1439799184,2329,61.858304,233.566065,342.830042,365.503701,events/second
1439799184,2329,61.838218,233.566065,342.830042,365.503701,events/second
1439799184,2329,61.807859,233.566065,342.830042,365.503701,events/second
1439799184,2329,61.787525,233.566065,342.830042,365.503701,events/second
1439799184,2329,61.315443,233.566065,342.830042,365.503701,events/second
1439799185,2329,59.742323,233.566065,342.830042,365.503701,events/second
1439799186,2329,58.248413,233.566065,342.830042,365.503701,events/second
1439799187,2329,56.827454,214.891153,337.163560,363.478755,events/second
1439799189,2329,54.397255,214.891153,337.163560,363.478755,events/second
1439799189,2329,54.183436,214.891153,337.163560,363.478755,events/second
1439799190,2329,52.951471,214.891153,337.163560,363.478755,events/second
1439799194,2329,48.702916,197.709405,331.590737,361.465027,events/second
1439799194,2329,48.684231,197.709405,331.590737,361.465027,events/second
1439799194,2329,48.672749,197.709405,331.590737,361.465027,events/second
1439799194,2329,48.536515,197.709405,331.590737,361.465027,events/second
1439799195,2329,47.545840,197.709405,331.590737,361.465027,events/second
1439799196,2329,46.594580,197.709405,331.590737,361.465027,events/second
1439799200,2329,43.418031,181.901434,326.110024,359.462456,events/second
1439799200,2329,43.407483,181.901434,326.110024,359.462456,events/second
1439799200,2329,43.395642,181.901434,326.110024,359.462456,events/second
1439799200,2329,43.142258,181.901434,326.110024,359.462456,events/second
1439799201,2329,42.357704,181.901434,326.110024,359.462456,events/second
1439799202,2329,41.601022,167.357398,320.719899,357.470979,events/second
1439799208,2329,37.809940,153.976240,315.418866,355.490536,events/second
1439799208,2330,37.814413,153.976240,315.418866,355.490536,events/second
1439799208,2330,37.801431,153.976240,315.418866,355.490536,events/second
1439799208,2330,37.789177,153.976240,315.418866,355.490536,events/second
1439799208,2330,37.777502,153.976240,315.418866,355.490536,events/second
1439799208,2330,37.590194,153.976240,315.418866,355.490536,events/second
1439799209,2330,36.993349,153.976240,315.418866,355.490536,events/second
1439799210,2330,36.414646,153.976240,315.418866,355.490536,events/second
1439799212,2330,35.371736,141.680970,310.208756,353.522172,events/second
1439799212,2330,35.311515,141.680970,310.208756,353.522172,events/second
1439799213,2330,34.784352,141.680970,310.208756,353.522172,events/second
1439799214,2330,34.272688,141.680970,310.208756,353.522172,events/second
1439799216,2330,33.052887,130.352785,305.081456,351.563606,events/second
1439799217,2330,33.043972,130.352785,305.081456,351.563606,events/second
1439799217,2330,32.824360,130.352785,305.081456,351.563606,events/second
1439799218,2330,32.368316,130.352785,305.081456,351.563606,events/second
1439799221,2330,31.009171,119.930352,300.038903,349.615890,events/second
1439799221,2330,31.003009,119.930352,300.038903,349.615890,events/second
1439799221,2330,30.998852,119.930352,300.038903,349.615890,events/second
1439799222,2330,30.664485,119.930352,300.038903,349.615890,events/second
1439799223,2330,30.266175,119.930352,300.038903,349.615890,events/second
1439799226,2330,28.969262,110.341251,295.079696,347.678965,events/second
1439799226,2330,28.964623,110.341251,295.079696,347.678965,events/second
1439799226,2330,28.958076,110.341251,295.079696,347.678965,events/second
1439799227,2330,28.771314,110.341251,295.079696,347.678965,events/second
1439799228,2330,28.420359,110.341251,295.079696,347.678965,events/second
1439799234,2330,26.349695,101.518851,290.202458,345.752770,events/second
1439799234,2330,26.345874,101.518851,290.202458,345.752770,events/second
1439799234,2330,26.341184,101.518851,290.202458,345.752770,events/second
1439799234,2330,26.335565,101.518851,290.202458,345.752770,events/second
1439799234,2330,26.330578,101.518851,290.202458,345.752770,events/second
1439799235,2330,26.326341,101.518851,290.202458,345.752770,events/second
1439799235,2330,26.184446,101.518851,290.202458,345.752770,events/second
1439799236,2330,25.893441,101.518851,290.202458,345.752770,events/second
1439799238,2330,25.327900,93.401852,285.405833,343.837247,events/second
1439799238,2330,25.323905,93.401852,285.405833,343.837247,events/second
1439799239,2330,25.058071,93.401852,285.405833,343.837247,events/second
1439799240,2330,24.791451,93.401852,285.405833,343.837247,events/second
1439799243,2330,24.047228,85.933852,280.688490,341.932337,events/second
1439799243,2330,24.043157,85.933852,280.688490,341.932337,events/second
1439799243,2330,24.024613,85.933852,280.688490,341.932337,events/second
1439799244,2330,23.779451,85.933852,280.688490,341.932337,events/second
1439799245,2330,23.539198,85.933852,280.688490,341.932337,events/second
