t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,5,2.515851,0.000000,0.000000,0.000000,events/second
1439799149,14,4.688982,0.000000,0.000000,0.000000,events/second
1439799150,21,5.268537,0.000000,0.000000,0.000000,events/second
1439799151,27,5.415271,0.000000,0.000000,0.000000,events/second
1439799152,80,13.363994,5.800000,5.800000,5.800000,events/second
1439799153,88,12.595989,5.800000,5.800000,5.800000,events/second
1439799154,164,19.937221,5.800000,5.800000,5.800000,events/second
1439799155,212,23.596848,5.800000,5.800000,5.800000,events/second
1439799156,263,26.340700,5.800000,5.800000,5.800000,events/second
1439799157,301,26.545583,9.078179,6.477670,6.027146,events/second
1439799158,375,31.287945,9.078179,6.477670,6.027146,events/second
1439799159,389,29.090929,9.078179,6.477670,6.027146,events/second
1439799160,469,33.538364,9.078179,6.477670,6.027146,events/second
1439799161,546,36.439241,9.078179,6.477670,6.027146,events/second
1439799163,575,34.287899,12.941778,7.319342,6.311760,events/second
1439799163,617,36.328450,12.941778,7.319342,6.311760,events/second
1439799164,805,44.762789,12.941778,7.319342,6.311760,events/second
1439799166,816,40.851054,12.941778,7.319342,6.311760,events/second
1439799166,818,40.913844,12.941778,7.319342,6.311760,events/second
1439799167,912,43.462220,16.224613,8.090906,6.575960,events/second
1439799168,993,45.168248,16.224613,8.090906,6.575960,events/second
1439799169,1036,45.071900,16.224613,8.090906,6.575960,events/second
1439799172,1063,40.657154,18.813206,8.760462,6.808779,events/second
1439799172,1063,40.639189,18.813206,8.760462,6.808779,events/second
1439799172,1063,40.620768,18.813206,8.760462,6.808779,events/second
1439799173,1182,43.802665,18.813206,8.760462,6.808779,events/second
1439799174,1294,46.239871,18.813206,8.760462,6.808779,events/second
1439799177,1298,41.990304,21.066897,9.392506,7.031445,events/second
1439799177,1302,42.096603,21.066897,9.392506,7.031445,events/second
1439799177,1331,42.955741,21.066897,9.392506,7.031445,events/second
1439799178,1469,45.928959,21.066897,9.392506,7.031445,events/second
1439799179,1513,45.870227,21.066897,9.392506,7.031445,events/second
1439799184,1535,40.769458,23.172376,10.020715,7.255093,events/second
1439799184,1535,40.754351,23.172376,10.020715,7.255093,events/second
1439799184,1535,40.734138,23.172376,10.020715,7.255093,events/second
1439799184,1535,40.721898,23.172376,10.020715,7.255093,events/second
1439799184,1555,40.938481,23.172376,10.020715,7.255093,events/second
1439799185,1642,42.119628,23.172376,10.020715,7.255093,events/second
