t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,349,348.662755,0.000000,0.000000,0.000000,events/second
1439799149,1471,735.191494,0.000000,0.000000,0.000000,events/second
1439799150,3254,1084.481119,0.000000,0.000000,0.000000,events/second
1439799151,6023,1505.531598,0.000000,0.000000,0.000000,events/second
1439799152,10327,2065.197688,2065.400000,2065.400000,2065.400000,events/second
1439799153,12667,2110.960262,2065.400000,2065.400000,2065.400000,events/second
1439799154,22510,3215.484388,2065.400000,2065.400000,2065.400000,events/second
1439799155,29233,3654.008851,2065.400000,2065.400000,2065.400000,events/second
1439799156,36450,4049.848518,2065.400000,2065.400000,2065.400000,events/second
1439799157,40082,3827.136475,2376.075423,2129.623319,2086.926815,events/second
1439799158,50095,4554.050988,2376.075423,2129.623319,2086.926815,events/second
1439799159,57017,4558.925384,2376.075423,2129.623319,2086.926815,events/second
1439799160,74128,5702.100322,2376.075423,2129.623319,2086.926815,events/second
1439799161,85599,6114.175155,2376.075423,2129.623319,2086.926815,events/second
1439799163,92069,5789.487869,3017.425125,2266.277648,2132.968099,events/second
1439799163,94901,5931.032107,3017.425125,2266.277648,2132.968099,events/second
1439799164,113289,6664.022028,3017.425125,2266.277648,2132.968099,events/second
1439799166,117338,6140.796572,3017.425125,2266.277648,2132.968099,events/second
1439799166,117846,6161.363852,3017.425125,2266.277648,2132.968099,events/second
1439799167,147822,7391.181520,3017.425125,2266.277648,2132.968099,events/second
1439799168,155235,7391.523978,3667.733874,2413.125886,2182.928259,events/second
1439799169,159544,7251.788758,3667.733874,2413.125886,2182.928259,events/second
1439799172,162699,6436.304566,3612.361922,2422.416154,2187.317564,events/second
1439799172,162888,6440.489667,3612.361922,2422.416154,2187.317564,events/second
1439799172,163071,6444.487494,3612.361922,2422.416154,2187.317564,events/second
1439799173,178687,6872.441815,3612.361922,2422.416154,2187.317564,events/second
1439799174,194161,7191.036103,3612.361922,2422.416154,2187.317564,events/second
1439799177,198996,6623.370522,3903.962987,2502.364464,2215.417672,events/second
1439799177,199278,6629.249675,3903.962987,2502.364464,2215.417672,events/second
1439799177,199620,6636.822565,3903.962987,2502.364464,2215.417672,events/second
1439799178,218248,7040.194694,3903.962987,2502.364464,2215.417672,events/second
1439799179,232177,7255.448538,3903.962987,2502.364464,2215.417672,events/second
1439799184,237025,6443.779203,4199.945532,2586.716834,2245.281209,events/second
1439799184,237260,6447.713114,4199.945532,2586.716834,2245.281209,events/second
1439799184,237632,6454.497580,4199.945532,2586.716834,2245.281209,events/second
1439799184,237722,6455.010915,4199.945532,2586.716834,2245.281209,events/second
1439799184,240511,6500.270163,4199.945532,2586.716834,2245.281209,events/second
1439799185,255786,6731.212038,4199.945532,2586.716834,2245.281209,events/second
1439799186,267735,6864.961397,4199.945532,2586.716834,2245.281209,events/second
1439799187,278703,6967.584513,4199.945532,2586.716834,2245.281209,events/second
1439799189,281498,6710.695461,4530.614206,2681.737515,2279.022501,events/second
1439799189,282437,6724.722516,4530.614206,2681.737515,2279.022501,events/second
1439799190,307383,7148.477042,4530.614206,2681.737515,2279.022501,events/second
1439799191,332356,7553.579075,4530.614206,2681.737515,2279.022501,events/second
1439799194,333763,7108.489227,5048.837201,2819.424643,2327.404524,events/second
1439799194,333888,7108.534682,5048.837201,2819.424643,2327.404524,events/second
1439799194,334577,7118.572463,5048.837201,2819.424643,2327.404524,events/second
1439799195,360538,7511.126746,5048.837201,2819.424643,2327.404524,events/second
1439799196,377233,7698.541620,5048.837201,2819.424643,2327.404524,events/second
1439799200,385064,7296.450704,5465.514764,2942.409843,2371.353417,events/second
1439799200,385289,7298.828572,5465.514764,2942.409843,2371.353417,events/second
1439799200,385452,7299.870497,5465.514764,2942.409843,2371.353417,events/second
1439799200,389555,7350.005703,5465.514764,2942.409843,2371.353417,events/second
1439799201,408664,7567.808381,5465.514764,2942.409843,2371.353417,events/second
1439799202,426575,7755.863244,5692.227646,3030.979547,2404.204560,events/second
1439799208,432846,7127.346508,5337.414530,3001.618576,2397.835576,events/second
1439799208,432934,7126.430453,5337.414530,3001.618576,2397.835576,events/second
1439799208,433037,7125.644969,5337.414530,3001.618576,2397.835576,events/second
1439799208,433235,7126.533904,5337.414530,3001.618576,2397.835576,events/second
1439799208,433415,7127.205163,5337.414530,3001.618576,2397.835576,events/second
1439799208,435403,7137.688996,5337.414530,3001.618576,2397.835576,events/second
1439799209,451283,7278.694951,5337.414530,3001.618576,2397.835576,events/second
1439799210,463552,7357.920642,5337.414530,3001.618576,2397.835576,events/second
1439799212,470716,7241.274640,5516.305995,3077.206616,2426.516746,events/second
1439799212,470890,7242.349216,5516.305995,3077.206616,2426.516746,events/second
1439799213,488533,7401.985675,5516.305995,3077.206616,2426.516746,events/second
1439799214,501581,7486.258458,5516.305995,3077.206616,2426.516746,events/second
1439799216,507379,7287.197852,5516.305995,3077.206616,2426.516746,events/second
1439799217,507558,7287.653477,5516.305995,3077.206616,2426.516746,events/second
1439799217,515026,7357.497872,5783.796927,3172.817535,2462.169193,events/second
1439799218,531871,7491.134408,5783.796927,3172.817535,2462.169193,events/second
1439799219,544756,7566.038383,5783.796927,3172.817535,2462.169193,events/second
1439799221,545588,7345.894069,5783.796927,3172.817535,2462.169193,events/second
1439799221,545858,7348.041790,5783.796927,3172.817535,2462.169193,events/second
1439799222,559262,7456.837908,5783.796927,3172.817535,2462.169193,events/second
1439799223,573334,7543.873080,6028.749104,3266.610134,2497.544342,events/second
1439799224,584046,7585.019081,6028.749104,3266.610134,2497.544342,events/second
1439799226,584483,7346.241366,6028.749104,3266.610134,2497.544342,events/second
1439799226,584808,7349.214659,6028.749104,3266.610134,2497.544342,events/second
1439799227,594275,7428.460835,6028.749104,3266.610134,2497.544342,events/second
1439799228,608741,7515.252424,6106.629913,3328.363920,2522.504143,events/second
1439799234,617894,7056.889963,5996.048947,3351.425144,2534.698549,events/second
1439799234,618109,7058.250581,5996.048947,3351.425144,2534.698549,events/second
1439799234,618585,7062.352113,5996.048947,3351.425144,2534.698549,events/second
1439799234,619087,7066.545996,5996.048947,3351.425144,2534.698549,events/second
1439799234,619316,7067.860215,5996.048947,3351.425144,2534.698549,events/second
1439799235,619512,7068.983043,5996.048947,3351.425144,2534.698549,events/second
1439799235,625785,7111.164254,5996.048947,3351.425144,2534.698549,events/second
1439799236,642920,7223.794806,5996.048947,3351.425144,2534.698549,events/second
1439799238,656094,7199.837738,6127.492016,3422.309052,2562.982695,events/second
1439799238,656201,7199.727542,6127.492016,3422.309052,2562.982695,events/second
1439799239,672628,7311.149670,6127.492016,3422.309052,2562.982695,events/second
1439799240,686629,7383.086187,6127.492016,3422.309052,2562.982695,events/second
1439799243,694842,7236.013364,6257.188609,3493.832880,2591.717343,events/second
1439799243,695100,7237.365067,6257.188609,3493.832880,2591.717343,events/second
1439799243,695212,7237.312287,6257.188609,3493.832880,2591.717343,events/second
1439799244,714109,7361.872194,6257.188609,3493.832880,2591.717343,events/second
1439799245,727134,7419.727070,6257.188609,3493.832880,2591.717343,events/second
1439799248,737316,7265.909273,6436.098138,3576.491596,2624.421318,events/second
1439799248,737472,7265.955536,6436.098138,3576.491596,2624.421318,events/second
1439799248,737586,7266.076948,6436.098138,3576.491596,2624.421318,events/second
1439799249,746715,7320.747023,6436.098138,3576.491596,2624.421318,events/second
1439799250,762497,7402.901895,6436.098138,3576.491596,2624.421318,events/second
1439799257,775524,7039.314740,6010.176103,3583.457163,2637.523564,events/second
1439799257,775652,7039.579467,6010.176103,3583.457163,2637.523564,events/second
1439799257,775965,7041.314985,6010.176103,3583.457163,2637.523564,events/second
1439799257,776144,7041.865463,6010.176103,3583.457163,2637.523564,events/second
1439799257,776341,7042.781296,6010.176103,3583.457163,2637.523564,events/second
1439799257,776757,7045.637781,6010.176103,3583.457163,2637.523564,events/second
1439799257,776883,7046.077377,6010.176103,3583.457163,2637.523564,events/second
1439799258,788501,7103.586919,6010.176103,3583.457163,2637.523564,events/second
1439799259,801076,7152.428428,6010.176103,3583.457163,2637.523564,events/second
1439799260,811818,7184.205811,6010.176103,3583.457163,2637.523564,events/second
1439799261,812703,7100.687110,6010.176103,3583.457163,2637.523564,events/second
1439799262,823612,7161.824400,6298.385917,3683.146492,2676.178736,events/second
1439799263,836950,7215.073495,6298.385917,3683.146492,2676.178736,events/second
1439799264,846286,7233.201594,6298.385917,3683.146492,2676.178736,events/second
1439799266,848649,7103.873211,6298.385917,3683.146492,2676.178736,events/second
1439799266,848734,7103.895401,6298.385917,3683.146492,2676.178736,events/second
1439799267,857414,7145.110011,6335.534408,3734.051993,2698.820347,events/second
1439799268,871772,7204.724961,6335.534408,3734.051993,2698.820347,events/second
1439799270,880063,7120.808812,6335.534408,3734.051993,2698.820347,events/second
1439799270,880149,7120.794043,6335.534408,3734.051993,2698.820347,events/second
1439799271,888467,7165.003125,6335.534408,3734.051993,2698.820347,events/second
1439799272,902957,7223.659723,6335.534408,3734.051993,2698.820347,events/second
1439799273,913433,7249.474465,6557.272482,3822.888763,2734.332609,events/second
1439799279,916532,6921.935521,6250.061336,3804.576973,2734.225503,events/second
1439799279,916811,6923.162585,6250.061336,3804.576973,2734.225503,events/second
1439799279,917199,6925.294876,6250.061336,3804.576973,2734.225503,events/second
1439799279,917614,6927.632480,6250.061336,3804.576973,2734.225503,events/second
1439799279,917696,6927.663343,6250.061336,3804.576973,2734.225503,events/second
1439799279,917768,6927.694665,6250.061336,3804.576973,2734.225503,events/second
1439799280,926823,6968.568433,6250.061336,3804.576973,2734.225503,events/second
1439799281,939911,7014.237252,6250.061336,3804.576973,2734.225503,events/second
1439799282,950091,7037.687779,6286.947939,3852.622531,2756.259654,events/second
1439799284,958291,6968.911455,6286.947939,3852.622531,2756.259654,events/second
1439799284,958368,6968.930920,6286.947939,3852.622531,2756.259654,events/second
1439799285,968075,7015.015606,6286.947939,3852.622531,2756.259654,events/second
