t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,203,102.147204,0.000000,0.000000,0.000000,events/second
1439799149,823,275.589689,0.000000,0.000000,0.000000,events/second
1439799150,1875,470.428136,0.000000,0.000000,0.000000,events/second
1439799151,3369,675.632184,0.000000,0.000000,0.000000,events/second
1439799152,5559,928.668312,676.800000,676.800000,676.800000,events/second
1439799153,6600,944.748222,676.800000,676.800000,676.800000,events/second
1439799154,10392,1263.382008,676.800000,676.800000,676.800000,events/second
1439799155,12818,1426.644041,676.800000,676.800000,676.800000,events/second
1439799156,15084,1510.765140,676.800000,676.800000,676.800000,events/second
1439799157,17883,1576.878006,809.974023,704.329947,686.027677,events/second
1439799158,22438,1872.300708,809.974023,704.329947,686.027677,events/second
1439799159,23451,1753.733749,809.974023,704.329947,686.027677,events/second
1439799160,26320,1882.155566,809.974023,704.329947,686.027677,events/second
1439799161,29169,1946.686321,809.974023,704.329947,686.027677,events/second
1439799163,30509,1819.259764,970.958676,739.355094,697.869045,events/second
1439799163,32651,1922.454111,970.958676,739.355094,697.869045,events/second
1439799164,40337,2242.955621,970.958676,739.355094,697.869045,events/second
1439799166,40994,2052.229835,970.958676,739.355094,697.869045,events/second
1439799166,41112,2056.210831,970.958676,739.355094,697.869045,events/second
1439799167,48737,2322.590441,1084.498911,766.654383,707.249248,events/second
1439799168,52714,2397.865038,1084.498911,766.654383,707.249248,events/second
1439799169,54680,2378.887181,1084.498911,766.654383,707.249248,events/second
1439799172,55989,2141.430125,1234.791512,802.976617,719.753098,events/second
1439799172,56127,2145.756444,1234.791512,802.976617,719.753098,events/second
1439799172,56280,2150.618609,1234.791512,802.976617,719.753098,events/second
1439799173,64344,2384.487741,1234.791512,802.976617,719.753098,events/second
1439799174,79609,2844.748438,1234.791512,802.976617,719.753098,events/second
1439799177,80907,2617.358829,1534.529689,872.076244,743.375458,events/second
1439799177,80963,2617.816499,1534.529689,872.076244,743.375458,events/second
1439799177,81605,2633.664918,1534.529689,872.076244,743.375458,events/second
1439799178,91942,2874.607325,1534.529689,872.076244,743.375458,events/second
1439799179,97884,2967.596326,1534.529689,872.076244,743.375458,events/second
1439799184,99579,2644.807392,1710.421607,919.386294,759.946188,events/second
1439799184,99615,2644.847065,1710.421607,919.386294,759.946188,events/second
1439799184,99676,2645.135558,1710.421607,919.386294,759.946188,events/second
1439799184,99725,2645.628171,1710.421607,919.386294,759.946188,events/second
1439799184,102334,2694.140818,1710.421607,919.386294,759.946188,events/second
1439799185,107724,2763.269387,1710.421607,919.386294,759.946188,events/second
1439799186,112934,2824.477561,1710.421607,919.386294,759.946188,events/second
1439799187,117783,2873.887334,1788.456531,948.592462,770.619035,events/second
1439799189,118254,2761.971156,1788.456531,948.592462,770.619035,events/second
1439799189,119530,2780.812206,1788.456531,948.592462,770.619035,events/second
1439799190,127220,2892.427320,1788.456531,948.592462,770.619035,events/second
1439799194,132257,2765.690790,1953.224481,996.535287,787.674842,events/second
1439799194,132501,2769.752333,1953.224481,996.535287,787.674842,events/second
1439799194,132545,2769.996651,1953.224481,996.535287,787.674842,events/second
1439799194,133633,2784.919756,1953.224481,996.535287,787.674842,events/second
1439799195,141921,2897.265915,1953.224481,996.535287,787.674842,events/second
1439799196,146769,2936.285559,1953.224481,996.535287,787.674842,events/second
1439799200,149682,2790.416297,2030.123806,1028.244720,799.460546,events/second
1439799200,149764,2791.258930,2030.123806,1028.244720,799.460546,events/second
1439799200,149923,2793.451953,2030.123806,1028.244720,799.460546,events/second
1439799200,152590,2826.563590,2030.123806,1028.244720,799.460546,events/second
1439799201,159783,2905.971801,2030.123806,1028.244720,799.460546,events/second
1439799202,166724,2978.055402,2075.752555,1054.236773,809.440241,events/second
1439799208,169968,2759.334318,2071.806543,1070.305217,816.182383,events/second
1439799208,170126,2761.107856,2071.806543,1070.305217,816.182383,events/second
1439799208,170290,2762.854727,2071.806543,1070.305217,816.182383,events/second
1439799208,170426,2764.153367,2071.806543,1070.305217,816.182383,events/second
1439799208,170525,2764.921825,2071.806543,1070.305217,816.182383,events/second
1439799208,175101,2824.921018,2071.806543,1070.305217,816.182383,events/second
1439799209,186956,2968.288479,2071.806543,1070.305217,816.182383,events/second
1439799210,195337,3052.839623,2071.806543,1070.305217,816.182383,events/second
1439799212,201018,3051.650515,2402.678223,1155.256900,846.064952,events/second
1439799212,202485,3068.686547,2402.678223,1155.256900,846.064952,events/second
1439799213,218040,3255.091432,2402.678223,1155.256900,846.064952,events/second
1439799214,226858,3336.924805,2402.678223,1155.256900,846.064952,events/second
1439799216,229346,3253.446925,2663.567044,1229.806314,872.765909,events/second
1439799217,230206,3264.722955,2663.567044,1229.806314,872.765909,events/second
1439799217,238028,3353.260873,2663.567044,1229.806314,872.765909,events/second
1439799218,249228,3462.270357,2663.567044,1229.806314,872.765909,events/second
1439799221,254623,3388.681687,2854.807448,1293.037816,895.938338,events/second
1439799221,254821,3390.619775,2854.807448,1293.037816,895.938338,events/second
1439799221,254940,3391.752017,2854.807448,1293.037816,895.938338,events/second
1439799222,263203,3463.929436,2854.807448,1293.037816,895.938338,events/second
1439799223,268358,3485.899123,2854.807448,1293.037816,895.938338,events/second
1439799226,273240,3397.233455,2924.256274,1333.208170,911.602905,events/second
1439799226,273349,3398.052430,2924.256274,1333.208170,911.602905,events/second
1439799226,273468,3398.767632,2924.256274,1333.208170,911.602905,events/second
1439799227,276321,3412.061558,2924.256274,1333.208170,911.602905,events/second
1439799228,286943,3499.998658,2924.256274,1333.208170,911.602905,events/second
1439799234,294816,3334.030343,3035.469994,1382.496159,930.459350,events/second
1439799234,294881,3334.278202,3035.469994,1382.496159,930.459350,events/second
1439799234,295183,3337.091162,3035.469994,1382.496159,930.459350,events/second
1439799234,295557,3340.614871,3035.469994,1382.496159,930.459350,events/second
1439799234,296370,3349.200364,3035.469994,1382.496159,930.459350,events/second
1439799235,296786,3353.359432,3035.469994,1382.496159,930.459350,events/second
1439799235,305964,3438.403563,3035.469994,1382.496159,930.459350,events/second
1439799236,318928,3544.261597,3035.469994,1382.496159,930.459350,events/second
1439799238,325624,3539.644583,3179.304495,1439.551111,952.087775,events/second
1439799238,325772,3540.700783,3179.304495,1439.551111,952.087775,events/second
1439799239,338155,3636.697250,3179.304495,1439.551111,952.087775,events/second
1439799240,347150,3693.707518,3179.304495,1439.551111,952.087775,events/second
1439799243,352889,3642.060003,3467.216203,1527.824273,984.376402,events/second
1439799243,353154,3644.141619,3467.216203,1527.824273,984.376402,events/second
1439799243,354001,3650.098914,3467.216203,1527.824273,984.376402,events/second
1439799244,363681,3711.635527,3467.216203,1527.824273,984.376402,events/second
1439799245,370308,3741.090388,3467.216203,1527.824273,984.376402,events/second
1439799248,378874,3702.002609,3605.522079,1588.470414,1007.714977,events/second
1439799248,378972,3702.258391,3605.522079,1588.470414,1007.714977,events/second
1439799248,379135,3703.321991,3605.522079,1588.470414,1007.714977,events/second
