t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,6,5.997694,0.000000,0.000000,0.000000,events/second
1439799149,82,40.992401,0.000000,0.000000,0.000000,events/second
1439799150,191,63.659315,0.000000,0.000000,0.000000,events/second
1439799151,214,53.498608,0.000000,0.000000,0.000000,events/second
1439799152,257,51.397952,51.400000,51.400000,51.400000,events/second
1439799153,290,48.331110,51.400000,51.400000,51.400000,events/second
1439799154,311,44.426890,51.400000,51.400000,51.400000,events/second
1439799155,341,42.625052,51.400000,51.400000,51.400000,events/second
1439799156,349,38.778039,51.400000,51.400000,51.400000,events/second
1439799157,351,33.546173,48.793448,50.861169,51.219391,events/second
1439799158,355,32.270364,48.793448,50.861169,51.219391,events/second
1439799159,355,28.404003,48.793448,50.861169,51.219391,events/second
1439799160,355,27.306316,48.793448,50.861169,51.219391,events/second
1439799161,355,25.355994,48.793448,50.861169,51.219391,events/second
1439799163,355,22.334975,44.956104,50.033731,50.940060,events/second
1439799163,355,22.186796,44.956104,50.033731,50.940060,events/second
1439799164,361,21.234641,44.956104,50.033731,50.940060,events/second
1439799166,361,18.901205,44.956104,50.033731,50.940060,events/second
1439799166,361,18.883023,44.956104,50.033731,50.940060,events/second
1439799167,361,18.049665,41.457559,49.226580,50.664492,events/second
1439799168,361,17.190214,41.457559,49.226580,50.664492,events/second
1439799169,361,16.408886,41.457559,49.226580,50.664492,events/second
1439799172,361,14.285935,38.142795,48.412937,50.383803,events/second
1439799172,361,14.279314,38.142795,48.412937,50.383803,events/second
1439799172,361,14.272364,38.142795,48.412937,50.383803,events/second
1439799173,361,13.884557,38.142795,48.412937,50.383803,events/second
1439799174,361,13.370281,38.142795,48.412937,50.383803,events/second
1439799177,361,12.018959,35.093066,47.612741,50.104670,events/second
1439799177,361,12.012773,35.093066,47.612741,50.104670,events/second
1439799177,361,12.005963,35.093066,47.612741,50.104670,events/second
1439799178,362,11.677459,35.093066,47.612741,50.104670,events/second
1439799179,362,11.312527,35.093066,47.612741,50.104670,events/second
1439799184,362,9.843646,32.303170,46.829078,49.828190,events/second
