t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,18,9.057388,0.000000,0.000000,0.000000,events/second
1439799149,25,8.371649,0.000000,0.000000,0.000000,events/second
1439799150,36,9.011961,0.000000,0.000000,0.000000,events/second
1439799151,53,10.630093,0.000000,0.000000,0.000000,events/second
1439799152,110,18.374906,11.200000,11.200000,11.200000,events/second
1439799153,117,16.746631,11.200000,11.200000,11.200000,events/second
1439799154,156,18.964795,11.200000,11.200000,11.200000,events/second
1439799155,162,18.030379,11.200000,11.200000,11.200000,events/second
1439799156,163,16.325558,11.200000,11.200000,11.200000,events/second
1439799157,163,14.372835,12.015547,11.368591,11.256510,events/second
1439799158,163,13.599894,12.015547,11.368591,11.256510,events/second
1439799159,163,12.188085,12.015547,11.368591,11.256510,events/second
1439799160,165,11.799228,12.015547,11.368591,11.256510,events/second
1439799161,165,11.011802,12.015547,11.368591,11.256510,events/second
1439799163,165,9.838994,11.086819,11.187296,11.196363,events/second
1439799163,166,9.774005,11.086819,11.187296,11.196363,events/second
1439799164,167,9.286104,11.086819,11.187296,11.196363,events/second
1439799166,167,8.360347,11.086819,11.187296,11.196363,events/second
1439799166,167,8.353181,11.086819,11.187296,11.196363,events/second
1439799167,167,7.958484,10.232348,11.008998,11.136549,events/second
1439799168,167,7.596547,10.232348,11.008998,11.136549,events/second
1439799169,167,7.266044,10.232348,11.008998,11.136549,events/second
1439799172,167,6.387282,9.414215,10.827035,11.074851,events/second
1439799172,167,6.384286,9.414215,10.827035,11.074851,events/second
1439799172,167,6.381288,9.414215,10.827035,11.074851,events/second
1439799173,167,6.188702,9.414215,10.827035,11.074851,events/second
1439799174,167,5.967617,9.414215,10.827035,11.074851,events/second
1439799177,167,5.402454,8.661496,10.648080,11.013495,events/second
1439799177,167,5.399664,8.661496,10.648080,11.013495,events/second
1439799177,167,5.389600,8.661496,10.648080,11.013495,events/second
1439799178,167,5.221329,8.661496,10.648080,11.013495,events/second
1439799179,167,5.063019,8.661496,10.648080,11.013495,events/second
1439799184,167,4.435537,7.968961,10.472083,10.952478,events/second
1439799184,167,4.433912,7.968961,10.472083,10.952478,events/second
1439799184,167,4.431679,7.968961,10.472083,10.952478,events/second
1439799184,167,4.430342,7.968961,10.472083,10.952478,events/second
