t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,158,157.882317,0.000000,0.000000,0.000000,events/second
1439799149,798,398.641287,0.000000,0.000000,0.000000,events/second
1439799150,1398,465.879012,0.000000,0.000000,0.000000,events/second
1439799151,2285,571.142960,0.000000,0.000000,0.000000,events/second
1439799152,3304,660.669036,660.800000,660.800000,660.800000,events/second
1439799153,4632,771.948564,660.800000,660.800000,660.800000,events/second
1439799154,6429,918.349478,660.800000,660.800000,660.800000,events/second
1439799155,8001,1000.094597,660.800000,660.800000,660.800000,events/second
1439799156,11384,1264.860406,660.800000,660.800000,660.800000,events/second
1439799157,11871,1133.608687,744.961249,678.197948,666.631564,events/second
1439799158,15291,1390.063519,744.961249,678.197948,666.631564,events/second
1439799159,18002,1439.524699,744.961249,678.197948,666.631564,events/second
1439799160,23297,1792.076982,744.961249,678.197948,666.631564,events/second
1439799161,27979,1998.511207,744.961249,678.197948,666.631564,events/second
1439799163,27979,1759.507528,942.982350,720.236686,680.786477,events/second
1439799163,28271,1766.948573,942.982350,720.236686,680.786477,events/second
1439799164,34043,2002.544791,942.982350,720.236686,680.786477,events/second
1439799166,35185,1841.490642,942.982350,720.236686,680.786477,events/second
1439799166,35185,1839.743441,942.982350,720.236686,680.786477,events/second
1439799167,46411,2320.559109,942.982350,720.236686,680.786477,events/second
1439799168,48619,2315.109666,1162.333914,769.263053,697.438033,events/second
1439799169,49921,2269.071719,1162.333914,769.263053,697.438033,events/second
1439799172,50959,2016.003245,1142.126426,771.582619,698.613443,events/second
1439799172,50959,2015.032217,1142.126426,771.582619,698.613443,events/second
1439799172,50959,2014.045313,1142.126426,771.582619,698.613443,events/second
1439799173,55933,2151.200039,1142.126426,771.582619,698.613443,events/second
1439799174,59894,2218.245083,1142.126426,771.582619,698.613443,events/second
1439799177,61388,2043.293986,1217.578399,793.304722,706.298667,events/second
1439799177,61625,2050.033800,1217.578399,793.304722,706.298667,events/second
1439799177,61625,2048.893208,1217.578399,793.304722,706.298667,events/second
1439799178,66598,2148.296945,1217.578399,793.304722,706.298667,events/second
1439799179,70269,2195.885140,1217.578399,793.304722,706.298667,events/second
