t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439350019,1,0.500626,0.000000,0.000000,0.000000,events/second
1439350021,1,0.250262,0.000000,0.000000,0.000000,events/second
1439350023,1,0.166822,0.200000,0.200000,0.200000,events/second
1439350025,1,0.125079,0.200000,0.200000,0.200000,events/second
1439350027,1,0.100042,0.200000,0.200000,0.200000,events/second
1439350029,1,0.083373,0.184009,0.196694,0.198892,events/second
1439350031,1,0.071454,0.184009,0.196694,0.198892,events/second
1439350033,1,0.062522,0.169296,0.193443,0.197790,events/second
1439350035,1,0.055571,0.169296,0.193443,0.197790,events/second
1439350037,1,0.050013,0.169296,0.193443,0.197790,events/second
1439350039,1,0.045466,0.155760,0.190246,0.196694,events/second
1439350041,1,0.041676,0.155760,0.190246,0.196694,events/second
1439350043,1,0.038468,0.143306,0.187101,0.195605,events/second
1439350045,1,0.035722,0.143306,0.187101,0.195605,events/second
1439350047,1,0.033338,0.143306,0.187101,0.195605,events/second
1439350049,1,0.031255,0.131848,0.184009,0.194521,events/second
1439350051,1,0.029415,0.131848,0.184009,0.194521,events/second
1439350053,1,0.027782,0.121306,0.180967,0.193443,events/second
1439350055,1,0.026319,0.121306,0.180967,0.193443,events/second
1439350057,1,0.025003,0.121306,0.180967,0.193443,events/second
1439350059,1,0.023813,0.111607,0.177976,0.192372,events/second
1439350061,1,0.022729,0.111607,0.177976,0.192372,events/second
1439350063,1,0.021741,0.102683,0.175035,0.191306,events/second
1439350065,1,0.020836,0.102683,0.175035,0.191306,events/second
1439350067,1,0.020002,0.102683,0.175035,0.191306,events/second
1439350069,1,0.019232,0.094473,0.172142,0.190246,events/second
1439350071,1,0.018520,0.094473,0.172142,0.190246,events/second
1439350073,1,0.017859,0.086920,0.169296,0.189192,events/second
1439350075,1,0.017243,0.086920,0.169296,0.189192,events/second
1439350077,1,0.016668,0.086920,0.169296,0.189192,events/second
1439350079,2,0.032260,0.079970,0.166498,0.188144,events/second
1439350081,2,0.031253,0.079970,0.166498,0.188144,events/second
1439350083,2,0.030305,0.089567,0.167052,0.188209,events/second
1439350085,2,0.029414,0.089567,0.167052,0.188209,events/second
