t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,1885,1884.627697,0.000000,0.000000,0.000000,events/second
1439799149,4687,2343.219063,0.000000,0.000000,0.000000,events/second
1439799150,8217,2738.869119,0.000000,0.000000,0.000000,events/second
1439799151,13555,3388.619877,0.000000,0.000000,0.000000,events/second
1439799152,21584,4316.547683,4316.400000,4316.400000,4316.400000,events/second
1439799153,27271,4545.259107,4316.400000,4316.400000,4316.400000,events/second
1439799154,36960,5279.915682,4316.400000,4316.400000,4316.400000,events/second
1439799155,45228,5653.425827,4316.400000,4316.400000,4316.400000,events/second
1439799156,65024,7225.131739,4316.400000,4316.400000,4316.400000,events/second
1439799157,73565,7028.185155,4801.362608,4416.652244,4350.003238,events/second
1439799158,112537,10230.155872,4801.362608,4416.652244,4350.003238,events/second
1439799159,128205,10255.404280,4801.362608,4416.652244,4350.003238,events/second
1439799160,164262,12635.036274,4801.362608,4416.652244,4350.003238,events/second
1439799161,193642,13831.159181,4801.362608,4416.652244,4350.003238,events/second
1439799163,209002,13147.230724,6584.439115,4791.611368,4476.053866,events/second
1439799163,216676,13541.922105,6584.439115,4791.611368,4476.053866,events/second
1439799164,297330,17489.526370,6584.439115,4791.611368,4476.053866,events/second
1439799166,313123,16392.031426,6584.439115,4791.611368,4476.053866,events/second
1439799166,313687,16412.887935,6584.439115,4791.611368,4476.053866,events/second
1439799167,393331,19665.351487,9005.331202,5321.694879,4655.479146,events/second
1439799168,427948,20378.304780,9005.331202,5321.694879,4655.479146,events/second
1439799169,440931,20042.193021,9005.331202,5321.694879,4655.479146,events/second
1439799172,450585,17829.073189,9201.131940,5423.056273,4693.145093,events/second
1439799172,450585,17823.063002,9201.131940,5423.056273,4693.145093,events/second
1439799172,451171,17840.910273,9201.131940,5423.056273,4693.145093,events/second
1439799173,501131,19274.268156,9201.131940,5423.056273,4693.145093,events/second
1439799174,566297,20973.930482,9201.131940,5423.056273,4693.145093,events/second
1439799177,586018,19508.729938,10631.175008,5781.123156,4817.208237,events/second
1439799177,586194,19507.803193,10631.175008,5781.123156,4817.208237,events/second
1439799177,586859,19522.242512,10631.175008,5781.123156,4817.208237,events/second
1439799178,664517,21436.216065,10631.175008,5781.123156,4817.208237,events/second
1439799179,730236,22820.108893,10631.175008,5781.123156,4817.208237,events/second
1439799184,761042,20692.987162,12579.982462,6264.148048,4984.452084,events/second
1439799184,761926,20711.376430,12579.982462,6264.148048,4984.452084,events/second
1439799184,762697,20726.223912,12579.982462,6264.148048,4984.452084,events/second
1439799184,763213,20733.379273,12579.982462,6264.148048,4984.452084,events/second
1439799184,779474,21066.595699,12579.982462,6264.148048,4984.452084,events/second
1439799185,779474,20512.216425,12579.982462,6264.148048,4984.452084,events/second
1439799186,779474,19986.237756,12579.982462,6264.148048,4984.452084,events/second
1439799187,779474,19486.653575,11868.890870,6221.541620,4977.260678,events/second
1439799189,779474,18584.654705,11868.890870,6221.541620,4977.260678,events/second
1439799189,779474,18558.770149,11868.890870,6221.541620,4977.260678,events/second
1439799190,779474,18127.190988,11868.890870,6221.541620,4977.260678,events/second
1439799191,812636,18468.915289,11868.890870,6221.541620,4977.260678,events/second
1439799194,816338,17388.516340,11509.403293,6240.570247,4990.532330,events/second
1439799194,816917,17396.974487,11509.403293,6240.570247,4990.532330,events/second
1439799194,821458,17477.778221,11509.403293,6240.570247,4990.532330,events/second
1439799195,824040,17167.489928,11509.403293,6240.570247,4990.532330,events/second
1439799196,824040,16817.121185,11509.403293,6240.570247,4990.532330,events/second
1439799200,824040,15616.174481,10712.325799,6162.883266,4971.418072,events/second
1439799200,824040,15613.704838,10712.325799,6162.883266,4971.418072,events/second
1439799200,824040,15610.964427,10712.325799,6162.883266,4971.418072,events/second
1439799200,824040,15547.981229,10712.325799,6162.883266,4971.418072,events/second
1439799201,824040,15260.060528,10712.325799,6162.883266,4971.418072,events/second
1439799202,824040,14982.610659,10712.325799,6162.883266,4971.418072,events/second
1439799208,824040,13570.140991,9067.788020,5960.839921,4916.485838,events/second
1439799208,824040,13567.598076,9067.788020,5960.839921,4916.485838,events/second
1439799208,824040,13564.496675,9067.788020,5960.839921,4916.485838,events/second
1439799208,824040,13561.548291,9067.788020,5960.839921,4916.485838,events/second
1439799208,824040,13558.598524,9067.788020,5960.839921,4916.485838,events/second
1439799208,824040,13508.855955,9067.788020,5960.839921,4916.485838,events/second
1439799209,824040,13290.980547,9067.788020,5960.839921,4916.485838,events/second
1439799210,824040,13080.015679,9067.788020,5960.839921,4916.485838,events/second
1439799212,824040,12677.735771,9067.788020,5960.839921,4916.485838,events/second
1439799212,824040,12675.911120,8342.767721,5862.315903,4889.247759,events/second
1439799213,824040,12485.499019,8342.767721,5862.315903,4889.247759,events/second
1439799214,833747,12443.907177,8342.767721,5862.315903,4889.247759,events/second
1439799216,861395,12372.745663,8342.767721,5862.315903,4889.247759,events/second
1439799217,861929,12378.501928,8342.767721,5862.315903,4889.247759,events/second
1439799217,899283,12846.792175,8878.936466,6014.151824,4945.532115,events/second
1439799218,940686,13248.998591,8878.936466,6014.151824,4945.532115,events/second
1439799219,940686,13064.984698,8878.936466,6014.151824,4945.532115,events/second
1439799221,940686,12666.532903,8878.936466,6014.151824,4945.532115,events/second
1439799221,940686,12664.908423,8878.936466,6014.151824,4945.532115,events/second
1439799222,973481,12979.682795,9355.524808,6160.023651,5000.346755,events/second
1439799223,1043462,13729.697332,9355.524808,6160.023651,5000.346755,events/second
1439799224,1091809,14179.275121,9355.524808,6160.023651,5000.346755,events/second
1439799226,1094365,13755.822030,9355.524808,6160.023651,5000.346755,events/second
1439799226,1094881,13761.056537,9355.524808,6160.023651,5000.346755,events/second
1439799227,1136865,14210.776120,9355.524808,6598.307414,5000.346755,events/second
1439799228,1214289,14991.195137,11220.191018,6598.307414,5153.678512,events/second
1439799234,1247639,14250.070169,12094.474080,6855.433620,5247.867310,events/second
1439799234,1247639,14248.639423,12094.474080,6855.433620,5247.867310,events/second
1439799234,1247639,14247.370080,12094.474080,6855.433620,5247.867310,events/second
1439799234,1247639,14245.485019,12094.474080,6855.433620,5247.867310,events/second
1439799234,1247639,14243.567155,12094.474080,6855.433620,5247.867310,events/second
1439799234,1247639,14241.636004,12094.474080,6855.433620,5247.867310,events/second
1439799235,1247639,14177.740312,12094.474080,6855.433620,5247.867310,events/second
1439799236,1247639,14018.432532,12094.474080,6855.433620,5247.867310,events/second
1439799238,1247639,13692.200575,11127.453325,6742.123269,5218.793327,events/second
1439799238,1247639,13690.954140,11127.453325,6742.123269,5218.793327,events/second
1439799239,1247639,13561.338258,11127.453325,6742.123269,5218.793327,events/second
1439799240,1270572,13662.110147,11127.453325,6742.123269,5218.793327,events/second
1439799243,1281958,13350.984977,10786.550428,6744.134408,5227.906914,events/second
1439799243,1281958,13349.338008,10786.550428,6744.134408,5227.906914,events/second
