t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799148,21,3.000000,0.190476,0.000000,0.679636,0.000000,0.000000,2.800000,3.000000,3.000000,3.000000,10.564101,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,33,3.000000,0.212121,0.000000,0.599874,0.000000,0.000000,1.600000,3.000000,3.000000,3.000000,11.049626,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,50,3.000000,0.180000,0.000000,0.522553,0.000000,0.000000,1.000000,2.960000,3.000000,3.000000,12.535432,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,81,3.000000,0.135802,0.000000,0.440258,0.000000,0.000000,1.000000,1.720000,3.000000,3.000000,16.251798,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,166,3.000000,0.090361,0.000000,0.362187,0.000000,0.000000,1.000000,1.000000,2.330000,3.000000,27.730870,16.800000,16.800000,16.800000,calls/second,milliseconds
1439799153,192,3.000000,0.083333,0.000000,0.344490,0.000000,0.000000,1.000000,1.000000,2.070000,3.000000,27.502698,16.800000,16.800000,16.800000,calls/second,milliseconds
1439799154,337,3.000000,0.053412,0.000000,0.272983,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,40.972534,16.800000,16.800000,16.800000,calls/second,milliseconds
1439799155,431,3.000000,0.046512,0.000000,0.251197,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,47.953204,16.800000,16.800000,16.800000,calls/second,milliseconds
1439799156,538,3.000000,0.042751,0.000000,0.236426,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,53.900246,16.800000,16.800000,16.800000,calls/second,milliseconds
1439799157,639,3.000000,0.039124,0.000000,0.224034,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,56.369833,22.748696,18.029724,17.212187,calls/second,milliseconds
