t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799148,15,2.000000,0.933333,0.000000,0.703732,1.000000,1.000000,2.000000,2.000000,2.000000,2.000000,14.624155,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,57,2.000000,0.561404,0.000000,0.655132,0.000000,1.000000,2.000000,2.000000,2.000000,2.000000,28.388125,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,216,3.000000,0.226852,0.000000,0.500624,0.000000,0.000000,1.000000,2.000000,2.000000,3.000000,71.875717,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,424,3.000000,0.130435,0.000000,0.390432,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,105.633107,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,576,3.000000,0.097222,0.000000,0.340219,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,115.092271,115.200000,115.200000,115.200000,calls/second,milliseconds
1439799153,810,3.000000,0.070370,0.000000,0.292022,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,134.934378,115.200000,115.200000,115.200000,calls/second,milliseconds
1439799154,1155,3.000000,0.046693,0.000000,0.237150,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,164.922345,115.200000,115.200000,115.200000,calls/second,milliseconds
1439799155,1472,3.000000,0.032101,0.000000,0.202084,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,183.821943,115.200000,115.200000,115.200000,calls/second,milliseconds
1439799156,1997,3.000000,0.029183,0.000000,0.195182,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,221.828693,115.200000,115.200000,115.200000,calls/second,milliseconds
1439799157,2067,2.000000,0.025292,0.000000,0.169030,0.000000,0.000000,0.000000,1.000000,1.000000,2.000000,197.290258,129.831872,118.224724,116.213848,calls/second,milliseconds
1439799158,2653,2.000000,0.017510,0.000000,0.145309,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,241.100018,129.831872,118.224724,116.213848,calls/second,milliseconds
1439799159,3154,2.000000,0.009728,0.000000,0.107656,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,252.057673,129.831872,118.224724,116.213848,calls/second,milliseconds
1439799160,4166,2.000000,0.008755,0.000000,0.103122,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,320.439884,129.831872,118.224724,116.213848,calls/second,milliseconds
1439799161,4767,2.000000,0.008755,0.000000,0.103122,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,340.476757,129.831872,118.224724,116.213848,calls/second,milliseconds
1439799163,4769,2.000000,0.008755,0.000000,0.103122,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,299.767971,162.659087,125.202667,118.563904,calls/second,milliseconds
1439799163,4819,2.000000,0.008755,0.000000,0.103122,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,301.134974,162.659087,125.202667,118.563904,calls/second,milliseconds
1439799164,5888,2.000000,0.005837,0.000000,0.088066,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,346.250831,162.659087,125.202667,118.563904,calls/second,milliseconds
1439799166,5985,2.000000,0.005837,0.000000,0.088066,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,313.133809,162.659087,125.202667,118.563904,calls/second,milliseconds
1439799166,6021,2.000000,0.005837,0.000000,0.088066,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,314.700826,162.659087,125.202667,118.563904,calls/second,milliseconds
1439799167,7461,2.000000,0.007782,0.000000,0.098369,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,373.026652,192.701672,132.032219,120.889859,calls/second,milliseconds
1439799168,7872,2.000000,0.007782,0.000000,0.098369,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,374.779391,192.701672,132.032219,120.889859,calls/second,milliseconds
1439799169,8089,2.000000,0.006809,0.000000,0.093365,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,367.618579,192.701672,132.032219,120.889859,calls/second,milliseconds
1439799172,8262,2.000000,0.006809,0.000000,0.093365,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,326.794901,189.847124,132.444900,121.089915,calls/second,milliseconds
1439799172,8272,2.000000,0.006809,0.000000,0.093365,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,327.039424,189.847124,132.444900,121.089915,calls/second,milliseconds
1439799172,8276,2.000000,0.006809,0.000000,0.093365,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,327.020442,189.847124,132.444900,121.089915,calls/second,milliseconds
1439799173,9015,2.000000,0.006809,0.000000,0.093365,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,346.652704,189.847124,132.444900,121.089915,calls/second,milliseconds
1439799174,9803,2.000000,0.006809,0.000000,0.093365,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,363.010898,189.847124,132.444900,121.089915,calls/second,milliseconds
1439799177,10042,2.000000,0.005837,0.000000,0.088066,0.000000,0.000000,0.000000,0.000000,0.000000,1.971000,334.176100,203.323868,136.179609,122.404649,calls/second,milliseconds
