t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799148,18,3.000000,0.888889,0.000000,0.900254,1.000000,1.250000,3.000000,3.000000,3.000000,3.000000,9.042585,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,64,3.000000,0.656250,0.000000,0.739342,1.000000,1.000000,2.000000,3.000000,3.000000,3.000000,21.426827,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,114,3.000000,0.421053,0.000000,0.650320,0.000000,1.000000,2.000000,2.700000,3.000000,3.000000,28.625141,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,195,3.000000,0.314433,0.000000,0.565958,0.000000,1.000000,1.000000,2.000000,3.000000,3.000000,39.121567,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,304,3.000000,0.253289,0.000000,0.505732,0.000000,0.000000,1.000000,1.900000,2.000000,3.000000,50.816226,39.200000,39.200000,39.200000,calls/second,milliseconds
1439799153,369,3.000000,0.230978,0.000000,0.498955,0.000000,0.000000,1.000000,1.620000,2.310000,3.000000,52.804083,39.200000,39.200000,39.200000,calls/second,milliseconds
1439799154,565,3.000000,0.159292,0.000000,0.424564,0.000000,0.000000,1.000000,1.000000,2.000000,3.000000,68.686164,39.200000,39.200000,39.200000,calls/second,milliseconds
1439799155,705,3.000000,0.133333,0.000000,0.390706,0.000000,0.000000,1.000000,1.000000,1.940000,3.000000,78.440777,39.200000,39.200000,39.200000,calls/second,milliseconds
1439799156,828,3.000000,0.123188,0.000000,0.373608,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,82.945457,39.200000,39.200000,39.200000,calls/second,milliseconds
1439799157,962,3.000000,0.114345,0.000000,0.358372,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,84.876324,46.204109,40.647901,39.685317,calls/second,milliseconds
1439799158,1207,3.000000,0.088521,0.000000,0.307239,0.000000,0.000000,1.000000,1.000000,1.000000,2.971000,100.730728,46.204109,40.647901,39.685317,calls/second,milliseconds
1439799159,1249,3.000000,0.084630,0.000000,0.301953,0.000000,0.000000,1.000000,1.000000,1.000000,2.971000,93.385017,46.204109,40.647901,39.685317,calls/second,milliseconds
1439799160,1413,3.000000,0.073930,0.000000,0.286641,0.000000,0.000000,1.000000,1.000000,1.000000,2.971000,101.069479,46.204109,40.647901,39.685317,calls/second,milliseconds
1439799161,1550,2.000000,0.071012,0.000000,0.271704,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,103.469379,46.204109,40.647901,39.685317,calls/second,milliseconds
1439799163,1631,2.000000,0.067121,0.000000,0.261761,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,97.248350,54.055419,42.362772,40.265453,calls/second,milliseconds
1439799163,1733,2.000000,0.064202,0.000000,0.256868,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,102.043182,54.055419,42.362772,40.265453,calls/second,milliseconds
1439799164,2141,2.000000,0.058366,0.000000,0.246688,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,119.061179,54.055419,42.362772,40.265453,calls/second,milliseconds
1439799166,2174,2.000000,0.059339,0.000000,0.248423,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,108.818973,54.055419,42.362772,40.265453,calls/second,milliseconds
1439799166,2185,2.000000,0.059339,0.000000,0.248423,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,109.265182,54.055419,42.362772,40.265453,calls/second,milliseconds
1439799167,2563,2.000000,0.056420,0.000000,0.243169,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,122.134425,59.871755,43.758397,40.744867,calls/second,milliseconds
1439799168,2791,2.000000,0.053502,0.000000,0.233631,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,126.958225,59.871755,43.758397,40.744867,calls/second,milliseconds
1439799169,2908,2.000000,0.052529,0.000000,0.231761,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,126.535551,59.871755,43.758397,40.744867,calls/second,milliseconds
1439799172,2986,2.000000,0.051556,0.000000,0.225596,0.000000,0.000000,1.000000,1.000000,1.000000,1.971000,114.206700,67.813603,45.666479,41.401127,calls/second,milliseconds
1439799172,2989,2.000000,0.051556,0.000000,0.225596,0.000000,0.000000,1.000000,1.000000,1.000000,1.971000,114.269848,67.813603,45.666479,41.401127,calls/second,milliseconds
1439799172,2993,2.000000,0.051556,0.000000,0.225596,0.000000,0.000000,1.000000,1.000000,1.000000,1.971000,114.364417,67.813603,45.666479,41.401127,calls/second,milliseconds
