t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799148,16,1.000000,0.625000,0.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,15.603922,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,65,2.000000,0.584615,0.000000,0.527148,1.000000,1.000000,1.000000,1.680000,2.000000,2.000000,32.418716,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,179,5.000000,0.396648,0.000000,0.603538,0.000000,1.000000,1.000000,1.000000,2.600000,5.000000,59.620200,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,333,163.000000,0.747748,0.000000,8.932614,0.000000,0.000000,1.000000,1.000000,1.660000,163.000000,83.062673,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,561,163.000000,0.483066,0.000000,6.887889,0.000000,0.000000,1.000000,1.000000,1.000000,163.000000,112.147662,112.200000,112.200000,112.200000,calls/second,milliseconds
1439799153,734,163.000000,0.388283,0.000000,6.024319,0.000000,0.000000,1.000000,1.000000,1.000000,163.000000,122.304398,112.200000,112.200000,112.200000,calls/second,milliseconds
1439799154,1143,163.000000,0.278210,0.000000,5.092564,0.000000,0.000000,1.000000,1.000000,1.000000,158.418000,163.228745,112.200000,112.200000,112.200000,calls/second,milliseconds
1439799155,1461,163.000000,0.251946,0.000000,5.089438,0.000000,0.000000,1.000000,1.000000,1.000000,158.331000,182.657444,112.200000,112.200000,112.200000,calls/second,milliseconds
1439799156,1998,163.000000,0.240272,0.000000,5.094210,0.000000,0.000000,1.000000,1.000000,1.000000,158.505000,222.009451,112.200000,112.200000,112.200000,calls/second,milliseconds
1439799157,2067,163.000000,0.244163,0.000000,5.094407,0.000000,0.000000,1.000000,1.000000,1.000000,158.505000,197.413408,127.311606,115.323895,113.247089,calls/second,milliseconds
