t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799148,19,3.000000,0.894737,0.000000,0.809303,1.000000,1.000000,3.000000,3.000000,3.000000,3.000000,9.529643,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,66,3.000000,0.484848,0.000000,0.638325,0.000000,1.000000,1.650000,2.660000,3.000000,3.000000,22.112818,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,115,3.000000,0.321739,0.000000,0.554848,0.000000,1.000000,1.000000,2.000000,2.840000,3.000000,28.829708,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,195,3.000000,0.205128,0.000000,0.464152,0.000000,0.000000,1.000000,1.080000,2.040000,3.000000,39.142297,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,307,3.000000,0.146580,0.000000,0.397722,0.000000,0.000000,1.000000,1.000000,1.920000,3.000000,51.281230,39.400000,39.400000,39.400000,calls/second,milliseconds
1439799153,369,3.000000,0.121951,0.000000,0.366802,0.000000,0.000000,1.000000,1.000000,1.300000,3.000000,52.801214,39.400000,39.400000,39.400000,calls/second,milliseconds
1439799154,565,3.000000,0.081416,0.000000,0.304385,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,68.707365,39.400000,39.400000,39.400000,calls/second,milliseconds
1439799155,705,3.000000,0.065248,0.000000,0.274376,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,78.549646,39.400000,39.400000,39.400000,calls/second,milliseconds
1439799156,829,3.000000,0.055489,0.000000,0.254067,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,83.044624,39.400000,39.400000,39.400000,calls/second,milliseconds
1439799157,962,3.000000,0.047817,0.000000,0.236609,0.000000,0.000000,0.000000,1.000000,1.000000,3.000000,84.877548,46.372127,40.841289,39.883101,calls/second,milliseconds
1439799158,1208,3.000000,0.035992,0.000000,0.206204,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,100.814374,46.372127,40.841289,39.883101,calls/second,milliseconds
1439799159,1247,3.000000,0.035019,0.000000,0.203999,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,93.263687,46.372127,40.841289,39.883101,calls/second,milliseconds
1439799160,1414,3.000000,0.030156,0.000000,0.192521,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,101.134701,46.372127,40.841289,39.883101,calls/second,milliseconds
1439799161,1550,3.000000,0.029183,0.000000,0.190128,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,103.472568,46.372127,40.841289,39.883101,calls/second,milliseconds
1439799163,1633,3.000000,0.028210,0.000000,0.187698,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,97.370458,54.210003,42.552964,40.462141,calls/second,milliseconds
1439799163,1734,3.000000,0.028210,0.000000,0.187698,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,102.111271,54.210003,42.552964,40.462141,calls/second,milliseconds
1439799164,2143,3.000000,0.024319,0.000000,0.177596,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,119.178145,54.210003,42.552964,40.462141,calls/second,milliseconds
1439799166,2177,3.000000,0.024319,0.000000,0.177596,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,108.975868,54.210003,42.552964,40.462141,calls/second,milliseconds
1439799166,2190,3.000000,0.024319,0.000000,0.177596,0.000000,0.000000,0.000000,1.000000,1.000000,2.971000,109.522348,54.210003,42.552964,40.462141,calls/second,milliseconds
1439799167,2595,3.000000,0.018482,0.000000,0.161085,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,123.660146,60.141908,43.971891,40.949330,calls/second,milliseconds
1439799168,2792,3.000000,0.018482,0.000000,0.161085,0.000000,0.000000,0.000000,0.000000,1.000000,2.971000,127.004391,60.141908,43.971891,40.949330,calls/second,milliseconds
1439799169,2912,2.000000,0.014591,0.000000,0.127828,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,126.711240,60.141908,43.971891,40.949330,calls/second,milliseconds
1439799172,2987,2.000000,0.014591,0.000000,0.127828,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,114.246739,67.966209,45.856610,41.597808,calls/second,milliseconds
1439799172,2988,2.000000,0.014591,0.000000,0.127828,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,114.232136,67.966209,45.856610,41.597808,calls/second,milliseconds
1439799172,2993,2.000000,0.014591,0.000000,0.127828,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,114.365095,67.966209,45.856610,41.597808,calls/second,milliseconds
1439799173,3430,2.000000,0.013619,0.000000,0.124071,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,127.123263,67.966209,45.856610,41.597808,calls/second,milliseconds
1439799174,4224,2.000000,0.012646,0.000000,0.120190,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,150.944538,67.966209,45.856610,41.597808,calls/second,milliseconds
1439799177,4304,2.000000,0.012646,0.000000,0.120190,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,139.227582,83.512276,49.435757,42.821086,calls/second,milliseconds
1439799177,4311,2.000000,0.012646,0.000000,0.120190,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,139.375968,83.512276,49.435757,42.821086,calls/second,milliseconds
1439799177,4330,2.000000,0.011673,0.000000,0.116170,0.000000,0.000000,0.000000,0.000000,1.000000,1.971000,139.753155,83.512276,49.435757,42.821086,calls/second,milliseconds
1439799178,4868,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,152.214137,83.512276,49.435757,42.821086,calls/second,milliseconds
1439799179,5181,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,157.071790,83.512276,49.435757,42.821086,calls/second,milliseconds
1439799184,5274,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,140.077970,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799184,5275,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,140.043086,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799184,5275,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,139.987771,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799184,5275,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,139.948010,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799184,5407,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,142.360379,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799185,5709,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,146.437691,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799186,5963,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,149.139444,92.362378,51.828500,43.659748,calls/second,milliseconds
1439799187,6223,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,151.847583,96.203254,53.292458,44.195704,calls/second,milliseconds
1439799189,6260,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,146.209642,96.203254,53.292458,44.195704,calls/second,milliseconds
1439799189,6322,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,147.090707,96.203254,53.292458,44.195704,calls/second,milliseconds
1439799190,6729,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,152.995543,96.203254,53.292458,44.195704,calls/second,milliseconds
1439799194,7012,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,146.615749,104.966126,55.813186,45.091016,calls/second,milliseconds
1439799194,7013,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,146.596921,104.966126,55.813186,45.091016,calls/second,milliseconds
1439799194,7013,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,146.574148,104.966126,55.813186,45.091016,calls/second,milliseconds
1439799194,7069,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,147.319550,104.966126,55.813186,45.091016,calls/second,milliseconds
1439799195,7499,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,153.102929,104.966126,55.813186,45.091016,calls/second,milliseconds
1439799196,7761,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,155.266079,104.966126,55.813186,45.091016,calls/second,milliseconds
1439799200,7906,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,147.384467,108.822694,57.422848,45.689957,calls/second,milliseconds
1439799200,7920,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,147.604736,108.822694,57.422848,45.689957,calls/second,milliseconds
1439799200,7927,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,147.702631,108.822694,57.422848,45.689957,calls/second,milliseconds
1439799200,8052,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,149.161895,108.822694,57.422848,45.689957,calls/second,milliseconds
1439799201,8437,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,153.450984,108.822694,57.422848,45.689957,calls/second,milliseconds
1439799202,8789,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,156.993708,110.883733,58.698474,46.182532,calls/second,milliseconds
1439799208,8971,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,145.627503,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799208,8988,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,145.853918,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799208,8998,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,145.967439,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799208,9012,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,146.149956,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799208,9012,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,146.104784,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799208,9290,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,149.874910,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799209,9866,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,156.647216,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799210,10345,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,161.683828,110.413296,59.463771,46.508389,calls/second,milliseconds
1439799212,10612,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,161.098685,127.650657,63.869228,48.056815,calls/second,milliseconds
1439799212,10724,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,162.535024,127.650657,63.869228,48.056815,calls/second,milliseconds
1439799213,11518,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,171.958885,127.650657,63.869228,48.056815,calls/second,milliseconds
1439799214,11964,1.000000,0.010700,0.000000,0.102938,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,175.987776,127.650657,63.869228,48.056815,calls/second,milliseconds
1439799216,12130,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,172.068823,141.798745,67.848157,49.478104,calls/second,milliseconds
1439799217,12151,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,172.315918,141.798745,67.848157,49.478104,calls/second,milliseconds
1439799217,12542,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,176.693105,141.798745,67.848157,49.478104,calls/second,milliseconds
1439799218,13157,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,182.786209,141.798745,67.848157,49.478104,calls/second,milliseconds
1439799221,13449,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,178.983828,151.585409,71.093568,50.667696,calls/second,milliseconds
1439799221,13449,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,178.953768,151.585409,71.093568,50.667696,calls/second,milliseconds
1439799221,13449,1.000000,0.009728,0.000000,0.098196,0.000000,0.000000,0.000000,0.000000,0.710000,1.000000,178.937219,151.585409,71.093568,50.667696,calls/second,milliseconds
1439799222,13876,1.000000,0.008755,0.000000,0.093202,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,182.621546,151.585409,71.093568,50.667696,calls/second,milliseconds
1439799223,14158,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,183.913659,151.585409,71.093568,50.667696,calls/second,milliseconds
1439799226,14406,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,179.112239,154.912728,73.111810,51.457346,calls/second,milliseconds
1439799226,14414,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,179.174209,154.912728,73.111810,51.457346,calls/second,milliseconds
1439799226,14421,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,179.234172,154.912728,73.111810,51.457346,calls/second,milliseconds
1439799227,14578,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,180.021351,154.912728,73.111810,51.457346,calls/second,milliseconds
1439799228,15107,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,184.276639,154.912728,73.111810,51.457346,calls/second,milliseconds
1439799234,15538,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,175.715671,160.692499,75.658663,52.430987,calls/second,milliseconds
1439799234,15540,1.000000,0.007782,0.000000,0.087915,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,175.711490,160.692499,75.658663,52.430987,calls/second,milliseconds
