t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799148,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.502652,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.335049,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,3,1.000000,0.333333,0.000000,0.577350,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.752040,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,4,1.000000,0.250000,0.000000,0.500000,0.000000,0.750000,1.000000,1.000000,1.000000,1.000000,0.802790,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,8,1.000000,0.250000,0.000000,0.462910,0.000000,0.750000,1.000000,1.000000,1.000000,1.000000,1.337061,0.800000,0.800000,0.800000,calls/second,milliseconds
1439799153,10,1.000000,0.200000,0.000000,0.421637,0.000000,0.250000,1.000000,1.000000,1.000000,1.000000,1.432060,0.800000,0.800000,0.800000,calls/second,milliseconds
1439799154,15,1.000000,0.200000,0.000000,0.414039,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.823827,0.800000,0.800000,0.800000,calls/second,milliseconds
1439799155,19,1.000000,0.210526,0.000000,0.418854,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.115236,0.800000,0.800000,0.800000,calls/second,milliseconds
1439799156,23,1.000000,0.304348,0.000000,0.470472,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.304597,0.800000,0.800000,0.800000,calls/second,milliseconds
1439799157,28,1.000000,0.250000,0.000000,0.440959,0.000000,0.750000,1.000000,1.000000,1.000000,1.000000,2.468892,1.039867,0.849586,0.816620,calls/second,milliseconds
1439799158,35,1.000000,0.228571,0.000000,0.426043,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.921205,1.039867,0.849586,0.816620,calls/second,milliseconds
1439799159,37,1.000000,0.216216,0.000000,0.417342,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.767695,1.039867,0.849586,0.816620,calls/second,milliseconds
1439799160,41,1.000000,0.219512,0.000000,0.419058,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.932713,1.039867,0.849586,0.816620,calls/second,milliseconds
1439799161,46,1.000000,0.195652,0.000000,0.401085,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.070681,1.039867,0.849586,0.816620,calls/second,milliseconds
1439799163,48,1.000000,0.187500,0.000000,0.394443,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.862128,1.324519,0.911575,0.837581,calls/second,milliseconds
1439799163,50,1.000000,0.200000,0.000000,0.404061,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,2.944158,1.324519,0.911575,0.837581,calls/second,milliseconds
1439799164,66,1.000000,0.151515,0.000000,0.361298,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.670557,1.324519,0.911575,0.837581,calls/second,milliseconds
1439799166,67,1.000000,0.149254,0.000000,0.359028,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.353972,1.324519,0.911575,0.837581,calls/second,milliseconds
1439799166,67,1.000000,0.149254,0.000000,0.359028,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.350786,1.324519,0.911575,0.837581,calls/second,milliseconds
1439799167,76,1.000000,0.131579,0.000000,0.340279,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.621801,1.554430,0.965927,0.856209,calls/second,milliseconds
1439799168,82,1.000000,0.134146,0.000000,0.342907,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.730507,1.554430,0.965927,0.856209,calls/second,milliseconds
1439799169,85,1.000000,0.129412,0.000000,0.337647,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.699023,1.554430,0.965927,0.856209,calls/second,milliseconds
1439799172,87,1.000000,0.126437,0.000000,0.334268,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.327792,1.749967,1.016076,0.873626,calls/second,milliseconds
1439799172,87,1.000000,0.126437,0.000000,0.334268,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.326304,1.749967,1.016076,0.873626,calls/second,milliseconds
1439799172,87,1.000000,0.126437,0.000000,0.334268,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.324560,1.749967,1.016076,0.873626,calls/second,milliseconds
1439799173,101,1.000000,0.108911,0.000000,0.313081,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.743466,1.749967,1.016076,0.873626,calls/second,milliseconds
1439799174,122,1.000000,0.114754,0.000000,0.320039,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.359873,1.749967,1.016076,0.873626,calls/second,milliseconds
1439799177,123,1.000000,0.113821,0.000000,0.318893,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.979043,2.185728,1.118288,0.908675,calls/second,milliseconds
1439799177,124,1.000000,0.112903,0.000000,0.317758,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.009123,2.185728,1.118288,0.908675,calls/second,milliseconds
1439799177,126,1.000000,0.111111,0.000000,0.315524,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.066911,2.185728,1.118288,0.908675,calls/second,milliseconds
1439799178,140,1.000000,0.100000,0.000000,0.301077,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.377717,2.185728,1.118288,0.908675,calls/second,milliseconds
1439799179,147,1.000000,0.102041,0.000000,0.303737,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.456740,2.185728,1.118288,0.908675,calls/second,milliseconds
1439799184,150,1.000000,0.100000,0.000000,0.301005,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.983919,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799184,150,1.000000,0.100000,0.000000,0.301005,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,3.982159,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799184,151,1.000000,0.099338,0.000000,0.300110,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.007230,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799184,151,1.000000,0.099338,0.000000,0.300110,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.006108,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799184,155,1.000000,0.096774,0.000000,0.296608,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.081078,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799185,163,1.000000,0.098160,0.000000,0.298447,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.181101,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799186,172,1.000000,0.098837,0.000000,0.299315,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.301976,2.442727,1.189058,0.933558,calls/second,milliseconds
1439799187,180,1.000000,0.094444,0.000000,0.293262,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.392220,2.599222,1.242130,0.952763,calls/second,milliseconds
1439799189,182,1.000000,0.093407,0.000000,0.291804,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.250839,2.599222,1.242130,0.952763,calls/second,milliseconds
1439799189,184,1.000000,0.092391,0.000000,0.290368,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.281135,2.599222,1.242130,0.952763,calls/second,milliseconds
1439799190,197,1.000000,0.086294,0.000000,0.281514,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.479225,2.599222,1.242130,0.952763,calls/second,milliseconds
1439799194,204,1.000000,0.083333,0.000000,0.277065,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.265701,2.887124,1.324077,0.981833,calls/second,milliseconds
1439799194,204,1.000000,0.083333,0.000000,0.277065,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.264543,2.887124,1.324077,0.981833,calls/second,milliseconds
1439799194,204,1.000000,0.083333,0.000000,0.277065,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.263811,2.887124,1.324077,0.981833,calls/second,milliseconds
1439799194,205,1.000000,0.082927,0.000000,0.276447,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.272915,2.887124,1.324077,0.981833,calls/second,milliseconds
1439799195,216,1.000000,0.078704,0.000000,0.269901,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.410157,2.887124,1.324077,0.981833,calls/second,milliseconds
1439799196,225,1.000000,0.075556,0.000000,0.264875,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.501662,2.887124,1.324077,0.981833,calls/second,milliseconds
1439799200,230,1.000000,0.073913,0.000000,0.262200,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.287757,3.008087,1.374917,1.000770,calls/second,milliseconds
1439799200,230,1.000000,0.073913,0.000000,0.262200,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.286591,3.008087,1.374917,1.000770,calls/second,milliseconds
1439799200,230,1.000000,0.073913,0.000000,0.262200,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.285639,3.008087,1.374917,1.000770,calls/second,milliseconds
1439799200,235,1.000000,0.072340,0.000000,0.259604,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.353293,3.008087,1.374917,1.000770,calls/second,milliseconds
1439799201,246,1.000000,0.069106,0.000000,0.254151,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.474292,3.008087,1.374917,1.000770,calls/second,milliseconds
1439799202,254,1.000000,0.074803,0.000000,0.263593,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.537190,3.103387,1.421612,1.018495,calls/second,milliseconds
1439799208,260,1.000000,0.076923,0.000000,0.266983,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.220788,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799208,260,1.000000,0.076923,0.000000,0.266983,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.219371,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799208,261,1.000000,0.076628,0.000000,0.266512,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.234233,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799208,261,1.000000,0.076628,0.000000,0.266512,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.232950,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799208,261,1.000000,0.076628,0.000000,0.266512,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.231632,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799208,266,1.000000,0.082707,0.000000,0.275958,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.291371,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799209,282,1.000000,0.085106,0.000000,0.279536,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.477414,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799210,295,1.000000,0.081356,0.000000,0.273845,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.610678,3.079129,1.444394,1.028364,calls/second,milliseconds
1439799212,302,1.000000,0.079470,0.000000,0.270920,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.584626,3.504563,1.559360,1.069204,calls/second,milliseconds
1439799212,304,1.000000,0.078947,0.000000,0.270101,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.607480,3.504563,1.559360,1.069204,calls/second,milliseconds
1439799213,326,1.000000,0.076687,0.000000,0.266503,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.867134,3.504563,1.559360,1.069204,calls/second,milliseconds
1439799214,337,1.000000,0.074184,0.000000,0.262460,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.957341,3.504563,1.559360,1.069204,calls/second,milliseconds
1439799216,343,1.000000,0.075802,0.000000,0.265067,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.865635,3.879989,1.669121,1.108710,calls/second,milliseconds
1439799217,344,1.000000,0.075581,0.000000,0.264712,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.878441,3.879989,1.669121,1.108710,calls/second,milliseconds
1439799217,353,1.000000,0.073654,0.000000,0.261578,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.973213,3.879989,1.669121,1.108710,calls/second,milliseconds
1439799218,367,1.000000,0.070845,0.000000,0.256915,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.098605,3.879989,1.669121,1.108710,calls/second,milliseconds
1439799221,375,1.000000,0.072000,0.000000,0.258833,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.990598,4.065487,1.744009,1.136917,calls/second,milliseconds
1439799221,375,1.000000,0.072000,0.000000,0.258833,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.989809,4.065487,1.744009,1.136917,calls/second,milliseconds
1439799221,375,1.000000,0.072000,0.000000,0.258833,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.989346,4.065487,1.744009,1.136917,calls/second,milliseconds
1439799222,386,1.000000,0.069948,0.000000,0.255391,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.080197,4.065487,1.744009,1.136917,calls/second,milliseconds
1439799223,395,1.000000,0.068354,0.000000,0.252673,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.131158,4.065487,1.744009,1.136917,calls/second,milliseconds
1439799226,403,1.000000,0.069479,0.000000,0.254583,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.010552,4.204171,1.811049,1.162751,calls/second,milliseconds
1439799226,403,1.000000,0.069479,0.000000,0.254583,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.009505,4.204171,1.811049,1.162751,calls/second,milliseconds
1439799226,403,1.000000,0.069479,0.000000,0.254583,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.008771,4.204171,1.811049,1.162751,calls/second,milliseconds
1439799227,406,1.000000,0.068966,0.000000,0.253708,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.013680,4.204171,1.811049,1.162751,calls/second,milliseconds
1439799228,424,1.000000,0.070755,0.000000,0.256718,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.171935,4.204171,1.811049,1.162751,calls/second,milliseconds
1439799234,439,1.000000,0.068337,0.000000,0.252611,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.964576,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799234,439,1.000000,0.068337,0.000000,0.252611,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.963861,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799234,440,1.000000,0.068182,0.000000,0.252345,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.974161,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799234,441,1.000000,0.068027,0.000000,0.252079,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.984503,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799234,441,1.000000,0.068027,0.000000,0.252079,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.983657,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799235,443,1.000000,0.067720,0.000000,0.251549,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.005354,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799235,455,1.000000,0.065934,0.000000,0.248440,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.113394,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799236,472,1.000000,0.065678,0.000000,0.247981,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.245304,4.443704,1.900121,1.196198,calls/second,milliseconds
1439799238,481,1.000000,0.064449,0.000000,0.245807,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.228513,4.616112,1.977803,1.226136,calls/second,milliseconds
1439799238,482,1.000000,0.064315,0.000000,0.245569,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.238533,4.616112,1.977803,1.226136,calls/second,milliseconds
1439799239,502,1.000000,0.063745,0.000000,0.244542,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.399070,4.616112,1.977803,1.226136,calls/second,milliseconds
1439799240,515,1.000000,0.062136,0.000000,0.241637,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.479701,4.616112,1.977803,1.226136,calls/second,milliseconds
1439799243,523,1.000000,0.061185,0.000000,0.239900,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.397511,5.062575,2.113704,1.275852,calls/second,milliseconds
1439799243,523,1.000000,0.061185,0.000000,0.239900,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.396506,5.062575,2.113704,1.275852,calls/second,milliseconds
1439799243,524,1.000000,0.061069,0.000000,0.239685,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.403127,5.062575,2.113704,1.275852,calls/second,milliseconds
1439799244,539,1.000000,0.059369,0.000000,0.236534,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.501195,5.062575,2.113704,1.275852,calls/second,milliseconds
1439799245,548,1.000000,0.058394,0.000000,0.234702,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.536382,5.062575,2.113704,1.275852,calls/second,milliseconds
1439799248,562,1.000000,0.058719,0.000000,0.235307,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.491085,5.281448,2.207690,1.311997,calls/second,milliseconds
1439799248,562,1.000000,0.058719,0.000000,0.235307,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.490135,5.281448,2.207690,1.311997,calls/second,milliseconds
1439799248,563,1.000000,0.058615,0.000000,0.235111,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.499260,5.281448,2.207690,1.311997,calls/second,milliseconds
1439799249,576,1.000000,0.060764,0.000000,0.239104,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.593345,5.281448,2.207690,1.311997,calls/second,milliseconds
1439799250,595,1.000000,0.058824,0.000000,0.235492,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.722254,5.281448,2.207690,1.311997,calls/second,milliseconds
1439799257,606,1.000000,0.057756,0.000000,0.233474,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.457634,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799257,606,1.000000,0.057756,0.000000,0.233474,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.456970,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799257,607,1.000000,0.057661,0.000000,0.233293,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.464992,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799257,607,1.000000,0.057661,0.000000,0.233293,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.464294,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799257,607,1.000000,0.057661,0.000000,0.233293,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.463645,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799257,607,1.000000,0.057661,0.000000,0.233293,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.462977,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799257,607,1.000000,0.057661,0.000000,0.233293,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.462522,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799258,626,1.000000,0.057508,0.000000,0.232997,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.590294,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799259,637,1.000000,0.056515,0.000000,0.231095,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.637876,5.103288,2.275109,1.344882,calls/second,milliseconds
1439799261,651,1.000000,0.055300,0.000000,0.228740,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.644934,5.430843,2.389568,1.388400,calls/second,milliseconds
1439799261,651,1.000000,0.055300,0.000000,0.228740,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.644388,5.430843,2.389568,1.388400,calls/second,milliseconds
