t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799148,21,4.000000,0.666667,0.000000,0.966092,0.000000,1.000000,3.800000,4.000000,4.000000,4.000000,10.534749,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,87,4.000000,0.310345,0.000000,0.615882,0.000000,1.000000,1.000000,2.480000,4.000000,4.000000,29.134596,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,198,4.000000,0.192893,0.000000,0.477398,0.000000,0.000000,1.000000,1.000000,2.040000,4.000000,49.725544,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,355,4.000000,0.132394,0.000000,0.393368,0.000000,0.000000,1.000000,1.000000,1.000000,4.000000,71.219845,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,587,4.000000,0.109029,0.000000,0.348135,0.000000,0.000000,1.000000,1.000000,1.000000,4.000000,98.111044,71.600000,71.600000,71.600000,calls/second,milliseconds
1439799153,697,4.000000,0.099138,0.000000,0.331032,0.000000,0.000000,1.000000,1.000000,1.000000,4.000000,99.800493,71.600000,71.600000,71.600000,calls/second,milliseconds
1439799154,1096,1.000000,0.062257,0.000000,0.241739,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,133.254768,71.600000,71.600000,71.600000,calls/second,milliseconds
1439799155,1360,1.000000,0.055340,0.000000,0.228753,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,151.286849,71.600000,71.600000,71.600000,calls/second,milliseconds
1439799156,1591,1.000000,0.050584,0.000000,0.219253,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,159.373813,71.600000,71.600000,71.600000,calls/second,milliseconds
1439799157,1888,1.000000,0.040856,0.000000,0.198053,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,166.484771,85.608219,74.495801,72.570635,calls/second,milliseconds
1439799158,2365,1.000000,0.040856,0.000000,0.198053,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,197.428006,85.608219,74.495801,72.570635,calls/second,milliseconds
1439799159,2471,1.000000,0.040856,0.000000,0.198053,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,184.831240,85.608219,74.495801,72.570635,calls/second,milliseconds
1439799160,2775,1.000000,0.035019,0.000000,0.183918,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,198.485375,85.608219,74.495801,72.570635,calls/second,milliseconds
1439799161,3072,1.000000,0.030156,0.000000,0.171099,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,205.066854,85.608219,74.495801,72.570635,calls/second,milliseconds
1439799163,3215,1.000000,0.029183,0.000000,0.168401,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,191.704538,102.558146,78.183389,73.817332,calls/second,milliseconds
1439799163,3439,1.000000,0.029183,0.000000,0.168401,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,202.498559,102.558146,78.183389,73.817332,calls/second,milliseconds
1439799164,4251,1.000000,0.025292,0.000000,0.157086,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,236.418258,102.558146,78.183389,73.817332,calls/second,milliseconds
1439799166,4323,1.000000,0.025292,0.000000,0.157086,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,216.393191,102.558146,78.183389,73.817332,calls/second,milliseconds
1439799166,4337,1.000000,0.025292,0.000000,0.157086,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,216.887413,102.558146,78.183389,73.817332,calls/second,milliseconds
