t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799148,26,1.000000,0.346154,0.000000,0.485165,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,25.269636,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,74,3.000000,0.310811,0.000000,0.547114,0.000000,1.000000,1.000000,2.000000,3.000000,3.000000,36.890434,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,134,3.000000,0.328358,0.000000,0.572242,0.000000,1.000000,1.000000,2.300000,3.000000,3.000000,44.608914,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,217,3.000000,0.239631,0.000000,0.497862,0.000000,0.000000,1.000000,1.000000,2.820000,3.000000,54.130250,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,324,3.000000,0.182099,0.000000,0.439026,0.000000,0.000000,1.000000,1.000000,1.750000,3.000000,64.769706,64.800000,64.800000,64.800000,calls/second,milliseconds
1439799153,380,3.000000,0.176316,0.000000,0.445401,0.000000,0.000000,1.000000,1.000000,2.190000,3.000000,63.305207,64.800000,64.800000,64.800000,calls/second,milliseconds
1439799154,514,3.000000,0.142023,0.000000,0.401343,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,73.402358,64.800000,64.800000,64.800000,calls/second,milliseconds
1439799155,603,3.000000,0.126036,0.000000,0.378889,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,75.341331,64.800000,64.800000,64.800000,calls/second,milliseconds
1439799156,692,3.000000,0.121387,0.000000,0.368443,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,76.872642,64.800000,64.800000,64.800000,calls/second,milliseconds
1439799157,705,3.000000,0.119149,0.000000,0.365391,0.000000,0.000000,1.000000,1.000000,1.000000,3.000000,67.347284,65.711494,64.988425,64.863158,calls/second,milliseconds
