t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799148,2,1.000000,0.500000,0.000000,0.707107,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.005118,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,5,1.000000,0.400000,0.000000,0.547723,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.673488,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,8,1.000000,0.500000,0.000000,0.534522,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,2.005439,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,11,1.000000,0.363636,0.000000,0.504525,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2.207651,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,19,1.000000,0.315789,0.000000,0.477567,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.175752,2.400000,2.400000,2.400000,calls/second,milliseconds
1439799153,21,1.000000,0.380952,0.000000,0.497613,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.006018,2.400000,2.400000,2.400000,calls/second,milliseconds
1439799154,31,1.000000,0.258065,0.000000,0.444803,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.769176,2.400000,2.400000,2.400000,calls/second,milliseconds
1439799155,38,1.000000,0.210526,0.000000,0.413155,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.229925,2.400000,2.400000,2.400000,calls/second,milliseconds
1439799156,45,1.000000,0.200000,0.000000,0.404520,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.508986,2.400000,2.400000,2.400000,calls/second,milliseconds
1439799157,50,1.000000,0.180000,0.000000,0.388088,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.410696,2.735813,2.469420,2.423269,calls/second,milliseconds
1439799158,61,1.000000,0.147541,0.000000,0.357588,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.091610,2.735813,2.469420,2.423269,calls/second,milliseconds
1439799159,63,1.000000,0.142857,0.000000,0.352738,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,4.712057,2.735813,2.469420,2.423269,calls/second,milliseconds
1439799160,74,1.000000,0.121622,0.000000,0.329079,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,5.292877,2.735813,2.469420,2.423269,calls/second,milliseconds
