t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439799148,4,7.000000,3.500000,1.000000,2.645751,3.000000,6.250000,7.000000,7.000000,7.000000,7.000000,3.931738,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799149,21,7.000000,2.047619,1.000000,1.321975,2.000000,2.000000,6.700000,7.000000,7.000000,7.000000,10.471237,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799150,38,7.000000,1.657895,1.000000,1.097326,1.000000,2.000000,4.150000,7.000000,7.000000,7.000000,12.650754,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799151,61,81.000000,2.557377,0.000000,10.270548,1.000000,2.000000,3.900000,63.240000,81.000000,81.000000,15.242233,0.000000,0.000000,0.000000,calls/second,milliseconds
1439799152,86,81.000000,2.000000,0.000000,8.677218,1.000000,1.000000,2.650000,26.240000,81.000000,81.000000,17.192422,17.200000,17.200000,17.200000,calls/second,milliseconds
1439799153,125,81.000000,1.504000,0.000000,7.228554,1.000000,1.000000,2.000000,5.440000,61.760000,81.000000,20.826846,17.200000,17.200000,17.200000,calls/second,milliseconds
1439799154,172,81.000000,1.238372,0.000000,6.178262,1.000000,1.000000,2.000000,3.540000,26.980000,81.000000,24.564055,17.200000,17.200000,17.200000,calls/second,milliseconds
1439799155,217,356.000000,2.649770,0.000000,24.721540,1.000000,1.000000,2.000000,3.640000,67.680000,356.000000,27.108290,17.200000,17.200000,17.200000,calls/second,milliseconds
1439799156,306,356.000000,1.915033,0.000000,20.836742,0.000000,1.000000,2.000000,2.000000,6.790000,356.000000,33.994350,17.200000,17.200000,17.200000,calls/second,milliseconds
1439799157,318,356.000000,1.845912,0.000000,20.441611,0.000000,1.000000,2.000000,2.000000,6.430000,356.000000,30.351513,19.534703,17.682634,17.361772,calls/second,milliseconds
