t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1439350019,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439350021,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439350023,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439350025,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1439350027,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.099955,0.015991,0.003306,0.001108,calls/second,milliseconds
1439350029,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083349,0.015991,0.003306,0.001108,calls/second,milliseconds
1439350031,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071424,0.015991,0.003306,0.001108,calls/second,milliseconds
1439350033,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062508,0.014713,0.003251,0.001102,calls/second,milliseconds
1439350035,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055564,0.014713,0.003251,0.001102,calls/second,milliseconds
1439350037,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049992,0.013536,0.003197,0.001096,calls/second,milliseconds
1439350039,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045463,0.013536,0.003197,0.001096,calls/second,milliseconds
1439350041,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041673,0.013536,0.003197,0.001096,calls/second,milliseconds
1439350043,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038466,0.012454,0.003144,0.001090,calls/second,milliseconds
1439350045,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035719,0.012454,0.003144,0.001090,calls/second,milliseconds
1439350047,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.011458,0.003093,0.001084,calls/second,milliseconds
1439350049,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031254,0.011458,0.003093,0.001084,calls/second,milliseconds
1439350051,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029414,0.011458,0.003093,0.001084,calls/second,milliseconds
1439350053,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055562,0.010542,0.003041,0.001078,calls/second,milliseconds
1439350055,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052637,0.010542,0.003041,0.001078,calls/second,milliseconds
1439350057,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050004,0.010542,0.003041,0.001078,calls/second,milliseconds
1439350059,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047622,0.025690,0.006297,0.002180,calls/second,milliseconds
1439350061,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.025690,0.006297,0.002180,calls/second,milliseconds
1439350063,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043474,0.023636,0.006193,0.002168,calls/second,milliseconds
1439350065,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041670,0.023636,0.006193,0.002168,calls/second,milliseconds
1439350067,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040002,0.023636,0.006193,0.002168,calls/second,milliseconds
1439350069,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038464,0.021746,0.006090,0.002156,calls/second,milliseconds
1439350071,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037039,0.021746,0.006090,0.002156,calls/second,milliseconds
1439350073,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035717,0.020008,0.005990,0.002144,calls/second,milliseconds
1439350075,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034485,0.020008,0.005990,0.002144,calls/second,milliseconds
1439350077,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,0.018408,0.005891,0.002132,calls/second,milliseconds
1439350079,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.018408,0.005891,0.002132,calls/second,milliseconds
1439350081,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031248,0.018408,0.005891,0.002132,calls/second,milliseconds
1439350083,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030304,0.016936,0.005793,0.002120,calls/second,milliseconds
1439350085,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.016936,0.005793,0.002120,calls/second,milliseconds
1439350087,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028572,0.016936,0.005793,0.002120,calls/second,milliseconds
1439350089,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027778,0.015582,0.005698,0.002108,calls/second,milliseconds
1439350091,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027025,0.015582,0.005698,0.002108,calls/second,milliseconds
1439350093,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.014336,0.005603,0.002097,calls/second,milliseconds
1439350095,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025639,0.014336,0.005603,0.002097,calls/second,milliseconds
1439350097,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024998,0.013190,0.005511,0.002085,calls/second,milliseconds
1439350099,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024390,0.013190,0.005511,0.002085,calls/second,milliseconds
1439350101,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023808,0.013190,0.005511,0.002085,calls/second,milliseconds
1439350103,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023256,0.012135,0.005420,0.002073,calls/second,milliseconds
1439350105,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022727,0.012135,0.005420,0.002073,calls/second,milliseconds
1439350107,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022221,0.011165,0.005330,0.002062,calls/second,milliseconds
1439350109,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021738,0.011165,0.005330,0.002062,calls/second,milliseconds
1439350111,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021275,0.011165,0.005330,0.002062,calls/second,milliseconds
1439350113,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,0.010272,0.005242,0.002051,calls/second,milliseconds
1439350115,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020409,0.010272,0.005242,0.002051,calls/second,milliseconds
1439350117,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029998,0.025442,0.008461,0.003147,calls/second,milliseconds
1439350119,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029412,0.025442,0.008461,0.003147,calls/second,milliseconds
1439350121,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028846,0.025442,0.008461,0.003147,calls/second,milliseconds
1439350123,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028302,0.023408,0.008321,0.003130,calls/second,milliseconds
1439350125,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027779,0.023408,0.008321,0.003130,calls/second,milliseconds
1439350127,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027273,0.023408,0.008321,0.003130,calls/second,milliseconds
1439350129,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026784,0.021536,0.008184,0.003112,calls/second,milliseconds
1439350131,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026316,0.021536,0.008184,0.003112,calls/second,milliseconds
1439350133,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025862,0.019814,0.008048,0.003095,calls/second,milliseconds
1439350135,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025422,0.019814,0.008048,0.003095,calls/second,milliseconds
1439350137,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025001,0.019814,0.008048,0.003095,calls/second,milliseconds
1439350139,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024589,0.018230,0.007915,0.003078,calls/second,milliseconds
1439350141,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.032258,0.018230,0.007915,0.003078,calls/second,milliseconds
1439350143,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031745,0.032764,0.011090,0.004169,calls/second,milliseconds
1439350145,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031251,0.032764,0.011090,0.004169,calls/second,milliseconds
