t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,359,180.187846,0.000000,0.000000,0.000000,events/second
1439799149,503,168.201514,0.000000,0.000000,0.000000,events/second
1439799150,746,186.681703,0.000000,0.000000,0.000000,events/second
1439799151,1202,240.978059,0.000000,0.000000,0.000000,events/second
1439799152,2606,435.247934,246.800000,246.800000,246.800000,events/second
1439799153,2989,427.585830,246.800000,246.800000,246.800000,events/second
1439799154,5458,663.470571,246.800000,246.800000,246.800000,events/second
1439799155,7022,781.273327,246.800000,246.800000,246.800000,events/second
1439799156,8978,899.090662,246.800000,246.800000,246.800000,events/second
1439799157,10704,943.973746,351.269968,268.396198,254.038763,events/second
1439799158,12532,1045.469838,351.269968,268.396198,254.038763,events/second
1439799159,12838,959.938250,351.269968,268.396198,254.038763,events/second
1439799160,14909,1065.975070,351.269968,268.396198,254.038763,events/second
1439799161,18133,1209.969281,351.269968,268.396198,254.038763,events/second
1439799163,20072,1196.473090,470.062382,294.322939,262.808608,events/second
1439799163,21629,1273.298919,470.062382,294.322939,262.808608,events/second
1439799164,28920,1607.827694,470.062382,294.322939,262.808608,events/second
1439799166,29307,1466.886169,470.062382,294.322939,262.808608,events/second
1439799166,29442,1472.189383,470.062382,294.322939,262.808608,events/second
1439799167,32428,1545.146527,612.666177,326.706940,273.837895,events/second
1439799168,34324,1561.111476,612.666177,326.706940,273.837895,events/second
1439799169,35299,1535.548689,612.666177,326.706940,273.837895,events/second
1439799172,35842,1370.741854,665.815358,342.420514,279.397782,events/second
1439799172,35843,1370.152079,665.815358,342.420514,279.397782,events/second
1439799172,35896,1371.500947,665.815358,342.420514,279.397782,events/second
1439799173,41298,1530.313781,665.815358,342.420514,279.397782,events/second
1439799174,46819,1672.797673,665.815358,342.420514,279.397782,events/second
1439799177,47067,1522.442092,792.079991,373.867387,290.287517,events/second
1439799177,47165,1524.793886,792.079991,373.867387,290.287517,events/second
1439799177,47855,1544.339071,792.079991,373.867387,290.287517,events/second
1439799178,52283,1634.554498,792.079991,373.867387,290.287517,events/second
1439799179,55595,1685.310659,792.079991,373.867387,290.287517,events/second
1439799184,56235,1493.457085,875.371324,397.997951,298.838811,events/second
1439799184,56237,1492.920811,875.371324,397.997951,298.838811,events/second
1439799184,56237,1492.216442,875.371324,397.997951,298.838811,events/second
1439799184,56237,1491.797827,875.371324,397.997951,298.838811,events/second
1439799184,57676,1518.349556,875.371324,397.997951,298.838811,events/second
1439799185,59529,1526.812745,875.371324,397.997951,298.838811,events/second
1439799186,61689,1542.710785,875.371324,397.997951,298.838811,events/second
1439799187,63919,1559.493536,892.644023,409.458879,303.229720,events/second
1439799189,64544,1507.345921,892.644023,409.458879,303.229720,events/second
1439799189,65471,1523.096503,892.644023,409.458879,303.229720,events/second
1439799190,69429,1578.456945,892.644023,409.458879,303.229720,events/second
1439799194,72340,1512.608534,990.793980,437.734942,313.296012,events/second
1439799194,72397,1513.290328,990.793980,437.734942,313.296012,events/second
1439799194,72397,1512.964747,990.793980,437.734942,313.296012,events/second
1439799194,72967,1520.537388,990.793980,437.734942,313.296012,events/second
1439799195,76503,1561.735766,990.793980,437.734942,313.296012,events/second
1439799196,79300,1586.373243,990.793980,437.734942,313.296012,events/second
1439799200,79696,1485.630758,1023.944047,453.729039,319.346434,events/second
1439799200,79871,1488.508442,1023.944047,453.729039,319.346434,events/second
1439799200,79928,1489.194564,1023.944047,453.729039,319.346434,events/second
1439799200,80891,1498.385254,1023.944047,453.729039,319.346434,events/second
1439799201,84221,1531.675413,1023.944047,453.729039,319.346434,events/second
1439799202,88726,1584.745244,1020.446466,462.430838,323.007663,events/second
1439799208,91227,1480.910707,1050.841864,477.937411,328.977688,events/second
1439799208,91591,1486.311207,1050.841864,477.937411,328.977688,events/second
1439799208,92086,1493.846001,1050.841864,477.937411,328.977688,events/second
1439799208,92469,1499.585320,1050.841864,477.937411,328.977688,events/second
1439799208,92760,1503.813112,1050.841864,477.937411,328.977688,events/second
1439799208,97339,1570.237140,1050.841864,477.937411,328.977688,events/second
1439799209,101911,1617.984353,1050.841864,477.937411,328.977688,events/second
1439799210,105320,1645.974210,1050.841864,477.937411,328.977688,events/second
1439799212,107688,1634.717923,1229.715153,524.383660,345.371122,events/second
1439799212,108185,1639.528033,1229.715153,524.383660,345.371122,events/second
1439799213,113063,1687.857005,1229.715153,524.383660,345.371122,events/second
1439799214,115437,1697.947591,1229.715153,524.383660,345.371122,events/second
1439799216,117493,1666.635092,1287.865638,548.062725,354.299791,events/second
1439799217,117668,1668.640313,1287.865638,548.062725,354.299791,events/second
1439799217,120768,1701.275568,1287.865638,548.062725,354.299791,events/second
1439799218,126674,1759.719583,1287.865638,548.062725,354.299791,events/second
1439799221,128191,1705.937711,1356.654176,574.510668,364.238270,events/second
1439799221,128193,1705.641578,1356.654176,574.510668,364.238270,events/second
1439799221,128194,1705.459060,1356.654176,574.510668,364.238270,events/second
1439799222,130847,1722.012796,1356.654176,574.510668,364.238270,events/second
1439799223,133186,1730.026967,1356.654176,574.510668,364.238270,events/second
1439799226,135074,1679.330235,1358.264947,587.771344,369.848016,events/second
1439799226,135211,1680.710716,1358.264947,587.771344,369.848016,events/second
1439799226,135213,1680.400907,1358.264947,587.771344,369.848016,events/second
1439799227,136804,1689.256060,1358.264947,587.771344,369.848016,events/second
1439799228,142118,1733.466197,1358.264947,587.771344,369.848016,events/second
1439799234,147065,1663.098295,1441.413563,617.695098,381.085395,events/second
1439799234,147065,1662.857107,1441.413563,617.695098,381.085395,events/second
1439799234,147242,1664.538217,1441.413563,617.695098,381.085395,events/second
1439799234,147543,1667.595699,1441.413563,617.695098,381.085395,events/second
1439799234,147825,1670.496242,1441.413563,617.695098,381.085395,events/second
1439799234,148076,1673.075763,1441.413563,617.695098,381.085395,events/second
1439799235,154713,1738.627428,1441.413563,617.695098,381.085395,events/second
1439799236,158435,1760.622770,1441.413563,617.695098,381.085395,events/second
1439799238,161334,1753.679534,1510.350184,645.560655,391.736418,events/second
1439799238,161440,1754.540964,1510.350184,645.560655,391.736418,events/second
1439799239,167998,1806.708157,1510.350184,645.560655,391.736418,events/second
1439799240,172896,1839.544132,1510.350184,645.560655,391.736418,events/second
1439799243,174714,1803.090130,1647.541961,688.214872,407.439777,events/second
1439799243,174766,1803.283630,1647.541961,688.214872,407.439777,events/second
1439799243,174901,1803.360917,1647.541961,688.214872,407.439777,events/second
1439799244,178234,1818.977493,1647.541961,688.214872,407.439777,events/second
1439799245,180760,1826.139199,1647.541961,688.214872,407.439777,events/second
1439799248,186952,1826.639136,1711.367149,717.265199,418.732602,events/second
1439799248,187062,1827.337715,1711.367149,717.265199,418.732602,events/second
1439799248,187278,1829.228391,1711.367149,717.265199,418.732602,events/second
1439799249,190754,1852.235623,1711.367149,717.265199,418.732602,events/second
1439799250,195378,1878.906758,1711.367149,717.265199,418.732602,events/second
1439799257,199139,1793.359711,1628.075129,733.400506,427.544442,events/second
1439799257,199139,1793.146812,1628.075129,733.400506,427.544442,events/second
1439799257,199274,1794.062458,1628.075129,733.400506,427.544442,events/second
1439799257,199569,1796.465996,1628.075129,733.400506,427.544442,events/second
1439799257,199773,1798.088719,1628.075129,733.400506,427.544442,events/second
1439799257,199781,1797.929753,1628.075129,733.400506,427.544442,events/second
1439799257,199781,1797.771169,1628.075129,733.400506,427.544442,events/second
1439799258,204877,1829.488663,1628.075129,733.400506,427.544442,events/second
1439799259,209272,1852.158955,1628.075129,733.400506,427.544442,events/second
1439799261,212898,1846.049539,1717.923209,766.761716,440.421171,events/second
1439799261,212904,1845.883546,1717.923209,766.761716,440.421171,events/second
1439799262,217270,1873.236311,1717.923209,766.761716,440.421171,events/second
1439799263,222212,1899.474939,1717.923209,766.761716,440.421171,events/second
1439799264,225753,1913.361006,1717.923209,766.761716,440.421171,events/second
1439799266,225854,1876.906716,1787.746566,796.917028,452.336812,events/second
1439799266,225868,1876.822495,1787.746566,796.917028,452.336812,events/second
1439799267,229836,1899.701388,1787.746566,796.917028,452.336812,events/second
1439799268,234247,1920.289830,1787.746566,796.917028,452.336812,events/second
1439799270,235648,1893.383337,1787.746566,796.917028,452.336812,events/second
1439799270,235652,1893.223740,1787.746566,796.917028,452.336812,events/second
1439799271,239884,1919.295428,1787.746566,796.917028,452.336812,events/second
1439799272,244665,1942.012222,1869.401482,830.173834,465.393085,events/second
1439799273,247906,1952.208348,1869.401482,830.173834,465.393085,events/second
1439799279,248927,1867.706613,1864.300197,846.296211,472.818035,events/second
1439799279,248930,1867.511590,1864.300197,846.296211,472.818035,events/second
1439799279,248934,1867.331764,1864.300197,846.296211,472.818035,events/second
1439799279,248945,1867.202844,1864.300197,846.296211,472.818035,events/second
1439799279,248945,1867.049743,1864.300197,846.296211,472.818035,events/second
1439799279,248945,1866.914240,1864.300197,846.296211,472.818035,events/second
1439799280,252452,1884.172351,1864.300197,846.296211,472.818035,events/second
1439799281,258168,1912.529221,1864.300197,846.296211,472.818035,events/second
1439799282,262190,1928.057156,1863.044879,862.862835,480.440076,events/second
1439799284,263683,1905.513764,1863.044879,862.862835,480.440076,events/second
1439799284,263683,1905.369107,1863.044879,862.862835,480.440076,events/second
1439799285,269038,1935.684327,1863.044879,862.862835,480.440076,events/second
1439799286,276223,1973.199490,1863.044879,862.862835,480.440076,events/second
1439799287,280688,1990.875050,2004.258846,908.586367,497.884685,events/second
1439799290,280750,1948.022950,2004.258846,908.586367,497.884685,events/second
1439799290,281026,1949.673646,2004.258846,908.586367,497.884685,events/second
1439799290,281229,1950.902436,2004.258846,908.586367,497.884685,events/second
1439799291,288107,1987.155218,2004.258846,908.586367,497.884685,events/second
1439799292,293478,2010.303276,2035.452810,933.144706,508.391668,events/second
1439799293,297754,2025.672591,2035.452810,933.144706,508.391668,events/second
1439799297,299961,1992.759386,2059.371299,956.308725,518.509139,events/second
1439799297,299961,1992.580864,2059.371299,956.308725,518.509139,events/second
1439799297,300021,1992.826818,2059.371299,956.308725,518.509139,events/second
1439799297,301428,1996.410949,2059.371299,956.308725,518.509139,events/second
1439799298,304966,2006.525028,2059.371299,956.308725,518.509139,events/second
1439799299,307079,2007.219770,2059.371299,956.308725,518.509139,events/second
1439799300,314782,2044.212483,2059.371299,956.308725,518.509139,events/second
1439799303,314997,2005.947122,2135.155497,990.206976,532.296865,events/second
1439799303,315069,2006.243251,2135.155497,990.206976,532.296865,events/second
1439799303,315142,2006.558143,2135.155497,990.206976,532.296865,events/second
1439799304,318567,2016.428346,2135.155497,990.206976,532.296865,events/second
1439799305,320912,2018.492397,2135.155497,990.206976,532.296865,events/second
1439799306,322326,2014.695860,2135.155497,990.206976,532.296865,events/second
1439799314,325490,1936.292421,1965.794193,992.030491,537.996765,events/second
1439799314,325544,1936.422870,1965.794193,992.030491,537.996765,events/second
