t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,289,285.346832,0.000000,0.000000,0.000000,events/second
1439799149,1131,564.132723,0.000000,0.000000,0.000000,events/second
1439799150,4311,1435.580397,0.000000,0.000000,0.000000,events/second
1439799151,8235,2057.954258,0.000000,0.000000,0.000000,events/second
1439799152,11510,2301.222371,2302.000000,2302.000000,2302.000000,events/second
1439799153,16210,2701.287862,2302.000000,2302.000000,2302.000000,events/second
1439799154,23104,3300.027333,2302.000000,2302.000000,2302.000000,events/second
1439799155,29389,3672.897473,2302.000000,2302.000000,2302.000000,events/second
1439799156,39932,4436.393591,2302.000000,2302.000000,2302.000000,events/second
1439799157,41342,3947.446572,2594.989247,2362.567205,2322.301333,events/second
1439799158,53033,4820.668923,2594.989247,2362.567205,2322.301333,events/second
1439799159,62834,5023.674524,2594.989247,2362.567205,2322.301333,events/second
1439799160,83257,6404.366328,2594.989247,2362.567205,2322.301333,events/second
1439799161,95344,6810.211204,2594.989247,2362.567205,2322.301333,events/second
1439799163,95385,5997.326703,3251.713303,2502.167848,2369.316717,events/second
1439799163,96364,6022.156938,3251.713303,2502.167848,2369.316717,events/second
1439799164,117745,6925.134149,3251.713303,2502.167848,2369.316717,events/second
1439799166,119647,6261.823484,3251.713303,2502.167848,2369.316717,events/second
1439799166,120258,6287.369482,3251.713303,2502.167848,2369.316717,events/second
1439799167,149227,7461.119999,3852.634432,2638.780119,2415.843375,events/second
1439799168,157435,7496.395597,3852.634432,2638.780119,2415.843375,events/second
1439799169,161765,7352.412267,3852.634432,2638.780119,2415.843375,events/second
1439799172,164952,6525.410168,3795.751276,2647.084389,2419.861961,events/second
1439799172,165407,6540.470130,3795.751276,2647.084389,2419.861961,events/second
1439799172,165524,6541.480164,3795.751276,2647.084389,2419.861961,events/second
1439799173,180287,6933.313026,3795.751276,2647.084389,2419.861961,events/second
1439799174,196048,7260.436182,3795.751276,2647.084389,2419.861961,events/second
1439799177,200800,6683.305979,4065.253467,2721.782106,2446.158503,events/second
1439799177,201377,6698.820146,4065.253467,2721.782106,2446.158503,events/second
1439799177,201562,6701.693002,4065.253467,2721.782106,2446.158503,events/second
1439799178,219548,7081.970239,4065.253467,2721.782106,2446.158503,events/second
1439799179,233534,7297.508893,4065.253467,2721.782106,2446.158503,events/second
1439799184,238350,6479.542881,4341.319838,2801.056615,2474.257276,events/second
1439799184,238750,6487.652201,4341.319838,2801.056615,2474.257276,events/second
1439799184,238886,6488.432972,4341.319838,2801.056615,2474.257276,events/second
1439799184,239027,6490.342160,4341.319838,2801.056615,2474.257276,events/second
1439799184,242482,6553.540815,4341.319838,2801.056615,2474.257276,events/second
1439799185,257082,6765.228055,4341.319838,2801.056615,2474.257276,events/second
1439799186,269276,6904.350043,4341.319838,2801.056615,2474.257276,events/second
1439799187,280168,7003.874396,4662.795674,2892.970924,2506.876266,events/second
1439799189,283053,6747.467535,4662.795674,2892.970924,2506.876266,events/second
1439799189,284453,6772.502171,4662.795674,2892.970924,2506.876266,events/second
1439799190,312468,7266.353901,4662.795674,2892.970924,2506.876266,events/second
1439799191,334501,7601.905058,4662.795674,2892.970924,2506.876266,events/second
1439799194,334991,7134.533946,5166.436252,3026.336938,2553.717828,events/second
1439799194,335529,7143.543892,5166.436252,3026.336938,2553.717828,events/second
1439799194,336817,7165.898002,5166.436252,3026.336938,2553.717828,events/second
1439799195,363030,7562.838285,5166.436252,3026.336938,2553.717828,events/second
1439799196,383356,7823.126960,5166.436252,3026.336938,2553.717828,events/second
