t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,372,186.546247,0.000000,0.000000,0.000000,events/second
1439799149,1290,431.210486,0.000000,0.000000,0.000000,events/second
1439799150,2296,575.808622,0.000000,0.000000,0.000000,events/second
1439799151,3890,779.752834,0.000000,0.000000,0.000000,events/second
1439799152,6067,1013.433803,783.200000,783.200000,783.200000,events/second
1439799153,7358,1052.662155,783.200000,783.200000,783.200000,events/second
1439799154,11268,1369.401309,783.200000,783.200000,783.200000,events/second
1439799155,14091,1567.924030,783.200000,783.200000,783.200000,events/second
1439799156,16566,1658.903530,783.200000,783.200000,783.200000,events/second
1439799157,19230,1695.867203,923.010337,812.101816,792.887510,events/second
1439799158,24119,2011.935970,923.010337,812.101816,792.887510,events/second
1439799159,24929,1863.536206,923.010337,812.101816,792.887510,events/second
1439799160,28246,2019.573491,923.010337,812.101816,792.887510,events/second
1439799161,31000,2068.615231,923.010337,812.101816,792.887510,events/second
1439799163,32570,1941.646354,1080.314129,846.453063,804.508048,events/second
1439799163,34633,2038.695966,1080.314129,846.453063,804.508048,events/second
1439799164,42777,2378.228334,1080.314129,846.453063,804.508048,events/second
1439799166,43426,2173.456949,1080.314129,846.453063,804.508048,events/second
1439799166,43638,2181.938309,1080.314129,846.453063,804.508048,events/second
1439799167,51224,2440.578513,1195.664922,874.163947,814.028754,events/second
1439799168,55815,2538.558176,1195.664922,874.163947,814.028754,events/second
1439799169,58145,2529.576017,1195.664922,874.163947,814.028754,events/second
1439799172,59699,2282.965323,1355.954689,912.613247,827.249614,events/second
1439799172,59759,2284.268919,1355.954689,912.613247,827.249614,events/second
1439799172,59830,2285.770183,1355.954689,912.613247,827.249614,events/second
1439799173,68558,2540.431191,1355.954689,912.613247,827.249614,events/second
1439799174,84477,3018.593929,1355.954689,912.613247,827.249614,events/second
1439799177,85976,2780.989538,1667.353334,984.313861,851.755647,events/second
1439799177,86164,2785.521585,1667.353334,984.313861,851.755647,events/second
1439799177,86560,2793.354164,1667.353334,984.313861,851.755647,events/second
1439799178,97359,3043.741196,1667.353334,984.313861,851.755647,events/second
1439799179,103426,3135.285232,1667.353334,984.313861,851.755647,events/second
1439799184,105309,2796.872560,1844.458687,1032.215012,868.545878,events/second
1439799184,105502,2800.900192,1844.458687,1032.215012,868.545878,events/second
1439799184,105515,2799.832821,1844.458687,1032.215012,868.545878,events/second
1439799184,105515,2799.028228,1844.458687,1032.215012,868.545878,events/second
1439799184,108114,2846.169398,1844.458687,1032.215012,868.545878,events/second
1439799185,114077,2925.887567,1844.458687,1032.215012,868.545878,events/second
1439799186,119250,2982.171499,1844.458687,1032.215012,868.545878,events/second
1439799187,124457,3036.494897,1920.331845,1061.324839,879.209862,events/second
1439799189,125109,2921.695854,1920.331845,1061.324839,879.209862,events/second
1439799189,126391,2940.374947,1920.331845,1061.324839,879.209862,events/second
1439799190,134585,3059.687592,1920.331845,1061.324839,879.209862,events/second
1439799194,139988,2927.054463,2096.703325,1111.982770,897.198681,events/second
1439799194,140258,2931.748068,2096.703325,1111.982770,897.198681,events/second
1439799194,140258,2931.121600,2096.703325,1111.982770,897.198681,events/second
1439799194,141107,2940.552521,2096.703325,1111.982770,897.198681,events/second
1439799195,149983,3061.865346,2096.703325,1111.982770,897.198681,events/second
1439799196,155067,3102.099645,2096.703325,1111.982770,897.198681,events/second
1439799200,158080,2946.804796,2174.219999,1144.283140,909.215278,events/second
1439799200,158279,2949.768872,2174.219999,1144.283140,909.215278,events/second
1439799200,158420,2951.642335,2174.219999,1144.283140,909.215278,events/second
1439799200,161031,2982.835399,2174.219999,1144.283140,909.215278,events/second
1439799201,168735,3068.641649,2174.219999,1144.283140,909.215278,events/second
1439799202,175722,3138.623313,2216.211073,1169.986960,919.133173,events/second
1439799208,179247,2909.847479,2207.047278,1185.385170,925.684219,events/second
1439799208,179455,2912.217454,2207.047278,1185.385170,925.684219,events/second
1439799208,179671,2914.759411,2207.047278,1185.385170,925.684219,events/second
1439799208,179868,2917.028314,2207.047278,1185.385170,925.684219,events/second
1439799208,180051,2919.086732,2207.047278,1185.385170,925.684219,events/second
1439799208,185440,2991.415263,2207.047278,1185.385170,925.684219,events/second
1439799209,197291,3132.337020,2207.047278,1185.385170,925.684219,events/second
1439799210,206887,3233.298692,2207.047278,1185.385170,925.684219,events/second
1439799212,212087,3219.488815,2551.971893,1273.575126,956.683119,events/second
1439799212,214468,3250.219899,2551.971893,1273.575126,956.683119,events/second
1439799213,230289,3437.828801,2551.971893,1273.575126,956.683119,events/second
1439799214,239281,3519.506582,2551.971893,1273.575126,956.683119,events/second
1439799216,242432,3438.855240,2835.016913,1353.216684,985.133555,events/second
1439799217,242902,3444.528500,2835.016913,1353.216684,985.133555,events/second
1439799217,250745,3532.298662,2835.016913,1353.216684,985.133555,events/second
1439799218,263051,3654.224110,2835.016913,1353.216684,985.133555,events/second
1439799221,268666,3575.415153,3029.547500,1417.922361,1008.861286,events/second
1439799221,268904,3577.900590,3029.547500,1417.922361,1008.861286,events/second
1439799221,268990,3578.605331,3029.547500,1417.922361,1008.861286,events/second
1439799222,277479,3651.679955,3029.547500,1417.922361,1008.861286,events/second
1439799223,283145,3677.869312,3029.547500,1417.922361,1008.861286,events/second
1439799226,288073,3581.502009,3097.641874,1458.636759,1024.774479,events/second
1439799226,288181,3582.191537,3097.641874,1458.636759,1024.774479,events/second
1439799226,288394,3584.117667,3097.641874,1458.636759,1024.774479,events/second
1439799227,291554,3600.097129,3097.641874,1458.636759,1024.774479,events/second
1439799228,302356,3687.902511,3097.641874,1458.636759,1024.774479,events/second
1439799234,310759,3514.162242,3213.046418,1509.583742,1044.254903,events/second
1439799234,310759,3513.669383,3213.046418,1509.583742,1044.254903,events/second
1439799234,311347,3519.612999,3213.046418,1509.583742,1044.254903,events/second
1439799234,311869,3524.754850,3213.046418,1509.583742,1044.254903,events/second
1439799234,312227,3528.178775,3213.046418,1509.583742,1044.254903,events/second
1439799235,312616,3532.014201,3213.046418,1509.583742,1044.254903,events/second
1439799235,322605,3625.297402,3213.046418,1509.583742,1044.254903,events/second
1439799236,336343,3737.645614,3213.046418,1509.583742,1044.254903,events/second
1439799238,343425,3732.990836,3366.541439,1569.470239,1066.906065,events/second
1439799238,343621,3734.511151,3366.541439,1569.470239,1066.906065,events/second
1439799239,357151,3840.920937,3366.541439,1569.470239,1066.906065,events/second
1439799240,365747,3891.411445,3366.541439,1569.470239,1066.906065,events/second
1439799243,372210,3841.299771,3669.289950,1661.757869,1100.623950,events/second
1439799243,372418,3842.699339,3669.289950,1661.757869,1100.623950,events/second
1439799243,373202,3847.988684,3669.289950,1661.757869,1100.623950,events/second
1439799244,384222,3921.233691,3669.289950,1661.757869,1100.623950,events/second
1439799245,390305,3942.956879,3669.289950,1661.757869,1100.623950,events/second
1439799248,399220,3900.721346,3808.069663,1723.628219,1124.470848,events/second
1439799248,399492,3902.562410,3808.069663,1723.628219,1124.470848,events/second
1439799248,399675,3903.855648,3808.069663,1723.628219,1124.470848,events/second
1439799249,411606,3996.728606,3808.069663,1723.628219,1124.470848,events/second
1439799250,424265,4080.017566,3808.069663,1723.628219,1124.470848,events/second
1439799257,431528,3886.185676,3698.897041,1772.179313,1147.653514,events/second
1439799257,431585,3886.233492,3698.897041,1772.179313,1147.653514,events/second
1439799257,431728,3886.876823,3698.897041,1772.179313,1147.653514,events/second
1439799257,431843,3887.361493,3698.897041,1772.179313,1147.653514,events/second
1439799257,432508,3892.873047,3698.897041,1772.179313,1147.653514,events/second
1439799257,432926,3896.135357,3698.897041,1772.179313,1147.653514,events/second
1439799257,432926,3895.780125,3698.897041,1772.179313,1147.653514,events/second
1439799258,445582,3978.901567,3698.897041,1772.179313,1147.653514,events/second
1439799259,457062,4045.228333,3698.897041,1772.179313,1147.653514,events/second
1439799261,465078,4032.693738,3939.651540,1853.794311,1178.469759,events/second
1439799261,465102,4032.414636,3939.651540,1853.794311,1178.469759,events/second
1439799262,474923,4094.646385,3939.651540,1853.794311,1178.469759,events/second
1439799263,488874,4178.911722,3939.651540,1853.794311,1178.469759,events/second
1439799264,498678,4226.528591,3939.651540,1853.794311,1178.469759,events/second
1439799266,499339,4149.667455,4172.526057,1936.410690,1209.903087,events/second
1439799266,499357,4149.395303,4172.526057,1936.410690,1209.903087,events/second
1439799267,511719,4229.578274,4172.526057,1936.410690,1209.903087,events/second
1439799268,529765,4342.858355,4172.526057,1936.410690,1209.903087,events/second
1439799270,533560,4286.972041,4172.526057,1936.410690,1209.903087,events/second
1439799270,533659,4287.355073,4172.526057,1936.410690,1209.903087,events/second
1439799271,537790,4302.811704,4172.526057,1936.410690,1209.903087,events/second
1439799272,552166,4382.779071,4468.943316,2034.646275,1246.855330,events/second
1439799273,565343,4451.918083,4468.943316,2034.646275,1246.855330,events/second
1439799279,567565,4258.358296,4572.106544,2096.207733,1271.854405,events/second
1439799279,567717,4259.019562,4572.106544,2096.207733,1271.854405,events/second
1439799279,567874,4259.731422,4572.106544,2096.207733,1271.854405,events/second
1439799279,568351,4262.826726,4572.106544,2096.207733,1271.854405,events/second
1439799279,568366,4262.593911,4572.106544,2096.207733,1271.854405,events/second
1439799279,568397,4262.503542,4572.106544,2096.207733,1271.854405,events/second
1439799280,577783,4312.333020,4572.106544,2096.207733,1271.854405,events/second
1439799281,582498,4315.233069,4572.106544,2096.207733,1271.854405,events/second
1439799282,584884,4300.994812,4446.455818,2111.156022,1281.431918,events/second
1439799284,586880,4241.048734,4446.455818,2111.156022,1281.431918,events/second
1439799284,586896,4240.850722,4446.455818,2111.156022,1281.431918,events/second
1439799285,589916,4244.325638,4446.455818,2111.156022,1281.431918,events/second
1439799286,593915,4242.642256,4446.455818,2111.156022,1281.431918,events/second
1439799287,597201,4235.838169,4273.715309,2114.045939,1286.997378,events/second
1439799290,597378,4145.029505,4273.715309,2114.045939,1286.997378,events/second
1439799290,597505,4145.359322,4273.715309,2114.045939,1286.997378,events/second
1439799290,597505,4144.968646,4273.715309,2114.045939,1286.997378,events/second
1439799291,601748,4150.407154,4273.715309,2114.045939,1286.997378,events/second
1439799292,605409,4146.982900,4057.937946,2105.136293,1288.592957,events/second
1439799293,608266,4138.097664,4057.937946,2105.136293,1288.592957,events/second
1439799297,610161,4053.537885,3866.513246,2097.841646,1290.671661,events/second
1439799297,610161,4053.182468,3866.513246,2097.841646,1290.671661,events/second
1439799297,610204,4053.149302,3866.513246,2097.841646,1290.671661,events/second
1439799297,612818,4058.780319,3866.513246,2097.841646,1290.671661,events/second
1439799298,616898,4058.942816,3866.513246,2097.841646,1290.671661,events/second
1439799299,619913,4052.049678,3866.513246,2097.841646,1290.671661,events/second
1439799300,622439,4042.169566,3866.513246,2097.841646,1290.671661,events/second
1439799303,623313,3969.299498,3767.679087,2106.644061,1298.093959,events/second
1439799303,623364,3969.291948,3767.679087,2106.644061,1298.093959,events/second
1439799303,623507,3969.910693,3767.679087,2106.644061,1298.093959,events/second
1439799304,628075,3975.490567,3767.679087,2106.644061,1298.093959,events/second
1439799305,631147,3969.806837,3767.679087,2106.644061,1298.093959,events/second
1439799306,633709,3960.991992,3767.679087,2106.644061,1298.093959,events/second
1439799314,635650,3781.460649,3373.261795,2077.794566,1297.356480,events/second
1439799314,635678,3781.233267,3373.261795,2077.794566,1297.356480,events/second
1439799314,635758,3781.388038,3373.261795,2077.794566,1297.356480,events/second
1439799314,635839,3781.573650,3373.261795,2077.794566,1297.356480,events/second
1439799314,635902,3781.660979,3373.261795,2077.794566,1297.356480,events/second
1439799314,635902,3781.399656,3373.261795,2077.794566,1297.356480,events/second
1439799314,635963,3781.415278,3373.261795,2077.794566,1297.356480,events/second
1439799314,635977,3781.242787,3373.261795,2077.794566,1297.356480,events/second
1439799315,640660,3791.196981,3373.261795,2077.794566,1297.356480,events/second
1439799316,644839,3793.439655,3373.261795,2077.794566,1297.356480,events/second
1439799317,649517,3798.627959,3252.188107,2074.178210,1300.468070,events/second
1439799319,656220,3791.509471,3252.188107,2074.178210,1300.468070,events/second
1439799319,656391,3792.244081,3252.188107,2074.178210,1300.468070,events/second
1439799320,669061,3845.468156,3252.188107,2074.178210,1300.468070,events/second
1439799324,676597,3807.244179,3497.652705,2144.391835,1328.289228,events/second
1439799324,676704,3807.441967,3497.652705,2144.391835,1328.289228,events/second
1439799324,676764,3807.538375,3497.652705,2144.391835,1328.289228,events/second
1439799324,678082,3809.743040,3497.652705,2144.391835,1328.289228,events/second
1439799325,682631,3813.867438,3497.652705,2144.391835,1328.289228,events/second
1439799326,685288,3807.438463,3497.652705,2144.391835,1328.289228,events/second
1439799330,686823,3733.656084,3357.630270,2137.813608,1330.605626,events/second
1439799330,686823,3733.400461,3357.630270,2137.813608,1330.605626,events/second
1439799330,686823,3733.106461,3357.630270,2137.813608,1330.605626,events/second
1439799330,686906,3733.255569,3357.630270,2137.813608,1330.605626,events/second
