t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,322,317.759547,0.000000,0.000000,0.000000,events/second
1439799149,1295,646.709600,0.000000,0.000000,0.000000,events/second
1439799150,3563,1187.126223,0.000000,0.000000,0.000000,events/second
1439799151,6649,1659.195136,0.000000,0.000000,0.000000,events/second
1439799152,11211,2241.992613,2241.600000,2241.600000,2241.600000,events/second
1439799153,14676,2445.829727,2241.600000,2241.600000,2241.600000,events/second
1439799154,22843,3262.652126,2241.600000,2241.600000,2241.600000,events/second
1439799155,29216,3651.003423,2241.600000,2241.600000,2241.600000,events/second
1439799156,39961,4439.481192,2241.600000,2241.600000,2241.600000,events/second
1439799157,41342,3949.792503,2544.247882,2304.163853,2262.570583,events/second
1439799158,52605,4781.795498,2544.247882,2304.163853,2262.570583,events/second
1439799159,59315,4745.000381,2544.247882,2304.163853,2262.570583,events/second
1439799160,80026,6154.832696,2544.247882,2304.163853,2262.570583,events/second
1439799161,95273,6804.760324,2544.247882,2304.163853,2262.570583,events/second
1439799163,95384,6000.268277,3205.013002,2444.726513,2309.915777,events/second
1439799163,96244,6014.993039,3205.013002,2444.726513,2309.915777,events/second
1439799164,117520,6912.673301,3205.013002,2444.726513,2309.915777,events/second
1439799166,119388,6250.525935,3205.013002,2444.726513,2309.915777,events/second
1439799166,119792,6265.478081,3205.013002,2444.726513,2309.915777,events/second
1439799167,149181,7458.864781,3808.964472,2582.142755,2356.722772,events/second
1439799168,157433,7496.588367,3808.964472,2582.142755,2356.722772,events/second
1439799169,161634,7346.671867,3808.964472,2582.142755,2356.722772,events/second
1439799172,164884,6524.336720,3754.741435,2591.211261,2361.011277,events/second
1439799172,164978,6525.153316,3754.741435,2591.211261,2361.011277,events/second
1439799172,165415,6538.830648,3754.741435,2591.211261,2361.011277,events/second
1439799173,180281,6933.490822,3754.741435,2591.211261,2361.011277,events/second
1439799174,194628,7208.326321,3754.741435,2591.211261,2361.011277,events/second
1439799177,199142,6629.602842,4002.096716,2661.576402,2385.872093,events/second
1439799177,199315,6631.537748,4002.096716,2661.576402,2385.872093,events/second
1439799177,199471,6633.637452,4002.096716,2661.576402,2385.872093,events/second
1439799178,219599,7083.573428,4002.096716,2661.576402,2385.872093,events/second
1439799179,233499,7296.580976,4002.096716,2661.576402,2385.872093,events/second
1439799184,238350,6480.819803,4310.189836,2747.422755,2416.174109,events/second
1439799184,238580,6484.364678,4310.189836,2747.422755,2416.174109,events/second
1439799184,238825,6488.070439,4310.189836,2747.422755,2416.174109,events/second
1439799184,238939,6489.305410,4310.189836,2747.422755,2416.174109,events/second
1439799184,242135,6544.060977,4310.189836,2747.422755,2416.174109,events/second
1439799185,256621,6753.020432,4310.189836,2747.422755,2416.174109,events/second
1439799186,267836,6867.216430,4310.189836,2747.422755,2416.174109,events/second
1439799187,279049,6976.040907,4616.292612,2836.531077,2447.877218,events/second
1439799189,281603,6713.835171,4616.292612,2836.531077,2447.877218,events/second
1439799189,283113,6740.687861,4616.292612,2836.531077,2447.877218,events/second
1439799190,310632,7223.897069,4616.292612,2836.531077,2447.877218,events/second
1439799191,334499,7602.082220,4616.292612,2836.531077,2447.877218,events/second
1439799194,334946,7134.620843,5140.873802,2974.390209,2496.238993,events/second
1439799194,335057,7134.596466,5140.873802,2974.390209,2496.238993,events/second
1439799194,336272,7154.656154,5140.873802,2974.390209,2496.238993,events/second
1439799195,363042,7563.209551,5140.873802,2974.390209,2496.238993,events/second
