t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,373,187.156755,0.000000,0.000000,0.000000,events/second
1439799149,1322,442.500988,0.000000,0.000000,0.000000,events/second
1439799150,2305,576.924956,0.000000,0.000000,0.000000,events/second
1439799151,3889,779.806552,0.000000,0.000000,0.000000,events/second
1439799152,6131,1023.467679,783.200000,783.200000,783.200000,events/second
1439799153,7358,1052.636646,783.200000,783.200000,783.200000,events/second
1439799154,11294,1372.822980,783.200000,783.200000,783.200000,events/second
1439799155,14094,1568.163070,783.200000,783.200000,783.200000,events/second
1439799156,16566,1658.883614,783.200000,783.200000,783.200000,events/second
1439799157,19223,1695.207210,923.010337,812.101816,792.887510,events/second
1439799158,24137,2013.453887,923.010337,812.101816,792.887510,events/second
1439799159,24929,1863.939516,923.010337,812.101816,792.887510,events/second
1439799160,28282,2022.030084,923.010337,812.101816,792.887510,events/second
1439799161,31000,2068.683907,923.010337,812.101816,792.887510,events/second
1439799163,32584,1942.557691,1080.314129,846.453063,804.508048,events/second
1439799163,34633,2039.039727,1080.314129,846.453063,804.508048,events/second
1439799164,42796,2379.381566,1080.314129,846.453063,804.508048,events/second
1439799166,43459,2175.230847,1080.314129,846.453063,804.508048,events/second
1439799166,43722,2186.272616,1080.314129,846.453063,804.508048,events/second
1439799167,51818,2468.855681,1197.312007,874.504435,814.142882,events/second
1439799168,55822,2538.933454,1197.312007,874.504435,814.142882,events/second
1439799169,58204,2532.195620,1197.312007,874.504435,814.142882,events/second
1439799172,59709,2283.400081,1356.654533,912.779516,827.306599,events/second
1439799172,59759,2284.289744,1356.654533,912.779516,827.306599,events/second
1439799172,59832,2285.864701,1356.654533,912.779516,827.306599,events/second
1439799173,68560,2540.505077,1356.654533,912.779516,827.306599,events/second
1439799174,84477,3018.287228,1356.654533,912.779516,827.306599,events/second
1439799177,85994,2781.550577,1667.645418,984.404657,851.787940,events/second
1439799177,86211,2787.045429,1667.645418,984.404657,851.787940,events/second
1439799177,86568,2793.586790,1667.645418,984.404657,851.787940,events/second
1439799178,97359,3043.741723,1667.645418,984.404657,851.787940,events/second
1439799179,103537,3138.584517,1667.645418,984.404657,851.787940,events/second
1439799184,105354,2798.042876,1844.871337,1032.334058,868.587964,events/second
1439799184,105516,2801.262445,1844.871337,1032.334058,868.587964,events/second
1439799184,105516,2799.882433,1844.871337,1032.334058,868.587964,events/second
1439799184,105516,2799.061661,1844.871337,1032.334058,868.587964,events/second
1439799184,108121,2846.322315,1844.871337,1032.334058,868.587964,events/second
1439799185,114155,2927.912522,1844.871337,1032.334058,868.587964,events/second
1439799186,119252,2982.277264,1844.871337,1032.334058,868.587964,events/second
1439799187,124459,3036.609790,1920.279741,1061.352663,879.221798,events/second
1439799189,125162,2923.256392,1920.279741,1061.352663,879.221798,events/second
1439799189,126403,2940.576447,1920.279741,1061.352663,879.221798,events/second
1439799190,134585,3059.678718,1920.279741,1061.352663,879.221798,events/second
1439799194,140042,2928.121629,2097.327014,1112.148974,897.257088,events/second
1439799194,140260,2931.717448,2097.327014,1112.148974,897.257088,events/second
1439799194,140260,2931.130204,2097.327014,1112.148974,897.257088,events/second
1439799194,141145,2941.309318,2097.327014,1112.148974,897.257088,events/second
1439799195,149983,3061.756697,2097.327014,1112.148974,897.257088,events/second
1439799196,155068,3102.116076,2097.327014,1112.148974,897.257088,events/second
1439799200,158082,2946.818407,2174.186158,1144.320980,909.231257,events/second
1439799200,158349,2951.025442,2174.186158,1144.320980,909.231257,events/second
1439799200,158475,2952.635582,2174.186158,1144.320980,909.231257,events/second
1439799200,161031,2982.858691,2174.186158,1144.320980,909.231257,events/second
1439799201,168735,3068.662555,2174.186158,1144.320980,909.231257,events/second
1439799202,175764,3139.331525,2215.924080,1169.971284,919.131335,events/second
1439799208,179264,2909.985708,2206.863187,1185.386280,925.687931,events/second
1439799208,179669,2915.579967,2206.863187,1185.386280,925.687931,events/second
1439799208,179790,2916.579513,2206.863187,1185.386280,925.687931,events/second
1439799208,180254,2923.164683,2206.863187,1185.386280,925.687931,events/second
1439799208,180254,2922.253907,2206.863187,1185.386280,925.687931,events/second
1439799208,185761,2996.654858,2206.863187,1185.386280,925.687931,events/second
1439799209,197292,3132.285210,2206.863187,1185.386280,925.687931,events/second
1439799210,206888,3233.237051,2206.863187,1185.386280,925.687931,events/second
1439799212,212117,3219.976604,2551.738557,1273.562995,956.682379,events/second
1439799212,214468,3250.225384,2551.738557,1273.562995,956.682379,events/second
1439799213,230358,3438.860016,2551.738557,1273.562995,956.682379,events/second
1439799214,239281,3519.523965,2551.738557,1273.562995,956.682379,events/second
1439799216,242397,3438.419515,2834.786242,1353.201448,985.131711,events/second
1439799217,242915,3444.758911,2834.786242,1353.201448,985.131711,events/second
1439799217,250758,3532.460161,2834.786242,1353.201448,985.131711,events/second
1439799218,263120,3655.157844,2834.786242,1353.201448,985.131711,events/second
1439799221,268841,3577.746009,3030.278748,1418.102414,1008.924826,events/second
1439799221,268990,3579.026840,3030.278748,1418.102414,1008.924826,events/second
1439799221,268990,3578.597693,3030.278748,1418.102414,1008.924826,events/second
1439799222,277480,3651.687046,3030.278748,1418.102414,1008.924826,events/second
1439799223,283144,3677.873016,3030.278748,1418.102414,1008.924826,events/second
1439799226,288077,3581.566824,3097.371179,1458.618799,1024.772293,events/second
1439799226,288210,3582.551276,3097.371179,1458.618799,1024.772293,events/second
1439799226,288395,3584.129050,3097.371179,1458.618799,1024.772293,events/second
1439799227,291554,3600.095687,3097.371179,1458.618799,1024.772293,events/second
1439799228,302131,3685.197778,3097.371179,1458.618799,1024.772293,events/second
1439799234,310759,3514.180351,3212.797366,1509.566079,1044.252729,events/second
1439799234,310759,3513.686538,3212.797366,1509.566079,1044.252729,events/second
1439799234,311341,3519.558379,3212.797366,1509.566079,1044.252729,events/second
1439799234,311867,3524.752948,3212.797366,1509.566079,1044.252729,events/second
1439799234,312229,3528.195762,3212.797366,1509.566079,1044.252729,events/second
1439799235,312652,3532.385826,3212.797366,1509.566079,1044.252729,events/second
1439799235,322605,3625.356294,3212.797366,1509.566079,1044.252729,events/second
1439799236,336423,3738.494332,3212.797366,1509.566079,1044.252729,events/second
1439799238,343427,3733.010671,3366.312301,1569.452868,1066.903902,events/second
1439799238,343658,3734.908249,3366.312301,1569.452868,1066.903902,events/second
1439799239,357152,3840.908604,3366.312301,1569.452868,1066.903902,events/second
1439799240,365761,3891.588630,3366.312301,1569.452868,1066.903902,events/second
1439799243,372212,3841.336260,3669.127106,1661.750702,1100.625124,events/second
1439799243,372407,3842.601808,3669.127106,1661.750702,1100.625124,events/second
1439799243,373223,3848.184133,3669.127106,1661.750702,1100.625124,events/second
1439799244,384223,3921.244221,3669.127106,1661.750702,1100.625124,events/second
1439799245,390943,3949.415577,3669.127106,1661.750702,1100.625124,events/second
1439799248,399453,3902.925566,3810.974143,1724.252561,1124.683649,events/second
1439799248,399676,3904.289669,3810.974143,1724.252561,1124.683649,events/second
1439799248,399676,3903.825263,3810.974143,1724.252561,1124.683649,events/second
1439799249,411917,3999.757440,3810.974143,1724.252561,1124.683649,events/second
1439799250,424265,4080.019341,3810.974143,1724.252561,1124.683649,events/second
1439799257,431528,3886.187258,3698.501397,1772.152480,1147.650197,events/second
1439799257,431624,3886.589269,3698.501397,1772.152480,1147.650197,events/second
1439799257,432153,3890.708477,3698.501397,1772.152480,1147.650197,events/second
1439799257,432925,3897.101059,3698.501397,1772.152480,1147.650197,events/second
1439799257,432926,3896.645155,3698.501397,1772.152480,1147.650197,events/second
1439799257,432926,3896.148597,3698.501397,1772.152480,1147.650197,events/second
1439799257,432926,3895.783461,3698.501397,1772.152480,1147.650197,events/second
1439799258,446685,3988.752622,3698.501397,1772.152480,1147.650197,events/second
1439799259,457086,4045.404693,3698.501397,1772.152480,1147.650197,events/second
1439799261,465080,4032.731266,3939.319513,1853.774532,1178.468676,events/second
1439799261,465101,4032.436187,3939.319513,1853.774532,1178.468676,events/second
1439799262,474971,4095.102693,3939.319513,1853.774532,1178.468676,events/second
1439799263,488875,4178.915454,3939.319513,1853.774532,1178.468676,events/second
1439799264,498686,4226.605459,3939.319513,1853.774532,1178.468676,events/second
1439799266,499340,4149.627623,4172.204586,1936.387932,1209.900902,events/second
1439799266,499522,4150.650216,4172.204586,1936.387932,1209.900902,events/second
1439799267,511761,4229.927033,4172.204586,1936.387932,1209.900902,events/second
1439799268,530038,4345.064779,4172.204586,1936.387932,1209.900902,events/second
1439799270,533696,4288.071104,4172.204586,1936.387932,1209.900902,events/second
