t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,62,61.526714,0.000000,0.000000,0.000000,events/second
1439799149,286,142.874758,0.000000,0.000000,0.000000,events/second
1439799150,857,285.545321,0.000000,0.000000,0.000000,events/second
1439799151,1587,396.662544,0.000000,0.000000,0.000000,events/second
1439799152,2573,514.589988,514.600000,514.600000,514.600000,events/second
1439799153,3331,555.109113,514.600000,514.600000,514.600000,events/second
1439799154,5053,721.825069,514.600000,514.600000,514.600000,events/second
1439799155,6674,834.123347,514.600000,514.600000,514.600000,events/second
1439799156,8841,982.254497,514.600000,514.600000,514.600000,events/second
1439799157,9092,868.090475,577.700948,527.644329,518.972288,events/second
1439799158,11846,1076.735226,577.700948,527.644329,518.972288,events/second
1439799159,13188,1054.466730,577.700948,527.644329,518.972288,events/second
1439799160,16954,1304.141947,577.700948,527.644329,518.972288,events/second
1439799161,19961,1425.773721,577.700948,527.644329,518.972288,events/second
1439799163,20001,1257.648228,705.957627,554.985117,528.184606,events/second
1439799163,20315,1269.680830,705.957627,554.985117,528.184606,events/second
1439799164,25243,1484.750326,705.957627,554.985117,528.184606,events/second
1439799166,25785,1349.425695,705.957627,554.985117,528.184606,events/second
1439799166,25850,1351.426977,705.957627,554.985117,528.184606,events/second
1439799167,31611,1580.580549,705.957627,554.985117,528.184606,events/second
1439799168,33575,1598.725038,835.217214,584.201221,538.125940,events/second
1439799169,34735,1578.866392,835.217214,584.201221,538.125940,events/second
1439799172,35664,1410.850700,832.337437,587.754839,539.572330,events/second
1439799172,35687,1411.115391,832.337437,587.754839,539.572330,events/second
1439799172,35745,1412.626686,832.337437,587.754839,539.572330,events/second
1439799173,38973,1498.896921,832.337437,587.754839,539.572330,events/second
1439799174,41831,1549.240698,832.337437,587.754839,539.572330,events/second
1439799177,43039,1432.491315,884.025729,602.482520,544.775794,events/second
1439799177,43096,1433.586381,884.025729,602.482520,544.775794,events/second
1439799177,43120,1433.723441,884.025729,602.482520,544.775794,events/second
1439799178,47448,1530.585764,884.025729,602.482520,544.775794,events/second
1439799179,50718,1584.884840,884.025729,602.482520,544.775794,events/second
1439799184,51891,1410.753495,955.455992,621.902197,551.604720,events/second
1439799184,51919,1410.909654,955.455992,621.902197,551.604720,events/second
1439799184,52044,1413.648460,955.455992,621.902197,551.604720,events/second
1439799184,52119,1415.302098,955.455992,621.902197,551.604720,events/second
1439799184,52861,1428.674045,955.455992,621.902197,551.604720,events/second
1439799185,57030,1500.730919,955.455992,621.902197,551.604720,events/second
1439799186,60129,1541.713841,955.455992,621.902197,551.604720,events/second
1439799187,63101,1577.487443,1058.274398,648.670142,560.966442,events/second
1439799189,63755,1519.867225,1058.274398,648.670142,560.966442,events/second
1439799189,64080,1525.727011,1058.274398,648.670142,560.966442,events/second
1439799190,69937,1626.430225,1058.274398,648.670142,560.966442,events/second
1439799191,74710,1697.928449,1058.274398,648.670142,560.966442,events/second
1439799194,74850,1594.192996,1161.107323,676.698091,570.846935,events/second
1439799194,74959,1595.981626,1161.107323,676.698091,570.846935,events/second
1439799194,75144,1598.757597,1161.107323,676.698091,570.846935,events/second
1439799195,80788,1683.079892,1161.107323,676.698091,570.846935,events/second
1439799196,85000,1734.628688,1161.107323,676.698091,570.846935,events/second
1439799200,85736,1624.650339,1242.829342,701.598377,579.779616,events/second
1439799200,85749,1624.485675,1242.829342,701.598377,579.779616,events/second
1439799200,85751,1624.101037,1242.829342,701.598377,579.779616,events/second
1439799200,87015,1641.810468,1242.829342,701.598377,579.779616,events/second
1439799201,91399,1692.565234,1242.829342,701.598377,579.779616,events/second
1439799202,95557,1737.385471,1300.395017,722.444207,587.441760,events/second
1439799208,96158,1583.348667,1206.111789,712.506514,584.858709,events/second
1439799208,96174,1583.069653,1206.111789,712.506514,584.858709,events/second
1439799208,96197,1582.924752,1206.111789,712.506514,584.858709,events/second
1439799208,96223,1582.841781,1206.111789,712.506514,584.858709,events/second
1439799208,96294,1583.506918,1206.111789,712.506514,584.858709,events/second
