t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,349,347.123645,0.000000,0.000000,0.000000,events/second
1439799149,1474,735.992300,0.000000,0.000000,0.000000,events/second
1439799150,3256,1084.798282,0.000000,0.000000,0.000000,events/second
1439799151,6055,1507.048580,0.000000,0.000000,0.000000,events/second
1439799152,10327,2064.924242,2065.400000,2065.400000,2065.400000,events/second
1439799153,12666,2110.531894,2065.400000,2065.400000,2065.400000,events/second
1439799154,22520,3216.398859,2065.400000,2065.400000,2065.400000,events/second
1439799155,29237,3654.231123,2065.400000,2065.400000,2065.400000,events/second
1439799156,36449,4049.487276,2065.400000,2065.400000,2065.400000,events/second
1439799157,40232,3839.503644,2376.059431,2129.620013,2086.925707,events/second
1439799158,50128,4556.890649,2376.059431,2129.620013,2086.925707,events/second
1439799159,57166,4569.456612,2376.059431,2129.620013,2086.925707,events/second
1439799160,74139,5702.515819,2376.059431,2129.620013,2086.925707,events/second
1439799161,85604,6114.092923,2376.059431,2129.620013,2086.925707,events/second
1439799163,92226,5797.133400,3017.410412,2266.274397,2132.966997,events/second
1439799163,94983,5935.668555,3017.410412,2266.274397,2132.966997,events/second
1439799164,113297,6663.926136,3017.410412,2266.274397,2132.966997,events/second
1439799166,117471,6146.422181,3017.410412,2266.274397,2132.966997,events/second
1439799166,118042,6169.865328,3017.410412,2266.274397,2132.966997,events/second
1439799167,147825,7391.002293,3667.736329,2413.125994,2182.928271,events/second
1439799168,155236,7391.150403,3667.736329,2413.125994,2182.928271,events/second
1439799169,159545,7251.576150,3667.736329,2413.125994,2182.928271,events/second
1439799172,162779,6438.261902,3612.348190,2422.412954,2187.316469,events/second
1439799172,162960,6442.500708,3612.348190,2422.412954,2187.316469,events/second
1439799172,163095,6444.290997,3612.348190,2422.412954,2187.316469,events/second
1439799173,178687,6872.189092,3612.348190,2422.412954,2187.316469,events/second
1439799174,194164,7191.011306,3612.348190,2422.412954,2187.316469,events/second
1439799177,199018,6623.185339,3903.966343,2502.364624,2215.417690,events/second
1439799177,199346,6630.288478,3903.966343,2502.364624,2215.417690,events/second
1439799177,199651,6637.264870,3903.966343,2502.364624,2215.417690,events/second
1439799178,218313,7042.097895,3903.966343,2502.364624,2215.417690,events/second
1439799179,232181,7255.319410,3903.966343,2502.364624,2215.417690,events/second
1439799184,237116,6445.414147,4199.948620,2586.716991,2245.281228,events/second
1439799184,237467,6452.237459,4199.948620,2586.716991,2245.281228,events/second
1439799184,237662,6454.647883,4199.948620,2586.716991,2245.281228,events/second
1439799184,237748,6455.197072,4199.948620,2586.716991,2245.281228,events/second
1439799184,240517,6500.285182,4199.948620,2586.716991,2245.281228,events/second
1439799185,255791,6731.232063,4199.948620,2586.716991,2245.281228,events/second
1439799186,267743,6864.898032,4199.948620,2586.716991,2245.281228,events/second
1439799187,278709,6967.534963,4530.617047,2681.737670,2279.022519,events/second
1439799189,281549,6710.786096,4530.617047,2681.737670,2279.022519,events/second
1439799189,282447,6724.814280,4530.617047,2681.737670,2279.022519,events/second
1439799190,307423,7149.323855,4530.617047,2681.737670,2279.022519,events/second
1439799191,332362,7553.568506,4530.617047,2681.737670,2279.022519,events/second
1439799194,333800,7108.390106,5048.839815,2819.424795,2327.404542,events/second
1439799194,333916,7108.569734,5048.839815,2819.424795,2327.404542,events/second
1439799194,334615,7119.331653,5048.839815,2819.424795,2327.404542,events/second
1439799195,360541,7511.125885,5048.839815,2819.424795,2327.404542,events/second
1439799196,377239,7698.523095,5048.839815,2819.424795,2327.404542,events/second
1439799200,385202,7298.428414,5465.501178,2942.406686,2371.352326,events/second
1439799200,385370,7299.694536,5465.501178,2942.406686,2371.352326,events/second
1439799200,385484,7299.977912,5465.501178,2942.406686,2371.352326,events/second
1439799200,389562,7349.885780,5465.501178,2942.406686,2371.352326,events/second
1439799201,408668,7567.770221,5465.501178,2942.406686,2371.352326,events/second
1439799202,426579,7755.790129,5692.247129,3030.983054,2404.205692,events/second
1439799208,432875,7127.016125,5337.416464,3001.618719,2397.835594,events/second
1439799208,432964,7126.091321,5337.416464,3001.618719,2397.835594,events/second
1439799208,433095,7125.798748,5337.416464,3001.618719,2397.835594,events/second
1439799208,433297,7126.820192,5337.416464,3001.618719,2397.835594,events/second
1439799208,433485,7127.617881,5337.416464,3001.618719,2397.835594,events/second
1439799208,435409,7137.669036,5337.416464,3001.618719,2397.835594,events/second
1439799209,451289,7278.662494,5337.416464,3001.618719,2397.835594,events/second
1439799210,463592,7358.338954,5337.416464,3001.618719,2397.835594,events/second
