t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,434,217.501634,0.000000,0.000000,0.000000,events/second
1439799149,1735,580.091365,0.000000,0.000000,0.000000,events/second
1439799150,3944,988.931667,0.000000,0.000000,0.000000,events/second
1439799151,7098,1422.733259,0.000000,0.000000,0.000000,events/second
1439799152,11722,1958.023258,1425.200000,1425.200000,1425.200000,events/second
1439799153,13926,1992.982015,1425.200000,1425.200000,1425.200000,events/second
1439799154,21912,2663.149004,1425.200000,1425.200000,1425.200000,events/second
1439799155,27056,3010.380059,1425.200000,1425.200000,1425.200000,events/second
1439799156,31805,3184.924580,1425.200000,1425.200000,1425.200000,events/second
1439799157,37722,3325.105667,1706.291856,1483.307757,1444.676958,events/second
1439799158,47284,3945.173867,1706.291856,1483.307757,1444.676958,events/second
1439799159,49401,3693.881696,1706.291856,1483.307757,1444.676958,events/second
1439799160,55473,3966.187768,1706.291856,1483.307757,1444.676958,events/second
1439799161,61434,4099.376585,1706.291856,1483.307757,1444.676958,events/second
1439799163,64256,3830.761025,2044.720513,1556.953872,1469.576191,events/second
1439799163,68758,4047.450744,2044.720513,1556.953872,1469.576191,events/second
1439799164,84969,4724.199403,2044.720513,1556.953872,1469.576191,events/second
1439799166,86360,4322.378625,2044.720513,1556.953872,1469.576191,events/second
1439799166,86658,4333.083861,2044.720513,1556.953872,1469.576191,events/second
1439799167,102792,4897.494512,2283.410282,1614.358275,1489.301480,events/second
1439799168,111019,5049.411039,2283.410282,1614.358275,1489.301480,events/second
1439799169,115177,5010.274574,2283.410282,1614.358275,1489.301480,events/second
1439799172,117974,4511.587489,2601.136965,1691.097699,1515.716363,events/second
1439799172,118452,4527.892601,2601.136965,1691.097699,1515.716363,events/second
1439799172,118612,4531.630005,2601.136965,1691.097699,1515.716363,events/second
1439799173,135678,5027.772182,2601.136965,1691.097699,1515.716363,events/second
1439799174,167803,5995.588914,2601.136965,1691.097699,1515.716363,events/second
1439799177,170541,5516.350508,3233.622668,1836.887779,1565.554925,events/second
1439799177,170683,5517.832409,3233.622668,1836.887779,1565.554925,events/second
1439799177,172007,5550.833732,3233.622668,1836.887779,1565.554925,events/second
1439799178,193760,6057.687989,3233.622668,1836.887779,1565.554925,events/second
1439799179,206321,6254.556337,3233.622668,1836.887779,1565.554925,events/second
1439799184,209862,5573.407974,3603.991118,1936.536933,1600.459241,events/second
1439799184,209956,5573.741121,3603.991118,1936.536933,1600.459241,events/second
1439799184,210089,5574.617005,3603.991118,1936.536933,1600.459241,events/second
1439799184,210183,5575.550472,3603.991118,1936.536933,1600.459241,events/second
1439799184,215732,5679.267058,3603.991118,1936.536933,1600.459241,events/second
1439799185,226979,5821.693169,3603.991118,1936.536933,1600.459241,events/second
1439799186,237927,5950.201114,3603.991118,1936.536933,1600.459241,events/second
1439799187,248153,6054.538360,3767.245142,1997.845659,1622.871043,events/second
1439799189,249184,5819.125632,3767.245142,1997.845659,1622.871043,events/second
1439799189,251850,5858.970327,3767.245142,1997.845659,1622.871043,events/second
1439799190,268091,6094.878224,3767.245142,1997.845659,1622.871043,events/second
1439799194,278699,5827.281234,4115.048329,2098.989689,1658.850613,events/second
1439799194,279207,5836.029734,4115.048329,2098.989689,1658.850613,events/second
1439799194,279297,5836.701889,4115.048329,2098.989689,1658.850613,events/second
1439799194,281614,5868.536891,4115.048329,2098.989689,1658.850613,events/second
1439799195,299033,6104.454029,4115.048329,2098.989689,1658.850613,events/second
1439799196,309308,6187.489343,4115.048329,2098.989689,1658.850613,events/second
1439799200,315436,5880.062276,4277.594170,2165.913943,1683.721183,events/second
1439799200,315810,5885.466127,4277.594170,2165.913943,1683.721183,events/second
1439799200,315974,5887.039407,4277.594170,2165.913943,1683.721183,events/second
1439799200,321587,5956.836658,4277.594170,2165.913943,1683.721183,events/second
1439799201,336685,6122.958416,4277.594170,2165.913943,1683.721183,events/second
1439799202,351277,6274.313374,4373.333454,2220.608325,1704.725444,events/second
1439799208,358156,5814.067010,4364.095909,2254.280142,1718.869865,events/second
1439799208,358502,5817.754458,4364.095909,2254.280142,1718.869865,events/second
