t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799148,522,515.859432,0.000000,0.000000,0.000000,events/second
1439799149,1484,740.893757,0.000000,0.000000,0.000000,events/second
1439799150,2662,886.694220,0.000000,0.000000,0.000000,events/second
1439799151,4337,1084.098515,0.000000,0.000000,0.000000,events/second
1439799152,6469,1293.481011,1293.400000,1293.400000,1293.400000,events/second
1439799153,7611,1268.143612,1293.400000,1293.400000,1293.400000,events/second
1439799154,10268,1466.661365,1293.400000,1293.400000,1293.400000,events/second
1439799155,12059,1507.198959,1293.400000,1293.400000,1293.400000,events/second
1439799156,13835,1537.136744,1293.400000,1293.400000,1293.400000,events/second
1439799157,14096,1347.038803,1311.981678,1297.241234,1294.687531,events/second
1439799158,17893,1626.535606,1311.981678,1297.241234,1294.687531,events/second
1439799159,18793,1503.089148,1311.981678,1297.241234,1294.687531,events/second
1439799160,20232,1556.181283,1311.981678,1297.241234,1294.687531,events/second
1439799161,21550,1539.158923,1311.981678,1297.241234,1294.687531,events/second
1439799163,21561,1356.043845,1326.455104,1300.476842,1295.786213,events/second
1439799163,22297,1393.494014,1326.455104,1300.476842,1295.786213,events/second
1439799164,28692,1687.612183,1326.455104,1300.476842,1295.786213,events/second
1439799166,29417,1539.852408,1326.455104,1300.476842,1295.786213,events/second
1439799166,29455,1540.278096,1326.455104,1300.476842,1295.786213,events/second
1439799167,31993,1599.594377,1387.184961,1313.460398,1300.164117,events/second
1439799168,34000,1618.962393,1387.184961,1313.460398,1300.164117,events/second
1439799169,35303,1604.612110,1387.184961,1313.460398,1300.164117,events/second
1439799172,36208,1432.653758,1343.402485,1305.628174,1297.612522,events/second
1439799172,36244,1433.431070,1343.402485,1305.628174,1297.612522,events/second
1439799172,36261,1433.324290,1343.402485,1305.628174,1297.612522,events/second
1439799173,39708,1527.090534,1343.402485,1305.628174,1297.612522,events/second
1439799174,41995,1555.296146,1343.402485,1305.628174,1297.612522,events/second
1439799177,43123,1435.504506,1346.360643,1306.864044,1298.071177,events/second
1439799177,43192,1437.001779,1346.360643,1306.864044,1298.071177,events/second
1439799177,43211,1436.949951,1346.360643,1306.864044,1298.071177,events/second
1439799178,46580,1502.530641,1346.360643,1306.864044,1298.071177,events/second
1439799179,49671,1552.158899,1346.360643,1306.864044,1298.071177,events/second
1439799184,50890,1383.599999,1363.426311,1311.044707,1299.521194,events/second
1439799184,50898,1383.218375,1363.426311,1311.044707,1299.521194,events/second
1439799184,51220,1391.361048,1363.426311,1311.044707,1299.521194,events/second
1439799184,51280,1392.591198,1363.426311,1311.044707,1299.521194,events/second
1439799184,52104,1408.177764,1363.426311,1311.044707,1299.521194,events/second
1439799185,56202,1478.951013,1363.426311,1311.044707,1299.521194,events/second
1439799186,59334,1521.280580,1363.426311,1311.044707,1299.521194,events/second
1439799187,62683,1567.005851,1442.996006,1328.359273,1305.388652,events/second
