t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,77,38.658908,0.000000,0.000000,0.000000,events/second
1439799149,206,68.927919,0.000000,0.000000,0.000000,events/second
1439799150,324,81.234371,0.000000,0.000000,0.000000,events/second
1439799151,453,90.813217,0.000000,0.000000,0.000000,events/second
1439799152,768,128.263175,91.400000,91.400000,91.400000,events/second
1439799153,853,122.044372,91.400000,91.400000,91.400000,events/second
1439799154,1333,162.003840,91.400000,91.400000,91.400000,events/second
1439799155,1587,176.582355,91.400000,91.400000,91.400000,events/second
1439799156,1881,188.359673,91.400000,91.400000,91.400000,events/second
1439799157,2127,187.479998,106.943366,94.613149,92.477006,events/second
1439799158,2504,208.886493,106.943366,94.613149,92.477006,events/second
1439799159,2589,193.579107,106.943366,94.613149,92.477006,events/second
1439799160,2993,213.987275,106.943366,94.613149,92.477006,events/second
1439799161,3373,225.079676,106.943366,94.613149,92.477006,events/second
1439799163,3495,208.351100,122.715135,98.077315,93.649983,events/second
1439799163,3773,222.105571,122.715135,98.077315,93.649983,events/second
1439799164,4855,269.929925,122.715135,98.077315,93.649983,events/second
1439799166,4917,246.112935,122.715135,98.077315,93.649983,events/second
1439799166,4936,246.829161,122.715135,98.077315,93.649983,events/second
1439799167,5531,263.524738,137.385775,101.517281,94.827543,events/second
1439799168,5930,269.712505,137.385775,101.517281,94.827543,events/second
1439799169,6161,268.045580,137.385775,101.517281,94.827543,events/second
1439799172,6341,242.491799,148.836552,104.477258,95.856750,events/second
1439799172,6341,242.386835,148.836552,104.477258,95.856750,events/second
1439799172,6385,243.941766,148.836552,104.477258,95.856750,events/second
1439799173,7036,260.719431,148.836552,104.477258,95.856750,events/second
1439799174,7768,277.542595,148.836552,104.477258,95.856750,events/second
1439799177,7826,253.140430,160.683048,107.659379,96.971114,events/second
1439799177,7865,254.267039,160.683048,107.659379,96.971114,events/second
1439799177,8015,258.641949,160.683048,107.659379,96.971114,events/second
1439799178,8824,275.871026,160.683048,107.659379,96.971114,events/second
1439799179,9048,274.286421,160.683048,107.659379,96.971114,events/second
1439799184,9230,245.121583,170.287069,110.521142,97.989554,events/second
1439799184,9230,245.020850,170.287069,110.521142,97.989554,events/second
1439799184,9230,244.910037,170.287069,110.521142,97.989554,events/second
1439799184,9230,244.839265,170.287069,110.521142,97.989554,events/second
1439799184,9441,248.537884,170.287069,110.521142,97.989554,events/second
1439799185,9875,253.272377,170.287069,110.521142,97.989554,events/second
1439799186,10355,258.962746,170.287069,110.521142,97.989554,events/second
1439799187,10899,265.915537,174.693655,112.419922,98.695428,events/second
1439799189,10984,256.530843,174.693655,112.419922,98.695428,events/second
1439799189,11163,259.689790,174.693655,112.419922,98.695428,events/second
1439799190,12014,273.128960,174.693655,112.419922,98.695428,events/second
1439799194,12460,260.523664,194.163348,117.474022,100.465531,events/second
1439799194,12465,260.546983,194.163348,117.474022,100.465531,events/second
1439799194,12465,260.492273,194.163348,117.474022,100.465531,events/second
1439799194,12500,260.504812,194.163348,117.474022,100.465531,events/second
1439799195,13118,267.792905,194.163348,117.474022,100.465531,events/second
1439799196,13996,279.983911,194.163348,117.474022,100.465531,events/second
1439799200,14188,264.474327,203.888878,120.752062,101.658517,events/second
1439799200,14258,265.710621,203.888878,120.752062,101.658517,events/second
1439799200,14290,266.241539,203.888878,120.752062,101.658517,events/second
1439799200,14431,267.307353,203.888878,120.752062,101.658517,events/second
1439799201,15290,278.067643,203.888878,120.752062,101.658517,events/second
1439799202,15816,282.496368,207.783604,122.931317,102.494756,events/second
1439799208,15929,258.582459,201.388468,123.011789,102.634951,events/second
1439799208,15929,258.494070,201.388468,123.011789,102.634951,events/second
1439799208,15929,258.408656,201.388468,123.011789,102.634951,events/second
