t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439799147,0,0.000000,0.000000,0.000000,0.000000,events/second
1439799148,92,46.143831,0.000000,0.000000,0.000000,events/second
1439799149,154,51.489348,0.000000,0.000000,0.000000,events/second
1439799150,237,59.310557,0.000000,0.000000,0.000000,events/second
1439799151,381,76.378596,0.000000,0.000000,0.000000,events/second
1439799152,599,100.058353,77.000000,77.000000,77.000000,events/second
1439799153,681,97.446880,77.000000,77.000000,77.000000,events/second
1439799154,1130,137.336932,77.000000,77.000000,77.000000,events/second
1439799155,1364,151.775645,77.000000,77.000000,77.000000,events/second
1439799156,1604,160.620232,77.000000,77.000000,77.000000,events/second
1439799157,1945,171.517796,90.384565,79.766879,77.927421,events/second
1439799158,2337,194.929377,90.384565,79.766879,77.927421,events/second
1439799159,2395,179.027703,90.384565,79.766879,77.927421,events/second
1439799160,2636,188.465768,90.384565,79.766879,77.927421,events/second
1439799161,2885,192.520124,90.384565,79.766879,77.927421,events/second
1439799163,3006,179.229047,103.610453,82.676450,78.912863,events/second
1439799163,3197,188.203817,103.610453,82.676450,78.912863,events/second
1439799164,3913,217.546332,103.610453,82.676450,78.912863,events/second
1439799166,3981,199.256210,103.610453,82.676450,78.912863,events/second
1439799166,3998,199.911041,103.610453,82.676450,78.912863,events/second
1439799167,4769,227.213062,113.172305,84.999100,79.712235,events/second
1439799168,5119,232.832737,113.172305,84.999100,79.712235,events/second
1439799169,5355,232.951425,113.172305,84.999100,79.712235,events/second
1439799172,5490,209.951414,127.918329,88.513084,80.919367,events/second
1439799172,5490,209.856150,127.918329,88.513084,80.919367,events/second
1439799172,5490,209.744460,127.918329,88.513084,80.919367,events/second
1439799173,6573,243.567981,127.918329,88.513084,80.919367,events/second
1439799174,8826,315.382105,127.918329,88.513084,80.919367,events/second
1439799177,8919,288.483417,172.524085,98.385368,84.270497,events/second
1439799177,9010,291.264449,172.524085,98.385368,84.270497,events/second
1439799177,9069,292.663714,172.524085,98.385368,84.270497,events/second
1439799178,10240,320.140204,172.524085,98.385368,84.270497,events/second
1439799179,10709,324.633233,172.524085,98.385368,84.270497,events/second
1439799184,10895,289.339520,190.328268,103.291283,85.993094,events/second
1439799184,10895,289.222727,190.328268,103.291283,85.993094,events/second
1439799184,10895,289.091304,190.328268,103.291283,85.993094,events/second
1439799184,10895,289.010640,190.328268,103.291283,85.993094,events/second
1439799184,11203,294.926925,190.328268,103.291283,85.993094,events/second
1439799185,11706,300.232506,190.328268,103.291283,85.993094,events/second
1439799186,12200,305.102918,190.328268,103.291283,85.993094,events/second
1439799187,12740,310.835642,196.074815,105.917813,86.969307,events/second
1439799189,12790,298.678164,196.074815,105.917813,86.969307,events/second
1439799189,12926,300.705567,196.074815,105.917813,86.969307,events/second
1439799190,13594,309.052735,196.074815,105.917813,86.969307,events/second
1439799194,14085,294.514249,210.444847,110.378573,88.569473,events/second
1439799194,14085,294.413652,210.444847,110.378573,88.569473,events/second
1439799194,14085,294.350349,210.444847,110.378573,88.569473,events/second
1439799194,14222,296.363487,210.444847,110.378573,88.569473,events/second
1439799195,14940,304.981093,210.444847,110.378573,88.569473,events/second
1439799196,15517,310.419822,210.444847,110.378573,88.569473,events/second
1439799200,15789,294.317094,217.269468,113.443320,89.717562,events/second
1439799200,15789,294.241810,217.269468,113.443320,89.717562,events/second
1439799200,15842,295.156812,217.269468,113.443320,89.717562,events/second
1439799200,15982,296.041772,217.269468,113.443320,89.717562,events/second
1439799201,16654,302.871335,217.269468,113.443320,89.717562,events/second
1439799202,17563,313.694357,217.327878,115.171490,90.428266,events/second
1439799208,18102,293.852677,222.914545,118.014871,91.518411,events/second
1439799208,18169,294.839485,222.914545,118.014871,91.518411,events/second
1439799208,18238,295.862536,222.914545,118.014871,91.518411,events/second
1439799208,18306,296.870067,222.914545,118.014871,91.518411,events/second
1439799208,18365,297.727343,222.914545,118.014871,91.518411,events/second
1439799208,19427,313.390420,222.914545,118.014871,91.518411,events/second
1439799209,20860,331.182230,222.914545,118.014871,91.518411,events/second
1439799210,22238,347.549307,222.914545,118.014871,91.518411,events/second
1439799212,23088,350.476884,284.838983,132.549828,96.537133,events/second
1439799212,23373,354.212096,284.838983,132.549828,96.537133,events/second
1439799213,25446,379.867739,284.838983,132.549828,96.537133,events/second
1439799214,26467,389.297390,284.838983,132.549828,96.537133,events/second
1439799216,26904,381.632079,322.942698,142.943808,100.220574,events/second
1439799217,27044,383.506480,322.942698,142.943808,100.220574,events/second
1439799217,28160,396.700154,322.942698,142.943808,100.220574,events/second
1439799218,29624,411.524445,322.942698,142.943808,100.220574,events/second
1439799221,30101,400.585965,348.565049,151.215621,103.229871,events/second
1439799221,30101,400.510866,348.565049,151.215621,103.229871,events/second
1439799221,30101,400.464530,348.565049,151.215621,103.229871,events/second
1439799222,30862,406.156143,348.565049,151.215621,103.229871,events/second
1439799223,31279,406.290678,348.565049,151.215621,103.229871,events/second
1439799226,31695,394.054836,346.185167,153.985547,104.424162,events/second
1439799226,31741,394.554224,346.185167,153.985547,104.424162,events/second
1439799226,31742,394.484998,346.185167,153.985547,104.424162,events/second
1439799227,31996,395.083170,346.185167,153.985547,104.424162,events/second
1439799228,33008,402.610769,346.185167,153.985547,104.424162,events/second
1439799234,34279,387.642341,359.826776,159.982342,106.708787,events/second
1439799234,34279,387.587822,359.826776,159.982342,106.708787,events/second
1439799234,34300,387.749567,359.826776,159.982342,106.708787,events/second
1439799234,34422,389.047527,359.826776,159.982342,106.708787,events/second
1439799234,34534,390.241888,359.826776,159.982342,106.708787,events/second
1439799235,34629,391.256560,359.826776,159.982342,106.708787,events/second
1439799235,36370,408.717823,359.826776,159.982342,106.708787,events/second
1439799236,38320,425.830879,359.826776,159.982342,106.708787,events/second
1439799238,39166,425.731271,396.396320,170.845195,110.645016,events/second
1439799238,39166,425.663386,396.396320,170.845195,110.645016,events/second
1439799239,40908,439.940458,396.396320,170.845195,110.645016,events/second
1439799240,42148,448.440418,396.396320,170.845195,110.645016,events/second
1439799243,42942,443.173701,437.893563,183.151603,115.103481,events/second
1439799243,42995,443.632901,437.893563,183.151603,115.103481,events/second
1439799243,43017,443.536599,437.893563,183.151603,115.103481,events/second
1439799244,44177,450.853589,437.893563,183.151603,115.103481,events/second
1439799245,44869,453.276745,437.893563,183.151603,115.103481,events/second
1439799248,46197,451.373556,454.660764,190.828260,118.053593,events/second
1439799248,46320,452.482252,454.660764,190.828260,118.053593,events/second
1439799248,46320,452.428449,454.660764,190.828260,118.053593,events/second
1439799249,48229,468.308420,454.660764,190.828260,118.053593,events/second
1439799250,49789,478.808076,454.660764,190.828260,118.053593,events/second
1439799257,50841,457.854951,453.437167,199.725406,121.885064,events/second
1439799257,50841,457.800366,453.437167,199.725406,121.885064,events/second
1439799257,50916,458.400243,453.437167,199.725406,121.885064,events/second
1439799257,51001,459.097492,453.437167,199.725406,121.885064,events/second
1439799257,51057,459.546945,453.437167,199.725406,121.885064,events/second
1439799257,51089,459.775961,453.437167,199.725406,121.885064,events/second
1439799257,51089,459.734833,453.437167,199.725406,121.885064,events/second
1439799258,52779,471.302542,453.437167,199.725406,121.885064,events/second
1439799259,54154,479.290900,453.437167,199.725406,121.885064,events/second
1439799261,55336,479.823229,489.062404,211.283398,126.190399,events/second
1439799261,55336,479.763498,489.062404,211.283398,126.190399,events/second
1439799262,56704,488.887974,489.062404,211.283398,126.190399,events/second
1439799263,58504,500.092966,489.062404,211.283398,126.190399,events/second
1439799264,59871,507.437031,489.062404,211.283398,126.190399,events/second
1439799266,59918,497.934855,523.230432,222.937951,130.568280,events/second
1439799266,59918,497.884196,523.230432,222.937951,130.568280,events/second
1439799267,61920,511.797301,523.230432,222.937951,130.568280,events/second
1439799268,64925,532.233830,523.230432,222.937951,130.568280,events/second
1439799270,65224,524.052205,523.230432,222.937951,130.568280,events/second
1439799270,65224,524.001637,523.230432,222.937951,130.568280,events/second
1439799271,65857,526.912789,523.230432,222.937951,130.568280,events/second
1439799272,67862,538.646247,576.366481,238.885718,136.425504,events/second
1439799273,69859,550.120029,576.366481,238.885718,136.425504,events/second
1439799279,70256,527.131342,600.627685,249.479099,140.543912,events/second
1439799279,70256,527.070501,600.627685,249.479099,140.543912,events/second
1439799279,70256,527.009228,600.627685,249.479099,140.543912,events/second
1439799279,70256,526.949253,600.627685,249.479099,140.543912,events/second
1439799279,70256,526.906164,600.627685,249.479099,140.543912,events/second
1439799279,70256,526.867653,600.627685,249.479099,140.543912,events/second
1439799280,71670,534.907759,600.627685,249.479099,140.543912,events/second
1439799281,71727,531.360048,600.627685,249.479099,140.543912,events/second
1439799282,71727,527.454366,576.127080,250.218270,141.395190,events/second
1439799284,71727,518.333322,576.127080,250.218270,141.395190,events/second
1439799284,71727,518.294274,576.127080,250.218270,141.395190,events/second
1439799285,71727,516.065189,576.127080,250.218270,141.395190,events/second
1439799286,71727,512.380367,576.127080,250.218270,141.395190,events/second
1439799287,71727,508.750509,530.062502,246.082526,140.611839,events/second
1439799290,71727,497.690080,530.062502,246.082526,140.611839,events/second
1439799290,71727,497.626021,530.062502,246.082526,140.611839,events/second
1439799290,71727,497.578849,530.062502,246.082526,140.611839,events/second
1439799291,71727,494.717378,530.062502,246.082526,140.611839,events/second
1439799292,71727,491.323163,487.681045,242.015140,139.832828,events/second
1439799293,71727,487.966874,487.681045,242.015140,139.832828,events/second
1439799297,71727,476.507923,448.688221,238.014981,139.058133,events/second
1439799297,71727,476.466745,448.688221,238.014981,139.058133,events/second
1439799297,71727,476.429533,448.688221,238.014981,139.058133,events/second
1439799297,71727,475.058984,448.688221,238.014981,139.058133,events/second
1439799298,71727,471.923484,448.688221,238.014981,139.058133,events/second
1439799299,71727,468.844258,448.688221,238.014981,139.058133,events/second
1439799300,71727,465.800277,448.688221,238.014981,139.058133,events/second
1439799303,71727,456.764402,412.813092,234.080940,138.287730,events/second
1439799303,71727,456.728727,412.813092,234.080940,138.287730,events/second
1439799303,71727,456.693845,412.813092,234.080940,138.287730,events/second
1439799304,71727,454.006860,412.813092,234.080940,138.287730,events/second
1439799305,71727,451.149547,412.813092,234.080940,138.287730,events/second
1439799306,71727,448.328915,412.813092,234.080940,138.287730,events/second
1439799314,71727,426.698846,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.654773,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.618420,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.585446,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.553677,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.524504,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.486351,349.438738,226.406854,136.759704,events/second
1439799314,71727,426.457435,349.438738,226.406854,136.759704,events/second
1439799315,71727,424.456329,349.438738,226.406854,136.759704,events/second
1439799316,71875,422.823180,349.438738,226.406854,136.759704,events/second
1439799317,72283,422.740156,324.393551,223.263011,136.202588,events/second
1439799319,73360,423.860898,324.393551,223.263011,136.202588,events/second
1439799319,73374,423.913317,324.393551,223.263011,136.202588,events/second
1439799320,75191,432.162700,324.393551,223.263011,136.202588,events/second
1439799324,75829,426.695311,361.157645,232.534484,139.792593,events/second
1439799324,75829,426.650819,361.157645,232.534484,139.792593,events/second
1439799324,75829,426.621707,361.157645,232.534484,139.792593,events/second
1439799324,75829,426.040211,361.157645,232.534484,139.792593,events/second
1439799325,75829,423.656615,361.157645,232.534484,139.792593,events/second
1439799326,75829,421.302247,361.157645,232.534484,139.792593,events/second
1439799330,75829,412.218351,332.281074,228.691027,139.018120,events/second
1439799330,75829,412.191792,332.281074,228.691027,139.018120,events/second
1439799330,75829,412.157583,332.281074,228.691027,139.018120,events/second
1439799330,75829,412.124355,332.281074,228.691027,139.018120,events/second
1439799331,75829,409.917866,332.281074,228.691027,139.018120,events/second
1439799332,75829,407.709231,305.713346,224.911097,138.247939,events/second
1439799335,75829,400.313163,305.713346,224.911097,138.247939,events/second
1439799335,75829,400.269032,305.713346,224.911097,138.247939,events/second
1439799335,75829,400.228857,305.713346,224.911097,138.247939,events/second
1439799336,75829,399.131641,305.713346,224.911097,138.247939,events/second
1439799337,75829,397.033772,281.269857,221.193643,137.482024,events/second
1439799347,75829,378.162951,238.089794,213.942053,135.962901,events/second
1439799347,75829,378.127257,238.089794,213.942053,135.962901,events/second
1439799347,75829,378.093599,238.089794,213.942053,135.962901,events/second
1439799347,75829,378.067087,238.089794,213.942053,135.962901,events/second
1439799347,75829,378.039811,238.089794,213.942053,135.962901,events/second
1439799347,75829,378.013113,238.089794,213.942053,135.962901,events/second
1439799347,75829,377.987883,238.089794,213.942053,135.962901,events/second
1439799347,75829,377.960728,238.089794,213.942053,135.962901,events/second
1439799347,75829,377.927472,238.089794,213.942053,135.962901,events/second
1439799347,75829,377.283338,238.089794,213.942053,135.962901,events/second
1439799348,75829,375.416118,238.089794,213.942053,135.962901,events/second
1439799349,75829,373.564360,238.089794,213.942053,135.962901,events/second
1439799351,75829,369.394575,219.053185,210.405902,135.209646,events/second
1439799351,75829,369.364308,219.053185,210.405902,135.209646,events/second
1439799352,75829,368.128010,219.053185,210.405902,135.209646,events/second
1439799353,75829,366.346600,219.053185,210.405902,135.209646,events/second
1439799357,75829,359.108541,201.538659,206.928198,134.460564,events/second
1439799357,75829,359.080595,201.538659,206.928198,134.460564,events/second
1439799357,75829,359.054229,201.538659,206.928198,134.460564,events/second
1439799357,75829,359.031975,201.538659,206.928198,134.460564,events/second
1439799358,75829,357.707956,201.538659,206.928198,134.460564,events/second
1439799363,75829,350.018826,185.424518,203.507976,133.715632,events/second
1439799363,75829,349.998942,185.424518,203.507976,133.715632,events/second
1439799363,75829,349.978748,185.424518,203.507976,133.715632,events/second
1439799363,75829,349.958270,185.424518,203.507976,133.715632,events/second
1439799363,75829,349.463915,185.424518,203.507976,133.715632,events/second
1439799364,75829,347.859376,185.424518,203.507976,133.715632,events/second
1439799375,75829,331.429943,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.409961,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.392546,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.375319,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.356393,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.336525,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.318077,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.303222,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.290104,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.274545,156.958466,196.836191,132.238127,events/second
1439799375,75829,331.150539,156.958466,196.836191,132.238127,events/second
1439799376,75829,329.708266,156.958466,196.836191,132.238127,events/second
1439799379,75829,325.800861,144.408760,193.582775,131.505507,events/second
1439799379,75829,325.778395,144.408760,193.582775,131.505507,events/second
1439799379,75829,325.466673,144.408760,193.582775,131.505507,events/second
1439799380,75829,324.073135,144.408760,193.582775,131.505507,events/second
1439799384,75829,318.183186,132.862473,190.383133,130.776947,events/second
1439799384,75829,318.167728,132.862473,190.383133,130.776947,events/second
