t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439306375,483322,241331.604442,0.000000,0.000000,0.000000,events/second
1439306377,500002,124906.309776,0.000000,0.000000,0.000000,events/second
1439306379,500003,83309.331448,100000.400000,100000.400000,100000.400000,events/second
1439306381,500004,62482.457113,100000.400000,100000.400000,100000.400000,events/second
1439306383,500005,49991.704634,92004.857454,98347.548688,99446.385909,events/second
1439306517,456512,228048.233692,0.000000,0.000000,0.000000,events/second
1439306519,500002,124888.815304,0.000000,0.000000,0.000000,events/second
1439306521,500003,83307.984004,100000.400000,100000.400000,100000.400000,events/second
1439306523,500004,62477.781454,100000.400000,100000.400000,100000.400000,events/second
1439306525,500005,49986.211122,92004.857454,98347.548688,99446.385909,events/second
1439306527,500006,41655.161944,92004.857454,98347.548688,99446.385909,events/second
1439306529,500007,35704.796772,92004.857454,98347.548688,99446.385909,events/second
1439306719,1,0.499458,0.000000,0.000000,0.000000,events/second
1439306721,2,0.499673,0.000000,0.000000,0.000000,events/second
1439306723,3,0.499821,0.400000,0.400000,0.400000,events/second
1439306725,4,0.499798,0.400000,0.400000,0.400000,events/second
1439306727,5,0.499867,0.415991,0.403306,0.401108,events/second
1439306729,6,0.499899,0.415991,0.403306,0.401108,events/second
1439306731,7,0.499910,0.415991,0.403306,0.401108,events/second
1439306733,8,0.499915,0.414713,0.403251,0.401102,events/second
1439306735,9,0.499920,0.414713,0.403251,0.401102,events/second
1439306737,10,0.499927,0.429527,0.406503,0.402204,events/second
1439306739,11,0.499953,0.429527,0.406503,0.402204,events/second
1439306741,12,0.499946,0.429527,0.406503,0.402204,events/second
1439306743,13,0.499958,0.427166,0.406396,0.402192,events/second
1439306745,14,0.499948,0.427166,0.406396,0.402192,events/second
1439306747,15,0.499958,0.440985,0.409596,0.403287,events/second
1439306749,16,0.499966,0.440985,0.409596,0.403287,events/second
1439306751,17,0.499959,0.440985,0.409596,0.403287,events/second
1439306753,18,0.499968,0.437708,0.409437,0.403269,events/second
1439306755,19,0.499970,0.437708,0.409437,0.403269,events/second
1439346097,1,0.499126,0.000000,0.000000,0.000000,events/second
1439346099,2,0.499614,0.000000,0.000000,0.000000,events/second
1439346101,3,0.499792,0.400000,0.400000,0.400000,events/second
1439346103,4,0.499795,0.400000,0.400000,0.400000,events/second
1439346105,5,0.499855,0.415991,0.403306,0.401108,events/second
1439346107,6,0.499878,0.415991,0.403306,0.401108,events/second
1439346109,7,0.499913,0.415991,0.403306,0.401108,events/second
1439346111,8,0.499914,0.414713,0.403251,0.401102,events/second
1439346113,9,0.499922,0.414713,0.403251,0.401102,events/second
1439346115,10,0.499920,0.429527,0.406503,0.402204,events/second
1439346117,11,0.499950,0.429527,0.406503,0.402204,events/second
1439346119,12,0.499946,0.429527,0.406503,0.402204,events/second
1439346121,13,0.499947,0.427166,0.406396,0.402192,events/second
1439346123,14,0.499944,0.427166,0.406396,0.402192,events/second
1439346125,15,0.499958,0.440985,0.409596,0.403287,events/second
1439346127,16,0.499967,0.440985,0.409596,0.403287,events/second
1439346139,1,0.499326,0.000000,0.000000,0.000000,events/second
1439346141,2,0.499440,0.000000,0.000000,0.000000,events/second
1439346143,3,0.499751,0.400000,0.400000,0.400000,events/second
1439346145,4,0.499773,0.400000,0.400000,0.400000,events/second
1439346147,5,0.499847,0.415991,0.403306,0.401108,events/second
1439346149,6,0.499782,0.415991,0.403306,0.401108,events/second
1439346151,7,0.499888,0.415991,0.403306,0.401108,events/second
1439346153,8,0.499893,0.414713,0.403251,0.401102,events/second
1439346155,9,0.499913,0.414713,0.403251,0.401102,events/second
1439346157,10,0.499932,0.429527,0.406503,0.402204,events/second
1439346170,1,0.499206,0.000000,0.000000,0.000000,events/second
1439346172,2,0.499632,0.000000,0.000000,0.000000,events/second
1439346174,3,0.499732,0.400000,0.400000,0.400000,events/second
1439346176,4,0.499761,0.400000,0.400000,0.400000,events/second
1439346178,5,0.499859,0.415991,0.403306,0.401108,events/second
1439346180,6,0.499748,0.415991,0.403306,0.401108,events/second
1439346182,7,0.499884,0.415991,0.403306,0.401108,events/second
1439346184,8,0.499913,0.414713,0.403251,0.401102,events/second
1439346186,9,0.499901,0.414713,0.403251,0.401102,events/second
1439346196,1,0.499169,0.000000,0.000000,0.000000,events/second
1439346198,2,0.499592,0.000000,0.000000,0.000000,events/second
1439346200,3,0.499734,0.400000,0.400000,0.400000,events/second
1439346202,4,0.499760,0.400000,0.400000,0.400000,events/second
1439346204,5,0.499803,0.415991,0.403306,0.401108,events/second
1439346206,6,0.499834,0.415991,0.403306,0.401108,events/second
1439346208,7,0.499883,0.415991,0.403306,0.401108,events/second
1439346210,8,0.499901,0.414713,0.403251,0.401102,events/second
1439346212,9,0.499905,0.414713,0.403251,0.401102,events/second
1439346214,10,0.499922,0.429527,0.406503,0.402204,events/second
1439346216,11,0.499942,0.429527,0.406503,0.402204,events/second
1439346218,12,0.499931,0.429527,0.406503,0.402204,events/second
1439346220,13,0.499947,0.427166,0.406396,0.402192,events/second
1439346222,14,0.499939,0.427166,0.406396,0.402192,events/second
1439346224,15,0.499945,0.440985,0.409596,0.403287,events/second
1439346263,1,0.499226,0.000000,0.000000,0.000000,events/second
1439346265,2,0.499580,0.000000,0.000000,0.000000,events/second
1439346267,3,0.499762,0.400000,0.400000,0.400000,events/second
1439346269,4,0.499764,0.400000,0.400000,0.400000,events/second
1439346271,5,0.499805,0.415991,0.403306,0.401108,events/second
1439346273,6,0.499855,0.415991,0.403306,0.401108,events/second
1439346275,7,0.499875,0.415991,0.403306,0.401108,events/second
1439346277,8,0.499893,0.414713,0.403251,0.401102,events/second
1439346288,1,0.499194,0.000000,0.000000,0.000000,events/second
1439346290,2,0.499655,0.000000,0.000000,0.000000,events/second
1439346471,49872,24888.183490,0.000000,0.000000,0.000000,events/second
1439346473,191286,47788.000421,0.000000,0.000000,0.000000,events/second
1439346705,1,0.498358,0.000000,0.000000,0.000000,events/second
1439346725,1,0.499074,0.000000,0.000000,0.000000,events/second
1439346727,2,0.499585,0.000000,0.000000,0.000000,events/second
1439346729,3,0.499701,0.400000,0.400000,0.400000,events/second
1439346731,4,0.499744,0.400000,0.400000,0.400000,events/second
1439346733,5,0.499803,0.415991,0.403306,0.401108,events/second
1439346735,6,0.499851,0.415991,0.403306,0.401108,events/second
1439346737,7,0.499875,0.415991,0.403306,0.401108,events/second
1439348502,1001,499.556488,0.000000,0.000000,0.000000,events/second
1439350019,1001,499.362367,0.000000,0.000000,0.000000,events/second
1439350021,1002,250.216047,0.000000,0.000000,0.000000,events/second
1439350023,1003,167.081013,200.400000,200.400000,200.400000,events/second
1439350025,1004,125.444957,200.400000,200.400000,200.400000,events/second
1439350027,1005,100.433406,184.424874,197.097596,199.293078,events/second
1439350029,1006,83.799305,184.424874,197.097596,199.293078,events/second
1439350031,1007,71.900734,184.424874,197.097596,199.293078,events/second
1439350033,1008,62.988472,169.711058,193.846471,198.191180,events/second
1439350035,1009,56.037698,169.711058,193.846471,198.191180,events/second
1439350037,1010,50.487509,156.189684,190.652388,197.096495,events/second
1439350039,1011,45.942608,156.189684,190.652388,197.096495,events/second
1439350041,1012,42.150502,156.189684,190.652388,197.096495,events/second
1439350043,1013,38.954174,143.733429,187.507793,196.006766,events/second
1439350045,1014,36.207646,143.733429,187.507793,196.006766,events/second
1439350047,1015,33.826837,132.289111,184.418478,194.924183,events/second
1439350049,1016,31.746019,132.289111,184.418478,194.924183,events/second
1439350051,1017,29.907404,132.289111,184.418478,194.924183,events/second
1439350053,1018,28.274042,121.743840,181.376921,193.846489,events/second
1439350055,1019,26.813997,121.743840,181.376921,193.846489,events/second
1439350057,1020,25.497366,112.057714,178.388941,192.775874,events/second
1439350059,1021,24.307578,112.057714,178.388941,192.775874,events/second
1439350061,1022,23.224452,112.057714,178.388941,192.775874,events/second
1439350063,1023,22.236348,103.130056,175.447042,191.710083,events/second
1439350065,1024,21.332122,103.130056,175.447042,191.710083,events/second
1439350067,1025,20.498274,94.932205,172.557075,190.651304,events/second
1439350069,1026,19.729641,94.932205,172.557075,190.651304,events/second
1439350071,1027,19.017177,94.932205,172.557075,190.651304,events/second
1439350073,1028,18.355822,87.373827,169.711569,189.597283,events/second
1439350075,1029,17.740024,87.373827,169.711569,189.597283,events/second
1439350077,1030,17.164916,80.435775,166.916401,188.550209,events/second
1439350079,1031,16.627983,80.435775,166.916401,188.550209,events/second
1439350081,1032,16.123392,80.435775,166.916401,188.550209,events/second
1439350083,1033,15.650597,74.036468,164.164126,187.507828,events/second
1439350085,1034,15.204682,74.036468,164.164126,187.507828,events/second
1439350087,1035,14.784603,68.164812,161.460649,186.472331,events/second
1439350089,1036,14.387803,68.164812,161.460649,186.472331,events/second
1439350091,1037,14.012409,68.164812,161.460649,186.472331,events/second
1439350093,1038,13.656606,62.746637,158.798551,185.441462,events/second
1439350095,1039,13.319102,62.746637,158.798551,185.441462,events/second
1439350097,1040,12.999125,57.777666,156.183759,184.417412,events/second
1439350099,1041,12.694282,57.777666,156.183759,184.417412,events/second
1439350101,1042,12.403610,57.777666,156.183759,184.417412,events/second
1439350103,1043,12.127329,53.190001,153.608880,183.397927,events/second
1439350105,1044,11.862926,53.190001,153.608880,183.397927,events/second
1439350107,1045,11.609957,48.985137,151.079865,182.385199,events/second
1439350109,1046,11.368952,48.985137,151.079865,182.385199,events/second
1439350111,1047,11.137620,48.985137,151.079865,182.385199,events/second
1439350113,1048,10.915991,45.100484,148.589346,181.376973,events/second
1439350115,1049,10.703782,45.100484,148.589346,181.376973,events/second
1439350117,1050,10.499264,41.542422,146.143298,180.375442,events/second
1439350119,1051,10.303357,41.542422,146.143298,180.375442,events/second
1439350121,1052,10.114943,41.542422,146.143298,180.375442,events/second
1439350123,1053,9.933477,38.252855,143.734373,179.378350,events/second
1439350125,1054,9.758855,38.252855,143.734373,179.378350,events/second
1439350127,1055,9.590443,35.242299,141.368570,178.387891,events/second
1439350129,1056,9.428046,35.242299,141.368570,178.387891,events/second
1439350131,1057,9.271493,35.242299,141.368570,178.387891,events/second
1439350133,1058,9.120172,32.456463,139.038564,177.401811,events/second
1439350135,1059,8.974112,32.456463,139.038564,177.401811,events/second
1439350137,1060,8.833126,29.909361,136.750376,176.422302,events/second
1439350139,1061,8.696385,29.909361,136.750376,176.422302,events/second
1439350141,1062,8.564178,29.909361,136.750376,176.422302,events/second
1439350143,1063,8.436119,27.549922,134.496702,175.447112,events/second
1439350145,1064,8.312215,27.549922,134.496702,175.447112,events/second
1439350147,1065,8.191910,25.395126,132.283585,174.478432,events/second
1439350149,1066,8.075412,25.395126,132.283585,174.478432,events/second
1439350151,1067,7.962515,25.395126,132.283585,174.478432,events/second
1439350153,1068,7.852687,23.396626,130.103741,173.514011,events/second
1439350155,1069,7.746103,23.396626,130.103741,173.514011,events/second
1439350157,1070,7.642630,21.573908,127.963232,172.556041,events/second
1439350159,1071,7.541934,21.573908,127.963232,172.556041,events/second
1439350161,1072,7.444022,21.573908,127.963232,172.556041,events/second
1439350163,1073,7.349058,19.880936,125.854797,171.602271,events/second
1439350165,1074,7.256400,19.880936,125.854797,171.602271,events/second
1439350167,1075,7.166529,18.339317,123.784518,170.654892,events/second
1439350169,1076,7.078733,18.339317,123.784518,170.654892,events/second
1439350171,1077,6.993349,18.339317,123.784518,170.654892,events/second
1439350173,1078,6.910075,16.904969,121.745151,169.711654,events/second
1439350175,1079,6.828890,16.904969,121.745151,169.711654,events/second
1439350177,1080,6.749831,15.601295,119.742798,168.774750,events/second
1439350179,1081,6.672638,15.601295,119.742798,168.774750,events/second
1439350181,1082,6.597438,15.601295,119.742798,168.774750,events/second
1439350183,1083,6.523844,14.385867,117.770235,167.841928,events/second
1439350185,1084,6.452207,14.385867,117.770235,167.841928,events/second
1439350187,1085,6.382195,13.283610,115.833581,166.915382,events/second
1439350189,1086,6.313803,13.283610,115.833581,166.915382,events/second
1439350191,1087,6.246788,13.283610,115.833581,166.915382,events/second
1439350193,1088,6.181673,12.253493,113.925632,165.992862,events/second
1439350195,1089,6.117810,12.253493,113.925632,165.992862,events/second
1439350197,1090,6.055266,11.321731,112.052524,165.076560,events/second
1439350199,1091,5.994336,11.321731,112.052524,165.076560,events/second
1439350201,1092,5.934583,11.321731,112.052524,165.076560,events/second
1439350203,1093,5.876211,10.448478,110.207070,164.164227,events/second
1439350205,1094,5.818987,10.448478,110.207070,164.164227,events/second
1439350207,1095,5.763030,9.661037,108.395425,163.258057,events/second
1439350209,1096,5.708210,9.661037,108.395425,163.258057,events/second
1439350211,1097,5.654515,9.661037,108.395425,163.258057,events/second
1439350213,1098,5.601865,8.920566,106.610417,162.355798,events/second
1439350215,1099,5.550387,8.920566,106.610417,162.355798,events/second
1439350217,1100,5.499878,8.255290,104.858219,161.459646,events/second
1439350219,1101,5.450338,8.255290,104.858219,161.459646,events/second
1439350221,1102,5.401811,8.255290,104.858219,161.459646,events/second
1439350223,1103,5.354206,7.627216,103.131677,160.567351,events/second
1439350225,1104,5.307523,7.627216,103.131677,160.567351,events/second
1439350227,1105,5.261693,7.065350,101.436977,159.681108,events/second
1439350229,1106,5.216855,7.065350,101.436977,159.681108,events/second
1439350231,1107,5.172761,7.065350,101.436977,159.681108,events/second
1439350233,1108,5.129424,6.532418,99.766983,158.798667,events/second
1439350235,1109,5.087037,6.532418,99.766983,158.798667,events/second
1439350237,1110,5.045296,6.058088,98.127897,157.922222,events/second
1439350239,1111,5.004385,6.058088,98.127897,157.922222,events/second
1439350241,1112,4.964156,6.058088,98.127897,157.922222,events/second
1439350243,1113,4.924619,5.605693,96.512597,157.049525,events/second
1439350245,1114,4.885878,5.605693,96.512597,157.049525,events/second
1439350247,1115,4.847735,5.205460,94.927301,156.182771,events/second
1439350249,1116,4.810277,5.205460,94.927301,156.182771,events/second
1439350251,1117,4.773318,5.205460,94.927301,156.182771,events/second
1439350253,1118,4.737188,4.821236,93.364902,155.319710,events/second
1439350255,1119,4.701565,4.821236,93.364902,155.319710,events/second
1439350257,1120,4.666476,4.483725,91.831633,154.462540,events/second
1439350259,1121,4.632149,4.483725,91.831633,154.462540,events/second
1439350261,1122,4.598221,4.483725,91.831633,154.462540,events/second
1439350263,1123,4.564981,4.157208,90.320401,153.609010,events/second
1439350265,1124,4.532208,4.157208,90.320401,153.609010,events/second
1439350267,1125,4.499938,3.872790,88.837453,152.761317,events/second
1439350269,1126,4.468169,3.872790,88.837453,152.761317,events/second
1439350271,1127,4.436912,3.872790,88.837453,152.761317,events/second
1439350273,1128,4.406178,3.595121,87.375711,151.917212,events/second
1439350275,1129,4.375921,3.595121,87.375711,151.917212,events/second
1439350277,1130,4.346049,3.355644,85.941434,151.078891,events/second
1439350279,1131,4.316694,3.355644,85.941434,151.078891,events/second
1439350281,1132,4.287718,3.355644,85.941434,151.078891,events/second
1439350283,1133,4.259322,3.119324,84.527559,150.244107,events/second
1439350285,1134,4.231254,3.119324,84.527559,150.244107,events/second
1439350287,1135,4.203634,2.917890,83.140358,149.415056,events/second
1439350289,1136,4.176386,2.917890,83.140358,149.415056,events/second
1439350291,1137,4.149543,2.917890,83.140358,149.415056,events/second
1439350293,1138,4.123113,2.716570,81.772780,148.589490,events/second
1439350295,1139,4.097051,2.716570,81.772780,148.589490,events/second
1439350297,1140,4.071335,2.547339,80.431112,147.769606,events/second
1439350299,1141,4.046021,2.547339,80.431112,147.769606,events/second
1439350301,1142,4.021061,2.547339,80.431112,147.769606,events/second
1439350303,1143,3.996415,2.375647,79.108314,146.953156,events/second
1439350305,1144,3.972145,2.375647,79.108314,146.953156,events/second
1439350307,1145,3.948208,2.233674,77.810686,146.142337,events/second
1439350309,1146,3.924574,2.233674,77.810686,146.142337,events/second
1439350311,1147,3.901322,2.233674,77.810686,146.142337,events/second
1439350313,1148,3.878323,2.087062,76.531200,145.334903,events/second
1439350315,1149,3.855629,2.087062,76.531200,145.334903,events/second
