t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439350019,11,5.480773,0.000000,0.000000,0.000000,events/second
1439350021,12,3.001535,0.000000,0.000000,0.000000,events/second
1439350023,13,2.167954,2.400000,2.400000,2.400000,events/second
1439350025,14,1.750659,2.400000,2.400000,2.400000,events/second
1439350027,15,1.499680,2.256080,2.370249,2.390028,events/second
1439350029,16,1.333585,2.256080,2.370249,2.390028,events/second
1439350031,17,1.214333,2.256080,2.370249,2.390028,events/second
1439350033,18,1.125183,2.107676,2.337683,2.379003,events/second
1439350035,19,1.055697,2.107676,2.337683,2.379003,events/second
1439350037,20,0.999980,1.987129,2.308962,2.369147,events/second
1439350039,21,0.954684,1.987129,2.308962,2.369147,events/second
1439350041,22,0.916772,1.987129,2.308962,2.369147,events/second
1439350043,23,0.884692,1.860229,2.277410,2.358237,events/second
1439350045,24,0.857244,1.860229,2.277410,2.358237,events/second
1439350047,25,0.833346,1.860229,2.277410,2.358237,events/second
1439350049,26,0.812578,1.759467,2.249684,2.348496,events/second
1439350051,27,0.794160,1.759467,2.249684,2.348496,events/second
1439350053,28,0.777848,1.650770,2.219112,2.337701,events/second
1439350055,29,0.763218,1.650770,2.219112,2.337701,events/second
1439350057,30,0.750047,1.650770,2.219112,2.337701,events/second
1439350059,31,0.738134,1.566755,2.192350,2.328074,events/second
1439350061,32,0.727285,1.566755,2.192350,2.328074,events/second
1439350063,33,0.717371,1.473466,2.162725,2.317393,events/second
1439350065,34,0.708385,1.473466,2.162725,2.317393,events/second
1439350067,35,0.700035,1.473466,2.162725,2.317393,events/second
1439350069,36,0.692345,1.403628,2.136896,2.307878,events/second
1439350071,37,0.685209,1.403628,2.136896,2.307878,events/second
1439350073,38,0.678610,1.323382,2.108187,2.297308,events/second
1439350075,39,0.672443,1.323382,2.108187,2.297308,events/second
1439350077,40,0.666667,1.265544,2.083259,2.287905,events/second
1439350079,41,0.661295,1.265544,2.083259,2.287905,events/second
1439350081,42,0.656244,1.265544,2.083259,2.287905,events/second
1439350083,43,0.651531,1.196339,2.055437,2.277445,events/second
1439350085,44,0.647071,1.196339,2.055437,2.277445,events/second
1439350087,45,0.642867,1.196339,2.055437,2.277445,events/second
1439350089,46,0.638897,1.148658,2.031381,2.268152,events/second
1439350091,47,0.635129,1.148658,2.031381,2.268152,events/second
1439350093,48,0.631589,1.088799,2.004417,2.257802,events/second
1439350095,49,0.628196,1.088799,2.004417,2.257802,events/second
