t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439297051,0,0.000000,0.000000,0.000000,0.000000,events/second
1439297053,0,0.000000,0.000000,0.000000,0.000000,events/second
1439297074,0,0.000000,0.000000,0.000000,0.000000,events/second
1439297076,0,0.000000,0.000000,0.000000,0.000000,events/second
1439300778,1,0.499729,0.000000,0.000000,0.000000,events/second
1439300780,1,0.249922,0.000000,0.000000,0.000000,events/second
1439300782,1,0.166655,0.200000,0.200000,0.200000,events/second
1439300843,1,0.498698,0.000000,0.000000,0.000000,events/second
1439300845,1,0.249981,0.000000,0.000000,0.000000,events/second
1439300847,1,0.166726,0.200000,0.200000,0.200000,events/second
1439300849,1,0.125014,0.200000,0.200000,0.200000,events/second
1439300989,1,0.500292,0.000000,0.000000,0.000000,events/second
1439300991,2,0.500390,0.000000,0.000000,0.000000,events/second
1439300993,3,0.500151,0.400000,0.400000,0.400000,events/second
1439300995,4,0.500289,0.400000,0.400000,0.400000,events/second
1439300997,5,0.500110,0.400000,0.400000,0.400000,events/second
1439300999,6,0.500030,0.415991,0.403306,0.401108,events/second
1439301001,7,0.500074,0.415991,0.403306,0.401108,events/second
1439301041,1,0.498326,0.000000,0.000000,0.000000,events/second
1439301043,2,0.499925,0.000000,0.000000,0.000000,events/second
1439301045,3,0.500089,0.400000,0.400000,0.400000,events/second
1439301047,4,0.500116,0.400000,0.400000,0.400000,events/second
1439301049,5,0.499947,0.415991,0.403306,0.401108,events/second
1439301081,1,0.499042,0.000000,0.000000,0.000000,events/second
1439301083,2,0.499914,0.000000,0.000000,0.000000,events/second
1439301085,3,0.500160,0.400000,0.400000,0.400000,events/second
1439304663,1,0.498624,0.000000,0.000000,0.000000,events/second
1439304665,2,0.500298,0.000000,0.000000,0.000000,events/second
1439304667,3,0.499690,0.400000,0.400000,0.400000,events/second
1439304669,4,0.499718,0.400000,0.400000,0.400000,events/second
1439304671,5,0.500035,0.400000,0.400000,0.400000,events/second
1439304673,6,0.499838,0.415991,0.403306,0.401108,events/second
1439304675,7,0.499872,0.415991,0.403306,0.401108,events/second
1439304677,8,0.500013,0.414713,0.403251,0.401102,events/second
1439304679,9,0.500053,0.414713,0.403251,0.401102,events/second
1439304681,10,0.500040,0.414713,0.403251,0.401102,events/second
1439304683,11,0.499997,0.429527,0.406503,0.402204,events/second
1439304685,12,0.499997,0.429527,0.406503,0.402204,events/second
1439304687,13,0.499949,0.427166,0.406396,0.402192,events/second
1439304689,14,0.499991,0.427166,0.406396,0.402192,events/second
1439304691,15,0.499960,0.440985,0.409596,0.403287,events/second
1439304693,16,0.499952,0.440985,0.409596,0.403287,events/second
1439304695,17,0.500016,0.440985,0.409596,0.403287,events/second
1439304697,18,0.499965,0.437708,0.409437,0.403269,events/second
1439304699,19,0.499994,0.437708,0.409437,0.403269,events/second
1439304701,20,0.499957,0.450685,0.412587,0.404359,events/second
1439304703,21,0.499999,0.450685,0.412587,0.404359,events/second
1439304705,22,0.499958,0.450685,0.412587,0.404359,events/second
1439304707,23,0.500022,0.446632,0.412379,0.404335,events/second
1439304709,24,0.500016,0.446632,0.412379,0.404335,events/second
1439304711,25,0.499999,0.458895,0.415480,0.405419,events/second
1439304713,26,0.499978,0.458895,0.415480,0.405419,events/second
1439304715,27,0.499970,0.458895,0.415480,0.405419,events/second
1439304717,28,0.499963,0.454186,0.415224,0.405389,events/second
1439304719,29,0.499986,0.454186,0.415224,0.405389,events/second
1439304721,30,0.499975,0.465844,0.418278,0.406467,events/second
1439304723,31,0.499964,0.465844,0.418278,0.406467,events/second
1439304725,32,0.499976,0.465844,0.418278,0.406467,events/second
1439304727,33,0.499972,0.460580,0.417976,0.406431,events/second
1439304729,34,0.500003,0.460580,0.417976,0.406431,events/second
1439304731,35,0.500013,0.460580,0.417976,0.406431,events/second
1439304733,36,0.499991,0.471727,0.420984,0.407504,events/second
1439304735,37,0.499978,0.471727,0.420984,0.407504,events/second
1439304737,38,0.499999,0.465992,0.420638,0.407462,events/second
1439304739,39,0.499972,0.465992,0.420638,0.407462,events/second
1439304741,40,0.499978,0.476707,0.423602,0.408529,events/second
1439304743,41,0.499975,0.476707,0.423602,0.408529,events/second
1439304745,42,0.499966,0.476707,0.423602,0.408529,events/second
1439304747,43,0.499981,0.470574,0.423212,0.408482,events/second
1439304749,44,0.500008,0.470574,0.423212,0.408482,events/second
1439304751,45,0.500002,0.470574,0.423212,0.408482,events/second
1439304753,46,0.499982,0.480922,0.426134,0.409543,events/second
1439304755,47,0.499995,0.480922,0.426134,0.409543,events/second
1439304757,48,0.499980,0.474452,0.425702,0.409490,events/second
1439304759,49,0.499998,0.474452,0.425702,0.409490,events/second
1439304761,50,0.500000,0.484490,0.428583,0.410545,events/second
1439304763,51,0.499999,0.484490,0.428583,0.410545,events/second
1439304765,52,0.499976,0.484490,0.428583,0.410545,events/second
1439304767,53,0.500009,0.477735,0.428111,0.410487,events/second
1439304769,54,0.500006,0.477735,0.428111,0.410487,events/second
1439304771,55,0.500006,0.477735,0.428111,0.410487,events/second
1439304773,56,0.500009,0.487511,0.430952,0.411537,events/second
1439304775,57,0.500005,0.487511,0.430952,0.411537,events/second
1439304777,58,0.500008,0.480514,0.430440,0.411473,events/second
1439304779,59,0.500007,0.480514,0.430440,0.411473,events/second
1439304781,60,0.500006,0.480514,0.430440,0.411473,events/second
1439304783,61,0.500003,0.490067,0.433243,0.412517,events/second
1439304785,62,0.500005,0.490067,0.433243,0.412517,events/second
1439304787,63,0.500007,0.482866,0.432693,0.412448,events/second
1439304789,64,0.499997,0.482866,0.432693,0.412448,events/second
1439304791,65,0.499986,0.492231,0.435459,0.413487,events/second
1439304793,66,0.500005,0.492231,0.435459,0.413487,events/second
1439304795,67,0.499981,0.492231,0.435459,0.413487,events/second
1439304797,68,0.500006,0.484857,0.434873,0.413412,events/second
1439304799,69,0.499986,0.484857,0.434873,0.413412,events/second
1439304801,70,0.499986,0.494063,0.437602,0.414446,events/second
1439304803,71,0.499986,0.494063,0.437602,0.414446,events/second
1439304805,72,0.499999,0.494063,0.437602,0.414446,events/second
1439304807,73,0.499986,0.486542,0.436980,0.414366,events/second
1439304809,74,0.499989,0.486542,0.436980,0.414366,events/second
1439304811,75,0.499999,0.495614,0.439675,0.415394,events/second
1439304813,76,0.499988,0.495614,0.439675,0.415394,events/second
1439304815,77,0.499989,0.495614,0.439675,0.415394,events/second
1439304817,78,0.499986,0.487969,0.439019,0.415309,events/second
1439304877,1,0.497684,0.000000,0.000000,0.000000,events/second
1439304879,2,0.500013,0.000000,0.000000,0.000000,events/second
1439304881,3,0.499692,0.400000,0.400000,0.400000,events/second
1439304945,1,0.497660,0.000000,0.000000,0.000000,events/second
1439304947,2,0.499591,0.000000,0.000000,0.000000,events/second
1439304949,3,0.499690,0.400000,0.400000,0.400000,events/second
1439304951,4,0.500132,0.400000,0.400000,0.400000,events/second
1439305048,1,0.499728,0.000000,0.000000,0.000000,events/second
1439305050,2,0.499916,0.000000,0.000000,0.000000,events/second
1439305052,3,0.499759,0.400000,0.400000,0.400000,events/second
1439305242,1,0.497800,0.000000,0.000000,0.000000,events/second
1439305244,2,0.500356,0.000000,0.000000,0.000000,events/second
1439305280,1,0.498221,0.000000,0.000000,0.000000,events/second
1439305282,2,0.499489,0.000000,0.000000,0.000000,events/second
1439305284,3,0.500141,0.400000,0.400000,0.400000,events/second
1439305321,1,0.498459,0.000000,0.000000,0.000000,events/second
1439305630,1,0.499035,0.000000,0.000000,0.000000,events/second
1439305632,2,0.499976,0.000000,0.000000,0.000000,events/second
1439305634,3,0.500108,0.400000,0.400000,0.400000,events/second
1439305636,4,0.499982,0.400000,0.400000,0.400000,events/second
1439305638,5,0.500135,0.400000,0.400000,0.400000,events/second
1439305640,6,0.499816,0.415991,0.403306,0.401108,events/second
1439305642,7,0.500021,0.415991,0.403306,0.401108,events/second
1439305644,8,0.499901,0.414713,0.403251,0.401102,events/second
1439305646,9,0.499898,0.414713,0.403251,0.401102,events/second
1439305648,10,0.499999,0.429527,0.406503,0.402204,events/second
1439305650,11,0.499974,0.429527,0.406503,0.402204,events/second
1439305685,1,0.498373,0.000000,0.000000,0.000000,events/second
1439305687,1,0.249437,0.000000,0.000000,0.000000,events/second
1439305689,1,0.166529,0.200000,0.200000,0.200000,events/second
1439305691,1,0.124914,0.200000,0.200000,0.200000,events/second
1439305693,1,0.099957,0.184009,0.196694,0.198892,events/second
1439305695,1,0.083306,0.184009,0.196694,0.198892,events/second
1439305697,1,0.071382,0.184009,0.196694,0.198892,events/second
1439305699,1,0.062464,0.169296,0.193443,0.197790,events/second
1439305701,1,0.055540,0.169296,0.193443,0.197790,events/second
1439305711,1,0.497440,0.000000,0.000000,0.000000,events/second
1439305713,1,0.249739,0.000000,0.000000,0.000000,events/second
1439305715,1,0.166548,0.200000,0.200000,0.200000,events/second
1439305725,1,0.499866,0.000000,0.000000,0.000000,events/second
1439305727,2,0.499995,0.000000,0.000000,0.000000,events/second
1439305729,2,0.333321,0.400000,0.400000,0.400000,events/second
1439305731,2,0.249878,0.400000,0.400000,0.400000,events/second
1439305733,2,0.199971,0.368018,0.393389,0.397784,events/second
1439305735,2,0.166644,0.368018,0.393389,0.397784,events/second
1439305745,1,0.500094,0.000000,0.000000,0.000000,events/second
1439305747,2,0.499532,0.000000,0.000000,0.000000,events/second
1439305749,2,0.333221,0.400000,0.400000,0.400000,events/second
1439306355,1,0.500042,0.000000,0.000000,0.000000,events/second
1439306357,2,0.499697,0.000000,0.000000,0.000000,events/second
1439306359,2,0.333321,0.400000,0.400000,0.400000,events/second
1439306361,2,0.250070,0.400000,0.400000,0.400000,events/second
1439306363,2,0.199916,0.368018,0.393389,0.397784,events/second
1439306365,2,0.166632,0.368018,0.393389,0.397784,events/second
1439347020,1,0.498440,0.000000,0.000000,0.000000,events/second
1439347022,1,0.250036,0.000000,0.000000,0.000000,events/second
1439347024,1,0.166702,0.200000,0.200000,0.200000,events/second
1439347026,1,0.125025,0.200000,0.200000,0.200000,events/second
1439347028,1,0.099989,0.184009,0.196694,0.198892,events/second
1439347030,1,0.083343,0.184009,0.196694,0.198892,events/second
1439347032,1,0.071397,0.184009,0.196694,0.198892,events/second
1439347034,1,0.062477,0.169296,0.193443,0.197790,events/second
1439347036,1,0.055559,0.169296,0.193443,0.197790,events/second
1439347038,1,0.049993,0.155760,0.190246,0.196694,events/second
1439347040,1,0.045453,0.155760,0.190246,0.196694,events/second
1439347042,1,0.041665,0.155760,0.190246,0.196694,events/second
1439347044,1,0.038453,0.143306,0.187101,0.195605,events/second
1439347046,1,0.035716,0.143306,0.187101,0.195605,events/second
1439347048,1,0.033332,0.131848,0.184009,0.194521,events/second
