t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1439719115,8890,4441.716683,0.000000,0.000000,0.000000,events/second
1439719117,40859,10211.225358,0.000000,0.000000,0.000000,events/second
1439719119,78443,13070.734467,12753.400000,12753.400000,12753.400000,events/second
1439719121,109006,13623.670483,12753.400000,12753.400000,12753.400000,events/second
1439719123,138150,13813.663279,12923.161699,12788.493409,12765.162851,events/second
1439719125,156401,13031.632318,12923.161699,12788.493409,12765.162851,events/second
1439719127,190567,13610.548125,12923.161699,12788.493409,12765.162851,events/second
1439719129,234126,14631.953383,13115.010193,12830.378507,12779.331441,events/second
1439719131,282871,15714.413755,13115.010193,12830.378507,12779.331441,events/second
1439719133,323883,16193.162692,13811.342571,12979.029995,12829.440280,events/second
1439719135,373828,16991.996945,13811.342571,12979.029995,12829.440280,events/second
1439719137,424139,17671.403390,13811.342571,12979.029995,12829.440280,events/second
1439719139,474705,18256.970232,14698.966098,13176.277864,12896.383929,events/second
1439719141,517357,18476.088894,14698.966098,13176.277864,12896.383929,events/second
1439719143,559813,18659.845772,15304.568403,13326.636761,12948.332916,events/second
1439719145,609793,19055.516751,15304.568403,13326.636761,12948.332916,events/second
1439719147,659711,19402.856865,15304.568403,13326.636761,12948.332916,events/second
1439719149,709653,19712.349705,16072.064594,13517.987133,13014.566912,events/second
1439719151,760020,19999.899119,16072.064594,13517.987133,13014.566912,events/second
1439719153,810705,20267.445566,16807.874690,13712.310157,13082.490467,events/second
1439719155,848171,20194.056705,16807.874690,13712.310157,13082.490467,events/second
1439719157,893880,20314.984124,16807.874690,13712.310157,13082.490467,events/second
1439719159,943234,20504.897527,17188.217438,13842.100398,13129.483751,events/second
1439719161,987590,20574.608781,17188.217438,13842.100398,13129.483751,events/second
1439719163,1038115,20762.099089,17726.237178,14008.627147,13189.249339,events/second
1439719165,1081711,20801.965810,17726.237178,14008.627147,13189.249339,events/second
1439719167,1132760,20976.936928,17726.237178,14008.627147,13189.249339,events/second
1439719169,1182750,21120.450589,18231.617469,14174.546857,13249.402928,events/second
1439719171,1232421,21248.107735,18231.617469,14174.546857,13249.402928,events/second
1439719173,1277912,21298.136677,18685.827762,14335.499412,13308.477552,events/second
1439719175,1323772,21350.708600,18685.827762,14335.499412,13308.477552,events/second
1439719177,1374348,21473.871118,18685.827762,14335.499412,13308.477552,events/second
1439719179,1424583,21584.074217,19126.588702,14498.518820,13368.809378,events/second
1439719181,1474591,21684.854401,19126.588702,14498.518820,13368.809378,events/second
1439719183,1524555,21779.169037,19606.610958,14674.245053,13433.969270,events/second
1439719185,1574674,21870.401459,19606.610958,14674.245053,13433.969270,events/second
1439719187,1624490,21952.523520,19606.610958,14674.245053,13433.969270,events/second
1439719189,1675508,22045.728305,20026.824656,14842.637137,13497.283405,events/second
1439719191,1724844,22113.061531,20026.824656,14842.637137,13497.283405,events/second
1439719193,1775880,22198.137608,20454.521102,15016.738311,13563.093300,events/second
1439719195,1826150,22269.791822,20454.521102,15016.738311,13563.093300,events/second
1439719197,1876327,22336.996666,20454.521102,15016.738311,13563.093300,events/second
1439719199,1927222,22409.360798,20831.949755,15184.639609,13627.425028,events/second
1439719201,1977638,22473.012758,20831.949755,15184.639609,13627.425028,events/second
